text_id,text,x,y,candidate_region,candidate_region_name,status,notes
T-001,"collection, can run linq",0.0,17.619999999999997,LJG03,SelectMany flattening and result-selector callback,region-context-label,Text label is canvas context; not an image source.
T-002,selectmany builds flattened collection in first,0.0,17.619999999999997,LJG03,SelectMany flattening and result-selector callback,region-context-label,Text label is canvas context; not an image source.
T-003,callback and it may return it without secodn,0.0,42.62,LJG03,SelectMany flattening and result-selector callback,region-context-label,Text label is canvas context; not an image source.
T-004,second callback allows to build result for each,0.0,92.62,LJG03,SelectMany flattening and result-selector callback,region-context-label,Text label is canvas context; not an image source.
T-005,of the item of first callbacks result + from the items,0.0,117.62,LJG03,SelectMany flattening and result-selector callback,region-context-label,Text label is canvas context; not an image source.
T-006,to which itmes from first callback belong,0.0,142.62,LJG03,SelectMany flattening and result-selector callback,region-context-label,Text label is canvas context; not an image source.
T-007,join,0.0,160.45946666666657,LJG01,Join and GroupJoin semantics,region-context-label,Text label is canvas context; not an image source.
T-008,groupjoin,0.0,74.00400000000003,LJG01,Join and GroupJoin semantics,region-context-label,Text label is canvas context; not an image source.
T-009,group by,0.0,61.78743798828124,LJG02,GroupBy grouping and result shape,region-context-label,Text label is canvas context; not an image source.
T-010,selectmany,0.0,113.1595316569013,LJG03,SelectMany flattening and result-selector callback,region-context-label,Text label is canvas context; not an image source.
