text_id,text,x,y,region_id,status,transcript_file,authoritative_transcript
T-001,basically its still iqueryable and thats why ef can build,358.5316417996414,938.4268292455646,R01,closed,01-transcript-R01-n+1-iqueryable-versus-ienumerable-and-eager-loading.md,05-full-combined-final-transcript.md
T-002,normal query for one roundtrip or for 2,358.5316417996414,963.4268292455646,R01,closed,01-transcript-R01-n+1-iqueryable-versus-ienumerable-and-eager-loading.md,05-full-combined-final-transcript.md
T-003,"when its ienumerable and you iterate, then you iterate in memory",358.5316417996414,988.4268292455646,R01,closed,01-transcript-R01-n+1-iqueryable-versus-ienumerable-and-eager-loading.md,05-full-combined-final-transcript.md
T-004,and n + 1 happens,358.5316417996414,1013.4268292455646,R01,closed,01-transcript-R01-n+1-iqueryable-versus-ienumerable-and-eager-loading.md,05-full-combined-final-transcript.md
T-005,evr ok if configured nav prorp,8293.92818787822,3634.691065504895,R04,closed,04-transcript-R04-proxy-limitations-backing-fields-and-ddd-safe-alternatives.md,05-full-combined-final-transcript.md
T-006,problems with ll and,7167.710152452793,513.7443591908138,R04,closed,04-transcript-R04-proxy-limitations-backing-fields-and-ddd-safe-alternatives.md,05-full-combined-final-transcript.md
T-007,hidden backing fields,7167.710152452793,615.6674361138909,R04,closed,04-transcript-R04-proxy-limitations-backing-fields-and-ddd-safe-alternatives.md,05-full-combined-final-transcript.md
T-008,n + 1 problem,260.27845968809106,276.64940502929693,R01,closed,01-transcript-R01-n+1-iqueryable-versus-ienumerable-and-eager-loading.md,05-full-combined-final-transcript.md
T-009,how to setup/use,3833.868583573541,470.8831039397618,R02,closed,02-transcript-R02-lazy-loading-setup-proxies-and-runtime-behavior.md,05-full-combined-final-transcript.md
T-010,why ll tends to violate,3843.334096398322,3004.176635516991,R02,closed,02-transcript-R02-lazy-loading-setup-proxies-and-runtime-behavior.md,05-full-combined-final-transcript.md
T-011,ddd,3843.334096398322,3138.2675446078997,R02,closed,02-transcript-R02-lazy-loading-setup-proxies-and-runtime-behavior.md,05-full-combined-final-transcript.md
