source_id,stage0_group,stage1_region,decision,status,reason,notes
S-011,LAZY-R02-thread-safety-modes-di,LAZY-R02,included-in-lazy-r02-stage1-v001,verified-visible-semantic-transcript,"Lazy<T> thread-safety behavior: ExecutionAndPublication, PublicationOnly, None, locking, concurrency, singleton/DI scenarios, and pitfalls.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-015,LAZY-R02-thread-safety-modes-di,LAZY-R02,included-in-lazy-r02-stage1-v001,verified-visible-semantic-transcript,"Lazy<T> thread-safety behavior: ExecutionAndPublication, PublicationOnly, None, locking, concurrency, singleton/DI scenarios, and pitfalls.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-023,LAZY-R02-thread-safety-modes-di,LAZY-R02,included-in-lazy-r02-stage1-v001,verified-visible-semantic-transcript,"Lazy<T> thread-safety behavior: ExecutionAndPublication, PublicationOnly, None, locking, concurrency, singleton/DI scenarios, and pitfalls.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-027,LAZY-R02-thread-safety-modes-di,LAZY-R02,included-in-lazy-r02-stage1-v001,verified-visible-semantic-transcript,"Lazy<T> thread-safety behavior: ExecutionAndPublication, PublicationOnly, None, locking, concurrency, singleton/DI scenarios, and pitfalls.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-028,LAZY-R02-thread-safety-modes-di,LAZY-R02,included-in-lazy-r02-stage1-v001,verified-visible-semantic-transcript,"Lazy<T> thread-safety behavior: ExecutionAndPublication, PublicationOnly, None, locking, concurrency, singleton/DI scenarios, and pitfalls.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-029,LAZY-R02-thread-safety-modes-di,LAZY-R02,included-in-lazy-r02-stage1-v001,verified-visible-semantic-transcript,"Lazy<T> thread-safety behavior: ExecutionAndPublication, PublicationOnly, None, locking, concurrency, singleton/DI scenarios, and pitfalls.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-030,LAZY-R02-thread-safety-modes-di,LAZY-R02,included-in-lazy-r02-stage1-v001,verified-visible-semantic-transcript,"Lazy<T> thread-safety behavior: ExecutionAndPublication, PublicationOnly, None, locking, concurrency, singleton/DI scenarios, and pitfalls.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-031,LAZY-R02-thread-safety-modes-di,LAZY-R02,included-in-lazy-r02-stage1-v001,verified-visible-semantic-transcript,"Lazy<T> thread-safety behavior: ExecutionAndPublication, PublicationOnly, None, locking, concurrency, singleton/DI scenarios, and pitfalls.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-032,LAZY-R02-thread-safety-modes-di,LAZY-R02,included-in-lazy-r02-stage1-v001,verified-visible-semantic-transcript,"Lazy<T> thread-safety behavior: ExecutionAndPublication, PublicationOnly, None, locking, concurrency, singleton/DI scenarios, and pitfalls.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-033,LAZY-R02-thread-safety-modes-di,LAZY-R02,included-in-lazy-r02-stage1-v001,verified-visible-semantic-transcript,"Lazy<T> thread-safety behavior: ExecutionAndPublication, PublicationOnly, None, locking, concurrency, singleton/DI scenarios, and pitfalls.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-034,LAZY-R02-thread-safety-modes-di,LAZY-R02,included-in-lazy-r02-stage1-v001,verified-visible-semantic-transcript,"Lazy<T> thread-safety behavior: ExecutionAndPublication, PublicationOnly, None, locking, concurrency, singleton/DI scenarios, and pitfalls.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-035,LAZY-R02-thread-safety-modes-di,LAZY-R02,included-in-lazy-r02-stage1-v001,verified-visible-semantic-transcript,"Lazy<T> thread-safety behavior: ExecutionAndPublication, PublicationOnly, None, locking, concurrency, singleton/DI scenarios, and pitfalls.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-036,LAZY-R02-thread-safety-modes-di,LAZY-R02,included-in-lazy-r02-stage1-v001,verified-visible-semantic-transcript,"Lazy<T> thread-safety behavior: ExecutionAndPublication, PublicationOnly, None, locking, concurrency, singleton/DI scenarios, and pitfalls.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-037,LAZY-R02-thread-safety-modes-di,LAZY-R02,included-in-lazy-r02-stage1-v001,verified-visible-semantic-transcript,"Lazy<T> thread-safety behavior: ExecutionAndPublication, PublicationOnly, None, locking, concurrency, singleton/DI scenarios, and pitfalls.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-038,LAZY-R02-thread-safety-modes-di,LAZY-R02,included-in-lazy-r02-stage1-v001,verified-visible-semantic-transcript,"Lazy<T> thread-safety behavior: ExecutionAndPublication, PublicationOnly, None, locking, concurrency, singleton/DI scenarios, and pitfalls.",Included after Stage0 candidate split and Stage1 source-level semantic review.
