source_id,from_stage6a,stage6b_decision,reason
S-384,R16,R15,"Continuation of query cancellation examples: cancelQueries with pagination, startTransition, and rapid-click safety."
S-388,R16,R15,"Continuation of query cancellation examples: cancelQueries with pagination, startTransition, and rapid-click safety."
S-392,R16,R15,"Continuation of query cancellation examples: cancelQueries with pagination, startTransition, and rapid-click safety."
S-395,R16,R15,"Continuation of query cancellation examples: cancelQueries with pagination, startTransition, and rapid-click safety."
S-419,R19,R16,"Local error UI, throwOnError, ErrorBoundary / QueryErrorResetBoundary, retry ordering, and reset/retry flow."
S-406,R19,R18,"Global query defaults, per-key defaults, per-query overrides, query key factories, and query option factories."
S-415,R19,R18,"Global query defaults, per-key defaults, per-query overrides, query key factories, and query option factories."
S-426,R19,R20,Early performance/select cards that Stage6a put near testing but visual reading shows belong to R20.
S-431,R19,R20,Early performance/select cards that Stage6a put near testing but visual reading shows belong to R20.
S-443,R19,R20,Early performance/select cards that Stage6a put near testing but visual reading shows belong to R20.
