source_id,expected_stage,expected_region,expected_status,ledger_region,ledger_status,decision_is_final,must_recheck_before_region_close,bad_placeholder_signal_found,closure_ok
S-001,EncodingUtf8Chunk Stage1,ENC-R01,processed-in-enc-r01-v001,ENC-R01,processed-in-enc-r01-v001,yes-for-enc-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-002,EncodingUtf8Chunk Stage2,ENC-R02,processed-in-enc-r02-v001,ENC-R02,processed-in-enc-r02-v001,yes-for-enc-r02-stage2,no-for-stage2-semantic-transcript,no,yes
S-003,EncodingUtf8Chunk Stage1,ENC-R01,processed-in-enc-r01-v001,ENC-R01,processed-in-enc-r01-v001,yes-for-enc-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-004,EncodingUtf8Chunk Stage1,ENC-R01,processed-in-enc-r01-v001,ENC-R01,processed-in-enc-r01-v001,yes-for-enc-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-005,EncodingUtf8Chunk Stage1,ENC-R01,processed-in-enc-r01-v001,ENC-R01,processed-in-enc-r01-v001,yes-for-enc-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-006,EncodingUtf8Chunk Stage2,ENC-R02,processed-in-enc-r02-v001,ENC-R02,processed-in-enc-r02-v001,yes-for-enc-r02-stage2,no-for-stage2-semantic-transcript,no,yes
S-007,EncodingUtf8Chunk Stage2,ENC-R02,processed-in-enc-r02-v001,ENC-R02,processed-in-enc-r02-v001,yes-for-enc-r02-stage2,no-for-stage2-semantic-transcript,no,yes
S-008,EncodingUtf8Chunk Stage1,ENC-R01,processed-in-enc-r01-v001,ENC-R01,processed-in-enc-r01-v001,yes-for-enc-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-009,EncodingUtf8Chunk Stage1,ENC-R01,processed-in-enc-r01-v001,ENC-R01,processed-in-enc-r01-v001,yes-for-enc-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-010,EncodingUtf8Chunk Stage1,ENC-R01,processed-in-enc-r01-v001,ENC-R01,processed-in-enc-r01-v001,yes-for-enc-r01-stage1,no-for-stage1-semantic-transcript,no,yes
