label_id,text,candidate_region,final_region,status,transcript_file,open_issue
T-004,Operation should be cancelled if user navigates away OR if you cant fetch something from ext api,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-005,Have token passed from controller and our source with using,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-006,Creating linked cancellation token source by passing our two tokens,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-007,Note that you can pass one token or more tokens as well,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-008,Passing token from linked source,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-009,!!!!!!! you are subscribing,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-010,new token source,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-011,to 2 tokens,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-012,so produces by this source,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-013,tokens will be cancelled on,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-014,either of 2 tokens,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-015,being cancelled,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-016,createlinkedtokensource,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-017,linkedtokensource,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-018,cancellation for,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-019,"disconnect,abotrion",R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-023,let it bubble for,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-024,disconnect,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-025,dont catch,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-034,how to know what caused,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-035,cancellation,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-036,when have linkedtokensource,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-037,createlinkedtokensource,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-001,so we can imagine if there are a lot of work,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-002,in the begginning of each loop and before,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-003,async api thing,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-020,cpu bound,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-021,manual cancellatoin,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-022,throwifcancrequested,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-026,!!!,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-027,Handling exceptions in async code,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-028,Old async issues,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-029,Now just,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-030,occures when call throwifcancellationrequested,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-031,occurs when task cancelled regularly(?),R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-032,OperationCancelledException covers both types,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-033,EXCEPTIONS,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
