text_id,text,normalized_text,previous_old_text,old_inventory_exact_match,old_inventory_normalized_match,x,y,font_size,sha256,region_id,coverage_status,assignment_count
T-001,database.sqlquery for projections,database.sqlquery for projections,database.sqlquery for projections,True,True,4804.90724234874,2483.5833900868715,36.35555555555524px,fd6b6b8498f21dabf0510fe157ad240e600ac540f1ff36e16561b0463a3fec91,R04,processed-semantic-transcript,1
T-002,scalars and other nontracking nonentity,scalars and other nontracking nonentity,scalars and other nontracking nonentity,True,True,4804.90724234874,2529.027834531316,36.35555555555524px,8f1efb00a64cbea7b6f48f189eb6487147d4b8e2f5b3e53c13898a12c0c4dd10,R04,processed-semantic-transcript,1
T-003,results,results,results,True,True,4804.90724234874,2574.4722789757598,36.35555555555524px,c099142bc3186ded72786ba27e9ea6d2da240fb9fd3fe79b479ecf8e734b2850,R04,processed-semantic-transcript,1
T-004,fromsql is for tracked entity,fromsql is for tracked entity,fromsql is for tracked entity,True,True,5904.90724234874,2536.627293837899,51.515158913351485px,76ffaa256b874a3cd28a68f7d6061844328c9e8b2dfd1c6500a1c3fb37d90b23,R02,processed-semantic-transcript,1
T-005,result,result,result,True,True,5904.90724234874,2601.021242479588,51.515158913351485px,f6a214f7a5fcda0c2cee9660b7fc29f5649e3c68aad48e20e950137c98913a68,R02,processed-semantic-transcript,1
T-006,the real danger of not parameterised values included from,the real danger of not parameterised values included from,the real danger of not parameterised values included from,True,True,461.505589995777,1865.0292725165816,36.987648292824005px,cd69654ada15a15c74cbd650868fc8fd43e14f2644459e19d83e7d574023e2f1,R03,processed-semantic-transcript,1
T-007,user input into  sql,user input into sql,user input into sql,False,True,461.505589995777,1911.2638328826117,36.987648292824005px,2fd7be510f870d32aa82f498a90c268dcedd8081d7b5ba856500c8c12f2dba79,R03,processed-semantic-transcript,1
T-008,sql injection,sql injection,sql injection,True,True,461.505589995777,1957.4983932486416,36.987648292824005px,0fa499aba8c8ffbe5e3a783601595f78853e54d5dcc46fcbfae275b904e29992,R03,processed-semantic-transcript,1
T-009,raw vs interpolated,raw vs interpolated,raw vs interpolated,True,True,1847.351575446849,1868.847627675051,74.30300071022647px,4a5f9b6df34cf6faf8e0a01886a3b7bccc07ea48e0e45b30be0ca1e02507039f,R02,processed-semantic-transcript,1
T-010,dynamic sql parts + parameterised values,dynamic sql parts + parameterised values,dynamic sql parts + parameterised values,True,True,10.0,4413.010045871831,82.4484996448862px,3ee7df16076ab8a399b6b993045d3518c958320c4689d76b42ddf0aa838f3d01,R03,processed-semantic-transcript,1
T-011,type param is the,type param is the,type param is the,True,True,4447.738612245368,3616.1544875882073,20px,69dfbd549033bd70493d090d943477595eb02ebcc9cc0b604da4749b7ea294ce,R04,processed-semantic-transcript,1
T-012,type of item in a collection,type of item in a collection,type of item in a collection,True,True,4447.738612245368,3641.1544875882073,20px,af8da0b8140ad1e292378a62cc685bfa624cc6d116d8a2116c501f551d11cc55,R04,processed-semantic-transcript,1
T-013,in a iqueryable,in a iqueryable,in a iqueryable,True,True,4447.738612245368,3666.1544875882073,20px,7c9be33df7c93c3601834c6400735f634e4e64a01ad41227bdedef43c8d28e1d,R04,processed-semantic-transcript,1
T-014,executeupdate/,executeupdate/,executeupdate/,True,True,3077.491612711966,5743.010792381689,146.70670575287255px,97be14290fa0acc06a77083407e5cff3f1eece616413edd0b1e7fa88ea2d6aae,R05,processed-semantic-transcript,1
T-015,executedelete,executedelete,executedelete,True,True,3077.491612711966,5926.394174572779,146.70670575287255px,95aa2d116a30e99095881aefdc5e940dc2b88ae7de560a5bf6b20ceb7bf01f7a,R05,processed-semantic-transcript,1
T-016,bypassing chagetr,bypassing chagetr,bypassing chagetr,True,True,1649.2089940448252,6348.551927170565,146.70670575287255px,e126d43e55097b06bc46701759d48a66f074c211bf8c2bb7702783e52a5a8c7b,R05,processed-semantic-transcript,1
T-017,simple poco muation,simple poco muation,simple poco muation,True,True,1649.2089940448252,6531.9353093616555,146.70670575287255px,df210b0af325774f7bbd649815378b895e6f16ce2435c0c21b9f984beee4dd85,R05,processed-semantic-transcript,1
T-018,setproperty,setproperty,setproperty,True,True,318.39211926024336,6940.676151066666,146.70670575287255px,9dc188eeb54ac603e14bac58c26034b35b3d26641093b48d61b6d2406ad7d2da,R05,processed-semantic-transcript,1
T-019,cant call methods,cant call methods,cant call methods,True,True,318.39211926024336,7124.059533257756,146.70670575287255px,07ab875a0140267fb829f1635cd9fd3580c4822af371f1168a0ef60128d9a00a,R05,processed-semantic-transcript,1
