source_id,stage4t_candidate_group,closure_group,closure_decision,ledger_coverage_status,ledger_region,ledger_decision_is_final,ledger_must_recheck,expected_status,expected_region,closure_ok,notes
S-029,r03-notify-select-structural-sharing-candidate,R03,processed-in-r03-v001,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,processed-in-r03-v001,R03,yes,Formal Stage4t R03/R04 combined boundary item.
S-035,r03-notify-select-structural-sharing-candidate,R03,processed-in-r03-v001,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,processed-in-r03-v001,R03,yes,Formal Stage4t R03/R04 combined boundary item.
S-041,r03-notify-select-structural-sharing-candidate,R03,processed-in-r03-v001,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,processed-in-r03-v001,R03,yes,Formal Stage4t R03/R04 combined boundary item.
S-046,r03-notify-select-structural-sharing-candidate,R03,processed-in-r03-v001,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,processed-in-r03-v001,R03,yes,Formal Stage4t R03/R04 combined boundary item.
S-055,r03-notify-select-structural-sharing-candidate,R03,processed-in-r03-v001,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,processed-in-r03-v001,R03,yes,Formal Stage4t R03/R04 combined boundary item.
S-058,r03-notify-select-structural-sharing-candidate,R03,processed-in-r03-v001,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,processed-in-r03-v001,R03,yes,Formal Stage4t R03/R04 combined boundary item.
S-059,r03-notify-select-structural-sharing-candidate,R03,processed-in-r03-v001,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,processed-in-r03-v001,R03,yes,Formal Stage4t R03/R04 combined boundary item.
S-062,r04a-staleness-static-refetch-retry-candidate,R04A,processed-in-r04a-v001,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,processed-in-r04a-v001,R04A,yes,Formal Stage4t R03/R04 combined boundary item.
S-063,r04a-staleness-static-refetch-retry-candidate,R04A,processed-in-r04a-v001,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,processed-in-r04a-v001,R04A,yes,Formal Stage4t R03/R04 combined boundary item.
S-067,r04a-staleness-static-refetch-retry-candidate,R04A,processed-in-r04a-v001,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,processed-in-r04a-v001,R04A,yes,Formal Stage4t R03/R04 combined boundary item.
S-068,r04a-staleness-static-refetch-retry-candidate,R04A,processed-in-r04a-v001,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,processed-in-r04a-v001,R04A,yes,Formal Stage4t R03/R04 combined boundary item.
S-069,r04a-staleness-static-refetch-retry-candidate,R04B,processed-in-r04b-v001,processed-in-r04b-v001,R04B,yes-for-r04b-v001-boundary,no-for-r04b-v001,processed-in-r04b-v001,R04B,yes,Formal Stage4t R03/R04 combined boundary item.
S-070,r04a-staleness-static-refetch-retry-candidate,R04A,processed-in-r04a-v001,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,processed-in-r04a-v001,R04A,yes,Formal Stage4t R03/R04 combined boundary item.
S-071,r04a-staleness-static-refetch-retry-candidate,R04A,processed-in-r04a-v001,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,processed-in-r04a-v001,R04A,yes,Formal Stage4t R03/R04 combined boundary item.
S-072,r04b-observer-cache-gctime-refetchinterval-candidate,R04B,processed-in-r04b-v001,processed-in-r04b-v001,R04B,yes-for-r04b-v001-boundary,no-for-r04b-v001,processed-in-r04b-v001,R04B,yes,Formal Stage4t R03/R04 combined boundary item.
S-073,r04a-staleness-static-refetch-retry-candidate,R04A,processed-in-r04a-v001,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,processed-in-r04a-v001,R04A,yes,Formal Stage4t R03/R04 combined boundary item.
S-074,r04a-staleness-static-refetch-retry-candidate,R04A,processed-in-r04a-v001,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,processed-in-r04a-v001,R04A,yes,Formal Stage4t R03/R04 combined boundary item.
S-075,r04a-staleness-static-refetch-retry-candidate,R04A,processed-in-r04a-v001,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,processed-in-r04a-v001,R04A,yes,Formal Stage4t R03/R04 combined boundary item.
S-076,r04a-staleness-static-refetch-retry-candidate,R04A,processed-in-r04a-v001,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,processed-in-r04a-v001,R04A,yes,Formal Stage4t R03/R04 combined boundary item.
S-077,r04a-staleness-static-refetch-retry-candidate,R04A,processed-in-r04a-v001,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,processed-in-r04a-v001,R04A,yes,Formal Stage4t R03/R04 combined boundary item.
S-078,r04b-observer-cache-gctime-refetchinterval-candidate,R04B,processed-in-r04b-v001,processed-in-r04b-v001,R04B,yes-for-r04b-v001-boundary,no-for-r04b-v001,processed-in-r04b-v001,R04B,yes,Formal Stage4t R03/R04 combined boundary item.
S-079,r04a-staleness-static-refetch-retry-candidate,R04A,processed-in-r04a-v001,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,processed-in-r04a-v001,R04A,yes,Formal Stage4t R03/R04 combined boundary item.
S-081,r04b-observer-cache-gctime-refetchinterval-candidate,R04B,processed-in-r04b-v001,processed-in-r04b-v001,R04B,yes-for-r04b-v001-boundary,no-for-r04b-v001,processed-in-r04b-v001,R04B,yes,Formal Stage4t R03/R04 combined boundary item.
S-082,r04a-staleness-static-refetch-retry-candidate,R04A,processed-in-r04a-v001,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,processed-in-r04a-v001,R04A,yes,Formal Stage4t R03/R04 combined boundary item.
S-084,r04a-staleness-static-refetch-retry-candidate,R04A,processed-in-r04a-v001,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,processed-in-r04a-v001,R04A,yes,Formal Stage4t R03/R04 combined boundary item.
S-086,r04b-observer-cache-gctime-refetchinterval-candidate,R04B,processed-in-r04b-v001,processed-in-r04b-v001,R04B,yes-for-r04b-v001-boundary,no-for-r04b-v001,processed-in-r04b-v001,R04B,yes,Formal Stage4t R03/R04 combined boundary item.
S-087,r04a-staleness-static-refetch-retry-candidate,R04A,processed-in-r04a-v001,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,processed-in-r04a-v001,R04A,yes,Formal Stage4t R03/R04 combined boundary item.
S-088,r04a-staleness-static-refetch-retry-candidate,R04A,processed-in-r04a-v001,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,processed-in-r04a-v001,R04A,yes,Formal Stage4t R03/R04 combined boundary item.
S-089,r04b-observer-cache-gctime-refetchinterval-candidate,R04B,processed-in-r04b-v001,processed-in-r04b-v001,R04B,yes-for-r04b-v001-boundary,no-for-r04b-v001,processed-in-r04b-v001,R04B,yes,Formal Stage4t R03/R04 combined boundary item.
S-090,r04a-staleness-static-refetch-retry-candidate,R04A,processed-in-r04a-v001,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,processed-in-r04a-v001,R04A,yes,Formal Stage4t R03/R04 combined boundary item.
S-091,r04a-staleness-static-refetch-retry-candidate,R04A,processed-in-r04a-v001,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,processed-in-r04a-v001,R04A,yes,Formal Stage4t R03/R04 combined boundary item.
S-092,r04b-observer-cache-gctime-refetchinterval-candidate,R04B,processed-in-r04b-v001,processed-in-r04b-v001,R04B,yes-for-r04b-v001-boundary,no-for-r04b-v001,processed-in-r04b-v001,R04B,yes,Formal Stage4t R03/R04 combined boundary item.
S-095,r04a-staleness-static-refetch-retry-candidate,R04A,processed-in-r04a-v001,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,processed-in-r04a-v001,R04A,yes,Formal Stage4t R03/R04 combined boundary item.
S-096,r04b-observer-cache-gctime-refetchinterval-candidate,R04B,processed-in-r04b-v001,processed-in-r04b-v001,R04B,yes-for-r04b-v001-boundary,no-for-r04b-v001,processed-in-r04b-v001,R04B,yes,Formal Stage4t R03/R04 combined boundary item.
S-097,r04a-staleness-static-refetch-retry-candidate,R04A,processed-in-r04a-v001,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,processed-in-r04a-v001,R04A,yes,Formal Stage4t R03/R04 combined boundary item.
S-098,r04a-staleness-static-refetch-retry-candidate,R04A,processed-in-r04a-v001,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,processed-in-r04a-v001,R04A,yes,Formal Stage4t R03/R04 combined boundary item.
