source_id,image_use_id,fileId_short,x,y,width,height,candidate_region,candidate_region_name,candidate_subregion,decision,decision_is_final,must_recheck_before_region_close,reason,nearest_labels_for_search_only
S-001,IU-001,2cb5ff4461,0.0,0.0,943.0,125.0,SRM01,Finite server resources and bottleneck categories,SRM01A,candidate-for-srm01-transcript,no-boundary-review-only,yes,"CPU, memory, bandwidth, sockets, threads, disk, database pools, OS limits, TLS and application-specific pools.",T-001:what limited resources the | T-020:about microservices | T-016:shit it can process in s across all requests | T-013:addding another machine | T-017:cpus can process one work at a time
S-002,IU-002,25c3f51a4b,0.0,0.0,927.0,141.0,SRM01,Finite server resources and bottleneck categories,SRM01A,candidate-for-srm01-transcript,no-boundary-review-only,yes,"CPU, memory, bandwidth, sockets, threads, disk, database pools, OS limits, TLS and application-specific pools.",T-001:what limited resources the | T-020:about microservices | T-013:addding another machine | T-018:but they do work across all threads/requests | T-016:shit it can process in s across all requests
S-003,IU-003,c56da405da,0.0,0.0,915.0,118.0,SRM01,Finite server resources and bottleneck categories,SRM01A,candidate-for-srm01-transcript,no-boundary-review-only,yes,"CPU, memory, bandwidth, sockets, threads, disk, database pools, OS limits, TLS and application-specific pools.",T-001:what limited resources the | T-016:shit it can process in s across all requests | T-017:cpus can process one work at a time | T-020:about microservices | T-013:addding another machine
S-004,IU-004,f4e978b340,0.0,0.0,912.0,130.0,SRM01,Finite server resources and bottleneck categories,SRM01A,candidate-for-srm01-transcript,no-boundary-review-only,yes,"CPU, memory, bandwidth, sockets, threads, disk, database pools, OS limits, TLS and application-specific pools.",T-001:what limited resources the | T-020:about microservices | T-013:addding another machine | T-016:shit it can process in s across all requests | T-017:cpus can process one work at a time
S-005,IU-005,227a7180b0,0.0,0.0,949.0,118.0,SRM01,Finite server resources and bottleneck categories,SRM01A,candidate-for-srm01-transcript,no-boundary-review-only,yes,"CPU, memory, bandwidth, sockets, threads, disk, database pools, OS limits, TLS and application-specific pools.",T-001:what limited resources the | T-016:shit it can process in s across all requests | T-017:cpus can process one work at a time | T-020:about microservices | T-013:addding another machine
S-006,IU-006,67fddeee65,0.0,0.0,954.0,134.0,SRM01,Finite server resources and bottleneck categories,SRM01B,candidate-for-srm01-transcript,no-boundary-review-only,yes,"CPU, memory, bandwidth, sockets, threads, disk, database pools, OS limits, TLS and application-specific pools.",T-001:what limited resources the | T-020:about microservices | T-013:addding another machine | T-016:shit it can process in s across all requests | T-018:but they do work across all threads/requests
S-007,IU-007,35b77ba422,0.0,0.0,991.0,136.0,SRM01,Finite server resources and bottleneck categories,SRM01B,candidate-for-srm01-transcript,no-boundary-review-only,yes,"CPU, memory, bandwidth, sockets, threads, disk, database pools, OS limits, TLS and application-specific pools.",T-001:what limited resources the | T-020:about microservices | T-013:addding another machine | T-016:shit it can process in s across all requests | T-018:but they do work across all threads/requests
S-008,IU-008,54527f233d,0.0,0.0,541.0,225.0,SRM01,Finite server resources and bottleneck categories,SRM01B,candidate-for-srm01-transcript,no-boundary-review-only,yes,"CPU, memory, bandwidth, sockets, threads, disk, database pools, OS limits, TLS and application-specific pools.","T-003:cpu | T-004:memory | T-005:netwrk bandwidth | T-006:open cons,sockets | T-007:threads/wrkr cap"
S-009,IU-009,99de296dc1,0.0,0.0,897.0,81.0,SRM01,Finite server resources and bottleneck categories,SRM01B,candidate-for-srm01-transcript,no-boundary-review-only,yes,"CPU, memory, bandwidth, sockets, threads, disk, database pools, OS limits, TLS and application-specific pools.",T-017:cpus can process one work at a time | T-016:shit it can process in s across all requests | T-015:so server really has some limit of how much | T-001:what limited resources the | T-020:about microservices
S-010,IU-010,e610835c92,0.0,0.0,862.0,482.0,SRM01,Finite server resources and bottleneck categories,SRM01B,candidate-for-srm01-transcript,no-boundary-review-only,yes,"CPU, memory, bandwidth, sockets, threads, disk, database pools, OS limits, TLS and application-specific pools.",T-014:is it microservices | T-002:server does have to server requests | T-019:a little bit here a little bit there | T-003:cpu | T-004:memory
S-011,IU-011,f4c866c1e2,0.0,0.0,964.0,289.0,SRM01,Finite server resources and bottleneck categories,SRM01B,candidate-for-srm01-transcript,no-boundary-review-only,yes,"CPU, memory, bandwidth, sockets, threads, disk, database pools, OS limits, TLS and application-specific pools.","T-019:a little bit here a little bit there | T-003:cpu | T-004:memory | T-005:netwrk bandwidth | T-006:open cons,sockets"
