text_id,text,x,y,region_id,status,transcript_file,authoritative_transcript
T-001,flex 1 0 (1 0 0%) and flex 1 1 (1 1 0%) and flex 1 1 auto + min width are basically the same,2253.4453082512064,126.1805991020932,R02,closed,02-transcript-R02-flex-shorthand-grow-shrink-and-basis-semantics.md,04-full-combined-final-transcript.md
T-002,wanted to have 2 buttons with flex grow to have same space inside,2230.0115155504423,1852.4699947250508,R03,closed,03-transcript-R03-practical-equal-width-buttons-and-flexible-center-layouts.md,04-full-combined-final-transcript.md
T-003,container,2230.0115155504423,1877.4699947250508,R03,closed,03-transcript-R03-practical-equal-width-buttons-and-flexible-center-layouts.md,04-full-combined-final-transcript.md
T-004,but one buttons content overflows,2230.0115155504423,1902.469994725051,R03,closed,03-transcript-R03-practical-equal-width-buttons-and-flexible-center-layouts.md,04-full-combined-final-transcript.md
T-005,"wanted container to grow, but how it can be possible if",2315.9354221199105,2254.750102754835,R03,closed,03-transcript-R03-practical-equal-width-buttons-and-flexible-center-layouts.md,04-full-combined-final-transcript.md
T-006,items flex?,2315.9354221199105,2279.750102754835,R03,closed,03-transcript-R03-practical-equal-width-buttons-and-flexible-center-layouts.md,04-full-combined-final-transcript.md
T-007,just full flex in the middle,2315.9354221199105,2304.750102754835,R03,closed,03-transcript-R03-practical-equal-width-buttons-and-flexible-center-layouts.md,04-full-combined-final-transcript.md
T-008,so need fixed width,2315.9354221199105,2354.750102754835,R03,closed,03-transcript-R03-practical-equal-width-buttons-and-flexible-center-layouts.md,04-full-combined-final-transcript.md
T-009,started to shrink after spec minwidth,10.0,57.03346914567566,R01,closed,01-transcript-R01-default-flex-item-sizing-and-min-width-auto.md,04-full-combined-final-transcript.md
T-010,default,730.8620034930236,72.32430005358418,R01,closed,01-transcript-R01-default-flex-item-sizing-and-min-width-auto.md,04-full-combined-final-transcript.md
T-011,need to specify some size or minsize the element can shrink,556.3270832245594,809.164512983897,R01,closed,01-transcript-R01-default-flex-item-sizing-and-min-width-auto.md,04-full-combined-final-transcript.md
T-012,or maxsize in case u dont have basis (0%),556.3270832245594,834.164512983897,R01,closed,01-transcript-R01-default-flex-item-sizing-and-min-width-auto.md,04-full-combined-final-transcript.md
