source_id,image_use_id,fileId_short,image_file,status,theme,text,code,notes
S-274,IU-274,93a0d0d3e4,S-274__93a0d0d3e4.png,verified-visible,Suspense fallback maps closest to initial isLoading / no data available,"So which one maps best?

If you want the closest plain-English mapping:

- Suspense fallback ≈ initial `isLoading`
- broader underlying condition: there is no data available yet (`isPending`) and the component suspends.

So not “both” in the sense of two separate triggers.
It is basically the first load with no data case.

Example:

`<Suspense fallback={<Spinner />}>`
`  <UserPage />`
`</Suspense>`","<Suspense fallback={<Spinner />}>
  <UserPage />
</Suspense>","Fully readable; explains first no-data load, not every refetch."
S-277,IU-277,c56ec7fd55,S-277__c56ec7fd55.png,verified-visible,Suspense moves loading handling to nearest boundary,"Suspense changes where loading is handled.

Instead of every component doing:

`if (isPending) return <Loading />`
`if (isError) return <Error />`
`return <DataView />`

a Suspense-enabled query can pause rendering until data is ready, and React shows the nearest Suspense fallback.","if (isPending) return <Loading />
if (isError) return <Error />
return <DataView />",Readable.
S-278,IU-278,a865458f88,S-278__a865458f88.png,verified-visible,useSuspenseQuery keeps component visible during later refetch with existing data,"Behavior:

- first mount, no cached data → fallback shows
- later refetch with existing data → component stays visible, `isFetching` can be true.","function UserPage() {
  const { data, isFetching } = useSuspenseQuery({
    queryKey: ['user', 1],
    queryFn: fetchUser,
  })

  return (
    <>
      {isFetching && <small>Refreshing...</small>}
      <div>{data.name}</div>
    </>
  )
}",Readable.
S-279,IU-279,6ea27df25b,S-279__6ea27df25b.png,verified-visible,Suspense lets loading handling move higher in tree,"35. Suspense

Suspense lets you move loading handling higher in the tree.

With Suspense-based query hooks, components can often skip manual loading checks.","<Suspense fallback={<Loading />}>
  <Repos />
</Suspense>",Readable.
S-283,IU-283,b8fa03d9e2,S-283__b8fa03d9e2.png,verified-visible,normal useQuery component handles loading and error itself,"1. Normal query vs Suspense query

Normal `useQuery`

The component itself handles loading and error UI.","function Repos() {
  const { data, isPending, isError } = useQuery({
    queryKey: ['repos'],
    queryFn: fetchRepos,
  })

  if (isPending) return <div>Loading...</div>
  if (isError) return <div>Error</div>

  return (
    <ul>
      {data.map((repo) => (
        <li key={repo.id}>{repo.name}</li>
      ))}
    </ul>
  )
}",Readable.
S-287,IU-287,4f7fbb9957,S-287__4f7fbb9957.png,verified-visible,manual cache removal vs invalidation and Suspense fallback,"Question: Suspense fallback is being shown on first no data + fetching state; will it be shown when cache is removed manually or invalidated?

Answer:

Yes for manual cache removal; usually no for invalidation alone.",,Readable prompt/answer card.
S-292,IU-292,676060fc01,S-292__676060fc01.png,verified-visible-partial,Suspense version starts with useSuspenseQuery,Suspense version,"import { Suspense } from 'react'
import { useSuspenseQuery } from '@tanstack/react-query'

function Repos() {
  const { data } = useSuspenseQuery({
    queryKey: ['repos'],
    queryFn: fetchRepos,
  })
  // render follows in continuation
}",Top of code card; continuation is S-298.
S-298,IU-298,094d84e79b,S-298__094d84e79b.png,verified-visible,Suspense version moves loading UI to boundary,"Here:

- `Repos` does not check `isPending`
- if data is not ready, React suspends that subtree
- `<Suspense fallback={...}>` is shown instead","return (
  <ul>
    {data.map((repo) => (
      <li key={repo.id}>{repo.name}</li>
    ))}
  </ul>
)

export default function Page() {
  return (
    <Suspense fallback={<div>Loading repos...</div>}>
      <Repos />
    </Suspense>
  )
}",Continuation of S-292; readable.
S-308,IU-308,3076481cd7,S-308__3076481cd7.png,verified-visible,what suspend means,"2. What “suspend” actually means

It does not mean “return loading UI from the component”.

It means:

- component starts rendering
- query sees data is not ready
- query throws a special Promise internally
- React catches it through Suspense
- React renders fallback until Promise resolves
- then React retries rendering the component

So Suspense is render control flow, not just a loading boolean.",,Readable.
S-318,IU-318,57fab47856,S-318__57fab47856.png,verified-visible,why people like Suspense,"3. Why people like Suspense

It can make components cleaner.

Instead of mixing data fetching and loading UI in every component, you can put loading state handling higher up.

Without Suspense, every component often has:

- loading logic
- error logic
- empty state logic",,Readable.
S-329,IU-329,74ba77c711,S-329__74ba77c711.png,verified-visible,with Suspense component focuses on successful render,"With Suspense

The component can focus more on successful render.

That is simpler, but only because loading is moved to the boundary.","function UserProfile() {
  const { data } = useSuspenseQuery({
    queryKey: ['user'],
    queryFn: fetchUser,
  })

  return <h1>{data.name}</h1>
}",Readable.
S-340,IU-340,752c806f65,S-340__752c806f65.png,verified-visible,Suspense boundary controls loading UI,"4. The boundary controls the loading UI

This means:

- if `Repos` suspends, show `<Spinner />`
- when `Repos` is ready, show actual content

You can wrap small or large parts of the tree.","<Suspense fallback={<Spinner />}>
  <Repos />
</Suspense>",Readable.
S-345,IU-345,180dcf4b32,S-345__180dcf4b32.png,verified-visible,small Suspense boundary,"Small boundary

Only `Repos` area shows loading.","<PageLayout>
  <Header />
  <Suspense fallback={<div>Loading repos...</div>}>
    <Repos />
  </Suspense>
</PageLayout>",Readable.
S-350,IU-350,c68e2a8d43,S-350__c68e2a8d43.png,verified-visible,large Suspense boundary,"Large boundary

Whole dashboard waits together.

Small boundaries usually feel better because they preserve more UI.","<Suspense fallback={<FullPageLoader />}>
  <Dashboard />
</Suspense>",Readable.
