source_id,decision,region,status,reason,notes
S-274,included-in-R12-suspense-enabled-serial-stage5b-v001,R12,verified-visible,"Suspense fallback semantics, useSuspenseQuery, enabled limitation, boundary placement, and serial Suspense behavior","Fully readable; explains first no-data load, not every refetch."
S-277,included-in-R12-suspense-enabled-serial-stage5b-v001,R12,verified-visible,"Suspense fallback semantics, useSuspenseQuery, enabled limitation, boundary placement, and serial Suspense behavior",Readable.
S-278,included-in-R12-suspense-enabled-serial-stage5b-v001,R12,verified-visible,"Suspense fallback semantics, useSuspenseQuery, enabled limitation, boundary placement, and serial Suspense behavior",Readable.
S-279,included-in-R12-suspense-enabled-serial-stage5b-v001,R12,verified-visible,"Suspense fallback semantics, useSuspenseQuery, enabled limitation, boundary placement, and serial Suspense behavior",Readable.
S-283,included-in-R12-suspense-enabled-serial-stage5b-v001,R12,verified-visible,"Suspense fallback semantics, useSuspenseQuery, enabled limitation, boundary placement, and serial Suspense behavior",Readable.
S-287,included-in-R12-suspense-enabled-serial-stage5b-v001,R12,verified-visible,"Suspense fallback semantics, useSuspenseQuery, enabled limitation, boundary placement, and serial Suspense behavior",Readable prompt/answer card.
S-292,included-in-R12-suspense-enabled-serial-stage5b-v001,R12,verified-visible-partial,"Suspense fallback semantics, useSuspenseQuery, enabled limitation, boundary placement, and serial Suspense behavior",Top of code card; continuation is S-298.
S-298,included-in-R12-suspense-enabled-serial-stage5b-v001,R12,verified-visible,"Suspense fallback semantics, useSuspenseQuery, enabled limitation, boundary placement, and serial Suspense behavior",Continuation of S-292; readable.
S-308,included-in-R12-suspense-enabled-serial-stage5b-v001,R12,verified-visible,"Suspense fallback semantics, useSuspenseQuery, enabled limitation, boundary placement, and serial Suspense behavior",Readable.
S-318,included-in-R12-suspense-enabled-serial-stage5b-v001,R12,verified-visible,"Suspense fallback semantics, useSuspenseQuery, enabled limitation, boundary placement, and serial Suspense behavior",Readable.
S-329,included-in-R12-suspense-enabled-serial-stage5b-v001,R12,verified-visible,"Suspense fallback semantics, useSuspenseQuery, enabled limitation, boundary placement, and serial Suspense behavior",Readable.
S-340,included-in-R12-suspense-enabled-serial-stage5b-v001,R12,verified-visible,"Suspense fallback semantics, useSuspenseQuery, enabled limitation, boundary placement, and serial Suspense behavior",Readable.
S-345,included-in-R12-suspense-enabled-serial-stage5b-v001,R12,verified-visible,"Suspense fallback semantics, useSuspenseQuery, enabled limitation, boundary placement, and serial Suspense behavior",Readable.
S-350,included-in-R12-suspense-enabled-serial-stage5b-v001,R12,verified-visible,"Suspense fallback semantics, useSuspenseQuery, enabled limitation, boundary placement, and serial Suspense behavior",Readable.
S-354,included-in-R12-suspense-enabled-serial-stage5b-v001,R12,verified-visible,"Suspense fallback semantics, useSuspenseQuery, enabled limitation, boundary placement, and serial Suspense behavior",Top part readable; continuation in S-358.
S-358,included-in-R12-suspense-enabled-serial-stage5b-v001,R12,verified-visible,"Suspense fallback semantics, useSuspenseQuery, enabled limitation, boundary placement, and serial Suspense behavior",Continuation of S-354; lower bullet partly cropped but meaning readable.
S-363,included-in-R12-suspense-enabled-serial-stage5b-v001,R12,verified-visible,"Suspense fallback semantics, useSuspenseQuery, enabled limitation, boundary placement, and serial Suspense behavior",Readable.
S-366,included-in-R12-suspense-enabled-serial-stage5b-v001,R12,verified-visible,"Suspense fallback semantics, useSuspenseQuery, enabled limitation, boundary placement, and serial Suspense behavior",Readable.
S-370,included-in-R12-suspense-enabled-serial-stage5b-v001,R12,verified-visible,"Suspense fallback semantics, useSuspenseQuery, enabled limitation, boundary placement, and serial Suspense behavior",Readable.
S-373,included-in-R12-suspense-enabled-serial-stage5b-v001,R12,verified-visible,"Suspense fallback semantics, useSuspenseQuery, enabled limitation, boundary placement, and serial Suspense behavior",Readable.
S-375,included-in-R12-suspense-enabled-serial-stage5b-v001,R12,verified-visible,"Suspense fallback semantics, useSuspenseQuery, enabled limitation, boundary placement, and serial Suspense behavior",Continuation of S-373; readable.
S-377,included-in-R12-suspense-enabled-serial-stage5b-v001,R12,verified-visible,"Suspense fallback semantics, useSuspenseQuery, enabled limitation, boundary placement, and serial Suspense behavior",Readable.
S-380,included-in-R12-suspense-enabled-serial-stage5b-v001,R12,verified-visible,"Suspense fallback semantics, useSuspenseQuery, enabled limitation, boundary placement, and serial Suspense behavior",Readable.
S-382,included-in-R12-suspense-enabled-serial-stage5b-v001,R12,verified-visible,"Suspense fallback semantics, useSuspenseQuery, enabled limitation, boundary placement, and serial Suspense behavior",Readable.
