source_id,order_in_group,group_key,region,candidate_status,decision,meaning,image_use_id,fileId_short,x,y,width,height,nearest_labels_for_search_only
S-001,1,BYTES-R01-stream-to-byte-array-toarray-readasbytearray,BYTES-R01,bytes-r01-stream-to-byte-array-candidate-stage0,candidate-not-final-stage0-boundary-only,"Stream/bytes conversion basics: Stream to byte[], MemoryStream, ToArray/ReadAsByteArray-style helpers, when reading the whole stream is acceptable.",IU-001,95a8895a79,4382.675,359.142,847.0,482.0,When to use what for reading | toArray and readasbytearray | Read Exactly | compact methods conspect | readasync | can limit upper bound | with readasync we read bytes | that are available | but we can get more bytes later | with this we get all without loop
S-002,2,BYTES-R01-stream-to-byte-array-toarray-readasbytearray,BYTES-R01,bytes-r01-stream-to-byte-array-candidate-stage0,candidate-not-final-stage0-boundary-only,"Stream/bytes conversion basics: Stream to byte[], MemoryStream, ToArray/ReadAsByteArray-style helpers, when reading the whole stream is acceptable.",IU-002,c837ff2c44,5623.537,385.593,891.0,441.0,When to use what for reading | toArray and readasbytearray | Read Exactly | compact methods conspect | readasync | can limit upper bound | can use a slice | with readasync we read bytes | that are available | but we can get more bytes later
S-003,3,BYTES-R01-stream-to-byte-array-toarray-readasbytearray,BYTES-R01,bytes-r01-stream-to-byte-array-candidate-stage0,candidate-not-final-stage0-boundary-only,"Stream/bytes conversion basics: Stream to byte[], MemoryStream, ToArray/ReadAsByteArray-style helpers, when reading the whole stream is acceptable.",IU-003,41330f01f8,1702.721,726.333,965.0,346.0,toArray and readasbytearray | Read Exactly | When to use what for reading | with readasync we read bytes | that are available | but we can get more bytes later | with this we get all without loop | (implicit loooping) | readatleast | compact methods conspect
S-004,4,BYTES-R01-stream-to-byte-array-toarray-readasbytearray,BYTES-R01,bytes-r01-stream-to-byte-array-candidate-stage0,candidate-not-final-stage0-boundary-only,"Stream/bytes conversion basics: Stream to byte[], MemoryStream, ToArray/ReadAsByteArray-style helpers, when reading the whole stream is acceptable.",IU-004,d1973d9e80,5687.22,841.274,916.0,482.0,When to use what for reading | toArray and readasbytearray | Read Exactly | compact methods conspect | readasync | can limit upper bound | can use a slice | with readasync we read bytes | that are available | but we can get more bytes later
S-005,5,BYTES-R01-stream-to-byte-array-toarray-readasbytearray,BYTES-R01,bytes-r01-stream-to-byte-array-candidate-stage0,candidate-not-final-stage0-boundary-only,"Stream/bytes conversion basics: Stream to byte[], MemoryStream, ToArray/ReadAsByteArray-style helpers, when reading the whole stream is acceptable.",IU-005,7c6ce4cc95,4417.183,972.447,923.0,406.0,When to use what for reading | toArray and readasbytearray | Read Exactly | compact methods conspect | readasync | can limit upper bound | with readasync we read bytes | that are available | but we can get more bytes later | with this we get all without loop
S-006,6,BYTES-R01-stream-to-byte-array-toarray-readasbytearray,BYTES-R01,bytes-r01-stream-to-byte-array-candidate-stage0,candidate-not-final-stage0-boundary-only,"Stream/bytes conversion basics: Stream to byte[], MemoryStream, ToArray/ReadAsByteArray-style helpers, when reading the whole stream is acceptable.",IU-006,ea3dbd0653,1736.697,1117.226,864.0,209.0,toArray and readasbytearray | Read Exactly | with readasync we read bytes | that are available | When to use what for reading | but we can get more bytes later | with this we get all without loop | (implicit loooping) | readatleast | compact methods conspect
S-007,7,BYTES-R01-stream-to-byte-array-toarray-readasbytearray,BYTES-R01,bytes-r01-stream-to-byte-array-candidate-stage0,candidate-not-final-stage0-boundary-only,"Stream/bytes conversion basics: Stream to byte[], MemoryStream, ToArray/ReadAsByteArray-style helpers, when reading the whole stream is acceptable.",IU-007,0b3dffb71c,1753.493,1314.393,943.0,348.0,Read Exactly | toArray and readasbytearray | with readasync we read bytes | that are available | but we can get more bytes later | with this we get all without loop | (implicit loooping) | When to use what for reading | readatleast | compact methods conspect
S-008,8,BYTES-R01-stream-to-byte-array-toarray-readasbytearray,BYTES-R01,bytes-r01-stream-to-byte-array-candidate-stage0,candidate-not-final-stage0-boundary-only,"Stream/bytes conversion basics: Stream to byte[], MemoryStream, ToArray/ReadAsByteArray-style helpers, when reading the whole stream is acceptable.",IU-008,6b4d0bf47c,5751.208,1351.771,776.0,321.0,When to use what for reading | Read Exactly | compact methods conspect | toArray and readasbytearray | readasync | can limit upper bound | can use a slice | with readasync we read bytes | that are available | but we can get more bytes later
S-009,9,BYTES-R01-stream-to-byte-array-toarray-readasbytearray,BYTES-R01,bytes-r01-stream-to-byte-array-candidate-stage0,candidate-not-final-stage0-boundary-only,"Stream/bytes conversion basics: Stream to byte[], MemoryStream, ToArray/ReadAsByteArray-style helpers, when reading the whole stream is acceptable.",IU-009,347881d8ab,4449.182,1424.422,939.0,300.0,When to use what for reading | Read Exactly | compact methods conspect | toArray and readasbytearray | readasync | can limit upper bound | with readasync we read bytes | that are available | but we can get more bytes later | with this we get all without loop
S-010,10,BYTES-R01-stream-to-byte-array-toarray-readasbytearray,BYTES-R01,bytes-r01-stream-to-byte-array-candidate-stage0,candidate-not-final-stage0-boundary-only,"Stream/bytes conversion basics: Stream to byte[], MemoryStream, ToArray/ReadAsByteArray-style helpers, when reading the whole stream is acceptable.",IU-010,91c91316b9,5747.708,1693.437,933.0,361.0,When to use what for reading | Read Exactly | compact methods conspect | readasync | can limit upper bound | toArray and readasbytearray | can use a slice | with readasync we read bytes | that are available | but we can get more bytes later
S-011,11,BYTES-R01-stream-to-byte-array-toarray-readasbytearray,BYTES-R01,bytes-r01-stream-to-byte-array-candidate-stage0,candidate-not-final-stage0-boundary-only,"Stream/bytes conversion basics: Stream to byte[], MemoryStream, ToArray/ReadAsByteArray-style helpers, when reading the whole stream is acceptable.",IU-011,620e004fe1,1765.493,1697.615,919.0,346.0,Read Exactly | toArray and readasbytearray | with readasync we read bytes | that are available | but we can get more bytes later | with this we get all without loop | (implicit loooping) | readatleast | When to use what for reading | compact methods conspect
S-012,12,BYTES-R01-stream-to-byte-array-toarray-readasbytearray,BYTES-R01,bytes-r01-stream-to-byte-array-candidate-stage0,candidate-not-final-stage0-boundary-only,"Stream/bytes conversion basics: Stream to byte[], MemoryStream, ToArray/ReadAsByteArray-style helpers, when reading the whole stream is acceptable.",IU-012,84e92f8ecb,4470.913,1742.114,834.0,120.0,When to use what for reading | Read Exactly | compact methods conspect | readasync | can limit upper bound | with readasync we read bytes | that are available | toArray and readasbytearray | but we can get more bytes later | with this we get all without loop
S-013,13,BYTES-R01-stream-to-byte-array-toarray-readasbytearray,BYTES-R01,bytes-r01-stream-to-byte-array-candidate-stage0,candidate-not-final-stage0-boundary-only,"Stream/bytes conversion basics: Stream to byte[], MemoryStream, ToArray/ReadAsByteArray-style helpers, when reading the whole stream is acceptable.",IU-013,6d7f3116f8,4475.982,1849.55,775.0,463.0,When to use what for reading | Read Exactly | compact methods conspect | readasync | can limit upper bound | with readasync we read bytes | that are available | but we can get more bytes later | with this we get all without loop | (implicit loooping)
S-014,1,BYTES-R02-readasync-partial-reads-compact-helpers,BYTES-R02,bytes-r02-readasync-partial-reads-candidate-stage0,candidate-not-final-stage0-boundary-only,"ReadAsync and partial reads: reading available bytes, loops, compact helper methods, upper-bound/slice behavior, and when reads may return less than requested.",IU-014,cf4c695911,3087.438,1866.101,889.0,482.0,Read Exactly | with readasync we read bytes | that are available | but we can get more bytes later | with this we get all without loop | (implicit loooping) | When to use what for reading | toArray and readasbytearray | compact methods conspect | readasync
S-015,2,BYTES-R02-readasync-partial-reads-compact-helpers,BYTES-R02,bytes-r02-readasync-partial-reads-candidate-stage0,candidate-not-final-stage0-boundary-only,"ReadAsync and partial reads: reading available bytes, loops, compact helper methods, upper-bound/slice behavior, and when reads may return less than requested.",IU-015,897e82239d,432.685,2052.352,926.0,433.0,Read Exactly | with readasync we read bytes | that are available | but we can get more bytes later | with this we get all without loop | (implicit loooping) | toArray and readasbytearray | readatleast | compact methods conspect | When to use what for reading
S-016,3,BYTES-R02-readasync-partial-reads-compact-helpers,BYTES-R02,bytes-r02-readasync-partial-reads-candidate-stage0,candidate-not-final-stage0-boundary-only,"ReadAsync and partial reads: reading available bytes, loops, compact helper methods, upper-bound/slice behavior, and when reads may return less than requested.",IU-016,ec341e85a9,1756.66,2053.781,950.0,131.0,Read Exactly | with readasync we read bytes | that are available | but we can get more bytes later | with this we get all without loop | (implicit loooping) | toArray and readasbytearray | readatleast | compact methods conspect | When to use what for reading
S-017,4,BYTES-R02-readasync-partial-reads-compact-helpers,BYTES-R02,bytes-r02-readasync-partial-reads-candidate-stage0,candidate-not-final-stage0-boundary-only,"ReadAsync and partial reads: reading available bytes, loops, compact helper methods, upper-bound/slice behavior, and when reads may return less than requested.",IU-017,9d7cb75d8d,5777.91,2066.114,869.0,482.0,compact methods conspect | readasync | When to use what for reading | can limit upper bound | Read Exactly | can use a slice | with readasync we read bytes | that are available | but we can get more bytes later | with this we get all without loop
S-018,5,BYTES-R02-readasync-partial-reads-compact-helpers,BYTES-R02,bytes-r02-readasync-partial-reads-candidate-stage0,candidate-not-final-stage0-boundary-only,"ReadAsync and partial reads: reading available bytes, loops, compact helper methods, upper-bound/slice behavior, and when reads may return less than requested.",IU-018,18d41f90d2,4459.849,2320.845,891.0,341.0,compact methods conspect | readasync | can limit upper bound | When to use what for reading | with readasync we read bytes | that are available | but we can get more bytes later | Read Exactly | with this we get all without loop | (implicit loooping)
S-019,6,BYTES-R02-readasync-partial-reads-compact-helpers,BYTES-R02,bytes-r02-readasync-partial-reads-candidate-stage0,candidate-not-final-stage0-boundary-only,"ReadAsync and partial reads: reading available bytes, loops, compact helper methods, upper-bound/slice behavior, and when reads may return less than requested.",IU-019,908727bbc3,3098.567,2371.794,967.0,425.0,with readasync we read bytes | that are available | but we can get more bytes later | with this we get all without loop | (implicit loooping) | Read Exactly | compact methods conspect | readasync | readatleast | can limit upper bound
S-020,7,BYTES-R02-readasync-partial-reads-compact-helpers,BYTES-R02,bytes-r02-readasync-partial-reads-candidate-stage0,candidate-not-final-stage0-boundary-only,"ReadAsync and partial reads: reading available bytes, loops, compact helper methods, upper-bound/slice behavior, and when reads may return less than requested.",IU-020,a9969f3ffe,419.895,2529.853,934.0,334.0,that are available | but we can get more bytes later | with readasync we read bytes | with this we get all without loop | (implicit loooping) | Read Exactly | readatleast | toArray and readasbytearray | compact methods conspect | readasync
S-021,8,BYTES-R02-readasync-partial-reads-compact-helpers,BYTES-R02,bytes-r02-readasync-partial-reads-candidate-stage0,candidate-not-final-stage0-boundary-only,"ReadAsync and partial reads: reading available bytes, loops, compact helper methods, upper-bound/slice behavior, and when reads may return less than requested.",IU-021,8398737ef7,4485.529,2676.217,774.0,260.0,compact methods conspect | readasync | can limit upper bound | (implicit loooping) | can use a slice | with this we get all without loop | but we can get more bytes later | that are available | with readasync we read bytes | !!!
S-022,9,BYTES-R02-readasync-partial-reads-compact-helpers,BYTES-R02,bytes-r02-readasync-partial-reads-candidate-stage0,candidate-not-final-stage0-boundary-only,"ReadAsync and partial reads: reading available bytes, loops, compact helper methods, upper-bound/slice behavior, and when reads may return less than requested.",IU-022,2f71411062,3120.955,2811.59,940.0,458.0,compact methods conspect | (implicit loooping) | with this we get all without loop | but we can get more bytes later | that are available | with readasync we read bytes | readasync | readatleast | can limit upper bound | Read Exactly
S-023,10,BYTES-R02-readasync-partial-reads-compact-helpers,BYTES-R02,bytes-r02-readasync-partial-reads-candidate-stage0,candidate-not-final-stage0-boundary-only,"ReadAsync and partial reads: reading available bytes, loops, compact helper methods, upper-bound/slice behavior, and when reads may return less than requested.",IU-023,db0e04201a,443.828,2912.444,858.0,482.0,(implicit loooping) | with this we get all without loop | but we can get more bytes later | that are available | with readasync we read bytes | Read Exactly | readatleast | compact methods conspect | toArray and readasbytearray | readasync
S-024,11,BYTES-R02-readasync-partial-reads-compact-helpers,BYTES-R02,bytes-r02-readasync-partial-reads-candidate-stage0,candidate-not-final-stage0-boundary-only,"ReadAsync and partial reads: reading available bytes, loops, compact helper methods, upper-bound/slice behavior, and when reads may return less than requested.",IU-024,584a6aee2e,4709.251,4313.062,885.0,482.0,"can limit upper bound | readasync | can use a slice | compact methods conspect | !!! | but the benefit is limiter, you will | allocate the same size | make sense when you just cant affort to read more that the buffer size/limit | because of some logic,not some memory considerations | many repeated operations can cost more"
