text_id,text,x,y,region_id,status,transcript_file,authoritative_transcript
T-001,span and memory,3994.4898290668207,846.4500537123004,R01,closed,01-transcript-R01-span-memory-ownership-and-pipelines.md,06-full-combined-final-transcript.md
T-002,provide view of something without copying,3994.4898290668207,983.795804309088,R01,closed,01-transcript-R01-span-memory-ownership-and-pipelines.md,06-full-combined-final-transcript.md
T-003,and maybe mutation if its mutable,3994.4898290668207,1121.1415549058756,R01,closed,01-transcript-R01-span-memory-ownership-and-pipelines.md,06-full-combined-final-transcript.md
T-004,memory vs span,1364.1255987994055,2056.7353165225886,R01,closed,01-transcript-R01-span-memory-ownership-and-pipelines.md,06-full-combined-final-transcript.md
T-005,stackallock,3724.407426961274,4280.229031876164,R02,closed,02-transcript-R02-stackalloc-basics-thresholds-and-stack-pressure.md,06-full-combined-final-transcript.md
T-006,stackmemory stack overflow,3724.407426961274,4349.238357663901,R02,closed,02-transcript-R02-stackalloc-basics-thresholds-and-stack-pressure.md,06-full-combined-final-transcript.md
T-007,when to use stackalloc when heap objects better,3724.407426961274,4487.257009239376,R02,closed,02-transcript-R02-stackalloc-basics-thresholds-and-stack-pressure.md,06-full-combined-final-transcript.md
T-008,how can avoid heap allocations in loops but carefully,3724.407426961274,4625.275660814852,R02,closed,02-transcript-R02-stackalloc-basics-thresholds-and-stack-pressure.md,06-full-combined-final-transcript.md
T-009,tackalloc in separate method,4076.6945364941967,8068.092131436316,R03,closed,03-transcript-R03-stackalloc-lifetimes-loops-and-async-boundaries.md,06-full-combined-final-transcript.md
T-010,reducing gc pressure,2627.369135742313,10707.657080358971,R03,closed,03-transcript-R03-stackalloc-lifetimes-loops-and-async-boundaries.md,06-full-combined-final-transcript.md
T-011,memory.span,5667.632464654904,2726.4419950313827,R01,closed,01-transcript-R01-span-memory-ownership-and-pipelines.md,06-full-combined-final-transcript.md
T-012,!!!!,1152.9050255853408,4410.949179381566,R02,closed,02-transcript-R02-stackalloc-basics-thresholds-and-stack-pressure.md,06-full-combined-final-transcript.md
T-013,about stack overflow and memory,4009.7762493878317,6018.7424054952435,R02,closed,02-transcript-R02-stackalloc-basics-thresholds-and-stack-pressure.md,06-full-combined-final-transcript.md
T-014,how to calculate size of some shit,2742.083992998524,12022.275437652777,R04,closed,04-transcript-R04-unmanaged-types-pooling-and-size-calculation.md,06-full-combined-final-transcript.md
T-015,what span and memory can,6828.861275713369,2070.1895405063187,R01,closed,01-transcript-R01-span-memory-ownership-and-pipelines.md,06-full-combined-final-transcript.md
T-016,have inside,6828.861275713369,2117.411769510225,R01,closed,01-transcript-R01-span-memory-ownership-and-pipelines.md,06-full-combined-final-transcript.md
T-017,stackalloc additions,6828.861275713369,2164.6339985141312,R01,closed,01-transcript-R01-span-memory-ownership-and-pipelines.md,06-full-combined-final-transcript.md
T-018,"what is ordinary value type, not ref struct",8545.129229047274,2116.564011897813,R01,closed,01-transcript-R01-span-memory-ownership-and-pipelines.md,06-full-combined-final-transcript.md
T-019,"so of memory and span are structs, they are being copyed",8545.129229047274,2163.8973401448834,R01,closed,01-transcript-R01-span-memory-ownership-and-pipelines.md,06-full-combined-final-transcript.md
T-020,can i use ref with them?,8545.129229047274,2211.2306683919537,R01,closed,01-transcript-R01-span-memory-ownership-and-pipelines.md,06-full-combined-final-transcript.md
T-021,16 btes for struct guideline,2838.37982836251,14666.564090001271,R05,closed,05-transcript-R05-struct-layout-padding-alignment-and-guidelines.md,06-full-combined-final-transcript.md
T-022,padding for alignment,1671.419840589594,13222.638376791701,R05,closed,05-transcript-R05-struct-layout-padding-alignment-and-guidelines.md,06-full-combined-final-transcript.md
T-023,how to waste less memory just by ordering,1671.419840589594,13247.638376791701,R05,closed,05-transcript-R05-struct-layout-padding-alignment-and-guidelines.md,06-full-combined-final-transcript.md
T-024,properties properly,1671.419840589594,13272.638376791701,R05,closed,05-transcript-R05-struct-layout-padding-alignment-and-guidelines.md,06-full-combined-final-transcript.md
T-025,producer - consumer pipeline usecase,235.08578988489353,2444.3541262592125,R01,closed,01-transcript-R01-span-memory-ownership-and-pipelines.md,06-full-combined-final-transcript.md
T-026,for memory,235.08578988489353,2469.3541262592125,R01,closed,01-transcript-R01-span-memory-ownership-and-pipelines.md,06-full-combined-final-transcript.md
T-027,if arg needs ref - your prop that you pass,1892.1396545381076,9893.113898242058,R03,closed,03-transcript-R03-stackalloc-lifetimes-loops-and-async-boundaries.md,06-full-combined-final-transcript.md
T-028,need to return ref,1892.1396545381076,9918.113898242058,R03,closed,03-transcript-R03-stackalloc-lifetimes-loops-and-async-boundaries.md,06-full-combined-final-transcript.md
T-029,unmanaged types,4872.204303588582,10030.926392377196,R03,closed,03-transcript-R03-stackalloc-lifetimes-loops-and-async-boundaries.md,06-full-combined-final-transcript.md
T-030,where T :unmanaged,6575.797449004177,10091.508194275082,R03,closed,03-transcript-R03-stackalloc-lifetimes-loops-and-async-boundaries.md,06-full-combined-final-transcript.md
T-031,stackalloc,3696.6662597656255,4017.7733736165355,R02,closed,02-transcript-R02-stackalloc-basics-thresholds-and-stack-pressure.md,06-full-combined-final-transcript.md
