source_id,image_use_id,fileId_short,stage0_group,stage1_region,status,theme,transcript,notes
S-001,IU-001,2d8ac9d83e,ENC-R01-basics-getstring-getbytes-getchars-counts,ENC-R01,verified-visible-semantic-transcript,Basics: GetString / GetBytes overloads.,"Basics: GetString / GetBytes overloads.

Visible main thing:
- `Encoding.UTF8.GetString(bytes)` decodes bytes into a string.
- `Encoding.UTF8.GetBytes(text)` encodes a string into bytes.
- In .NET / C#, the API defaults to using the full passed source when no offset/count or span slice is specified.

Meaning:
This is the entry point mental model: `GetString` is bytes -> string, `GetBytes` is string/chars -> bytes.",Stage1 source-level semantic transcript from visible source image/contact sheet; exact code punctuation should be checked against preserved PNG if needed.
S-003,IU-003,ea1f5a1316,ENC-R01-basics-getstring-getbytes-getchars-counts,ENC-R01,verified-visible-semantic-transcript,Why counts usually do not need to be specified.,"Why counts usually do not need to be specified.

Visible note:
- Most overloads have simpler forms that use the whole source.
- Advanced overloads take offset/count or spans.
- For `Encoding.UTF8.GetString(...)`, if you pass a complete byte array/span, it decodes the whole thing.

Meaning:
Use the simple overload for whole-source conversions. Use span/index/count overloads only when you intentionally want a segment or caller-provided buffer.",Stage1 source-level semantic transcript from visible source image/contact sheet; exact code punctuation should be checked against preserved PNG if needed.
S-004,IU-004,3d6f0dd1d6,ENC-R01-basics-getstring-getbytes-getchars-counts,ENC-R01,verified-visible-semantic-transcript,1. String -> bytes.,"1. String -> bytes.

Visible code:
- `byte[] bytes = Encoding.UTF8.GetBytes(""Hello"");`
- span overload example writes to a provided byte buffer.

Meaning:
`GetBytes` is the usual direct conversion from `string`/chars to UTF-8 bytes. If you provide a destination span, you control allocation and can avoid creating a new array.",Stage1 source-level semantic transcript from visible source image/contact sheet; exact code punctuation should be checked against preserved PNG if needed.
S-005,IU-005,6992f787ac,ENC-R01-basics-getstring-getbytes-getchars-counts,ENC-R01,verified-visible-semantic-transcript,"""Can I use Memory?""","""Can I use Memory?""

Visible idea:
- `Memory<T>` / `ReadOnlyMemory<T>` can be used by taking `.Span`.
- Example: `readOnlyMemory.Span`
- Use span-based overloads with `GetBytes` / `GetChars`.

Meaning:
Encoding APIs are mostly span-oriented for high-performance overloads. If your data is in Memory, pass its Span/ReadOnlySpan to the encoding method.",Stage1 source-level semantic transcript from visible source image/contact sheet; exact code punctuation should be checked against preserved PNG if needed.
S-008,IU-008,78c10d1ebd,ENC-R01-basics-getstring-getbytes-getchars-counts,ENC-R01,verified-visible-semantic-transcript,2. Decode UTF-8 bytes to text.,"2. Decode UTF-8 bytes to text.

Visible options:
A. Allocate a new string:
- `string s = Encoding.UTF8.GetString(bytes);`
- or decode a byte segment with index/count.
B. Important: GetString does not fill an existing char array.

Meaning:
Use `GetString` when the output should be a new string. If you want to decode into an existing char buffer, use `GetChars` instead.",Stage1 source-level semantic transcript from visible source image/contact sheet; exact code punctuation should be checked against preserved PNG if needed.
S-009,IU-009,4ed9508b45,ENC-R01-basics-getstring-getbytes-getchars-counts,ENC-R01,verified-visible-semantic-transcript,1. Encode text to UTF-8 bytes.,"1. Encode text to UTF-8 bytes.

Visible:
- Allocate a new `byte[]`.
- Example uses `Encoding.UTF8.GetBytes(""Hello"")`.
- The note says this calls `GetByteCount(...)` and `GetBytes(...)` internally/under the hood conceptually.

Meaning:
The simple array-returning overload is convenient and allocates for you. For performance or fixed buffers, use count + caller-provided span overloads.",Stage1 source-level semantic transcript from visible source image/contact sheet; exact code punctuation should be checked against preserved PNG if needed.
S-010,IU-010,b9e22eab17,ENC-R01-basics-getstring-getbytes-getchars-counts,ENC-R01,verified-visible-semantic-transcript,2. Bytes -> string.,"2. Bytes -> string.

Visible code:
- `string text = Encoding.UTF8.GetString(bytes);`
- Example byte array for UTF-8 bytes.
- Output is `""Hello""`.

Meaning:
If the byte sequence is complete and valid UTF-8, `GetString` decodes it into normal .NET UTF-16 string characters.",Stage1 source-level semantic transcript from visible source image/contact sheet; exact code punctuation should be checked against preserved PNG if needed.
S-012,IU-012,b12ae2226f,ENC-R01-basics-getstring-getbytes-getchars-counts,ENC-R01,verified-visible-semantic-transcript,B. Old array + indexes API.,"B. Old array + indexes API.

Visible code shows:
- `charCount = Encoding.UTF8.GetCharCount(bytes, index, count);`
- allocate `char[]`
- `GetChars(bytes, index, count, chars, charIndex)`

Meaning:
The older overloads let you decode only a segment of a byte array and write into a char array. Good for legacy APIs or array-based pipelines.",Stage1 source-level semantic transcript from visible source image/contact sheet; exact code punctuation should be checked against preserved PNG if needed.
S-013,IU-013,794d3a440f,ENC-R01-basics-getstring-getbytes-getchars-counts,ENC-R01,verified-visible-semantic-transcript,B. Old array + indexes API for decoded chars.,"B. Old array + indexes API for decoded chars.

Visible flow:
1. Call `GetCharCount` for a byte segment.
2. Allocate `char[]` of that exact size.
3. Call `GetChars` to fill it.
4. Then build a string if needed.

Meaning:
This is the exact-size array workflow when you know the byte range and want a char array rather than directly creating a string.",Stage1 source-level semantic transcript from visible source image/contact sheet; exact code punctuation should be checked against preserved PNG if needed.
S-014,IU-014,a50e63ebcf,ENC-R01-basics-getstring-getbytes-getchars-counts,ENC-R01,verified-visible-semantic-transcript,3. Most common encoding.,"3. Most common encoding.

Visible:
- `Encoding.UTF8`
- Because UTF-8 is the normal default choice for APIs, JSON, HTTP, HTML, web data, and most text interchange.

Meaning:
Default to UTF-8 unless you have a concrete reason to use another encoding.",Stage1 source-level semantic transcript from visible source image/contact sheet; exact code punctuation should be checked against preserved PNG if needed.
S-015,IU-015,91bb466903,ENC-R01-basics-getstring-getbytes-getchars-counts,ENC-R01,verified-visible-semantic-transcript,C. New span API.,"C. New span API.

Visible:
- Works on spans.
- Can call `GetCharCount` over a byte span.
- Allocate char buffer/span.
- Decode bytes into chars.
- Similar idea to array overloads, but span-based.

Meaning:
The span API is the modern version for slicing/working with memory without allocating intermediate arrays.",Stage1 source-level semantic transcript from visible source image/contact sheet; exact code punctuation should be checked against preserved PNG if needed.
