source_id,image_use_id,fileId_short,x,y,width,height,candidate_group,decision,reason,nearest_labels_for_search_only
S-006,IU-006,8a232da430,7542.419,2284.89,990,226,ef04-shadow-property-query-filter,candidate-for-EF04-transcript,"Shadow property filter using EF.Property<bool>(..., ""IsDeleted"").","L-006: shadow prop usage | L-029: 1 if not default id - marks as unchanged | 2 if need to modify - attach then modify or mark modified excplicitly | 3 if  | L-008: Attach | L-045: can do partial inits only | for projections for read, | write need encapsulation, | and invariants | also cant return th | L-046: partial init antipatter"
S-028,IU-028,354939e8d7,8751.825,3135.582,717,861,processed-EF02-overlap,checked-not-EF04-already-processed,Already processed in EF02 Attach/disconnected update/entity state; visually nearby but not EF04 ownership.,"L-029: 1 if not default id - marks as unchanged | 2 if need to modify - attach then modify or mark modified excplicitly | 3 if  | L-008: Attach | L-027: what to avoid in ctors, | would ef use parameterless ctor by default? | L-006: shadow prop usage | L-026: nullable relationships"
S-029,IU-029,5e335b4ef1,8761.267,2461.568,820,289,processed-EF02-overlap,checked-not-EF04-already-processed,Already processed in EF02 Attach/disconnected update/entity state; visually nearby but not EF04 ownership.,"L-029: 1 if not default id - marks as unchanged | 2 if need to modify - attach then modify or mark modified excplicitly | 3 if  | L-008: Attach | L-027: what to avoid in ctors, | would ef use parameterless ctor by default? | L-006: shadow prop usage | L-028: ctors wont run when ef materializes entities?"
S-030,IU-030,1b74640858,8762.46,2823.004,713,241,processed-EF02-overlap,checked-not-EF04-already-processed,Already processed in EF02 Attach/disconnected update/entity state; visually nearby but not EF04 ownership.,"L-029: 1 if not default id - marks as unchanged | 2 if need to modify - attach then modify or mark modified excplicitly | 3 if  | L-008: Attach | L-027: what to avoid in ctors, | would ef use parameterless ctor by default? | L-006: shadow prop usage | L-028: ctors wont run when ef materializes entities?"
S-024,IU-024,4538d60710,10302.698,2713.734,828,210,processed-EF03-overlap,checked-not-EF04-already-processed,Already processed in EF03 constructors/materialization; visually nearby but not EF04 ownership.,"L-027: what to avoid in ctors, | would ef use parameterless ctor by default? | L-028: ctors wont run when ef materializes entities? | L-008: Attach | L-029: 1 if not default id - marks as unchanged | 2 if need to modify - attach then modify or mark modified excplicitly | 3 if  | L-026: nullable relationships"
S-025,IU-025,bc91d60828,10301.576,2932.244,686,482,processed-EF03-overlap,checked-not-EF04-already-processed,Already processed in EF03 constructors/materialization; visually nearby but not EF04 ownership.,"L-027: what to avoid in ctors, | would ef use parameterless ctor by default? | L-026: nullable relationships | L-028: ctors wont run when ef materializes entities? | L-029: 1 if not default id - marks as unchanged | 2 if need to modify - attach then modify or mark modified excplicitly | 3 if  | L-008: Attach"
S-026,IU-026,e42dcdf323,10295.198,3437.901,819,247,processed-EF03-overlap,checked-not-EF04-already-processed,Already processed in EF03 constructors/materialization; visually nearby but not EF04 ownership.,"L-027: what to avoid in ctors, | would ef use parameterless ctor by default? | L-026: nullable relationships | L-028: ctors wont run when ef materializes entities? | L-029: 1 if not default id - marks as unchanged | 2 if need to modify - attach then modify or mark modified excplicitly | 3 if  | L-008: Attach"
S-027,IU-027,946177ff27,10298.814,1561.09,818,482,processed-EF03-overlap,checked-not-EF04-already-processed,Already processed in EF03 constructors/materialization; visually nearby but not EF04 ownership.,"L-028: ctors wont run when ef materializes entities? | L-027: what to avoid in ctors, | would ef use parameterless ctor by default? | L-039: entities shit | L-008: Attach | L-029: 1 if not default id - marks as unchanged | 2 if need to modify - attach then modify or mark modified excplicitly | 3 if "
S-031,IU-031,af19e8920a,5713.487,1928.146,822,366,processed-EF01A-overlap,checked-not-EF04-already-processed,Already processed in EF01A tracking/identity/read path; visually nearby but not EF04 ownership.,"L-046: partial init antipatter | L-045: can do partial inits only | for projections for read, | write need encapsulation, | and invariants | also cant return th | L-030: identity map pattern | L-006: shadow prop usage | L-038: so rep shit"
S-032,IU-032,27e0fafb7d,5666.154,2335.702,890,302,processed-EF01A-overlap,checked-not-EF04-already-processed,Already processed in EF01A tracking/identity/read path; visually nearby but not EF04 ownership.,"L-045: can do partial inits only | for projections for read, | write need encapsulation, | and invariants | also cant return th | L-046: partial init antipatter | L-030: identity map pattern | L-006: shadow prop usage | L-038: so rep shit"
S-033,IU-033,31d62e0a78,5636.154,2708.813,830,338,processed-EF01A-overlap,checked-not-EF04-already-processed,Already processed in EF01A tracking/identity/read path; visually nearby but not EF04 ownership.,"L-045: can do partial inits only | for projections for read, | write need encapsulation, | and invariants | also cant return th | L-046: partial init antipatter | L-030: identity map pattern | L-006: shadow prop usage | L-038: so rep shit"
