label_id,text,x,y,font_size,candidate_region,status,notes
T-001,database.sqlquery for projections,4804.90724234874,2451.5541456424276,36.35555555555524px,R03,pending-transcript,
T-002,scalars and other nontracking nonentity,4804.90724234874,2451.5541456424276,36.35555555555524px,R03,pending-transcript,
T-003,results,4804.90724234874,2451.5541456424276,36.35555555555524px,R03,pending-transcript,
T-004,fromsql is for tracked entity,5904.90724234874,2491.242438835236,51.515158913351485px,R03,pending-transcript,
T-005,result,5904.90724234874,2491.242438835236,51.515158913351485px,R03,pending-transcript,
T-006,the real danger of not parameterised values included from,461.505589995777,1832.4431543706037,36.987648292824005px,R01,pending-transcript,
T-007,user input into sql,461.505589995777,1832.4431543706037,36.987648292824005px,R01,pending-transcript,
T-008,sql injection,461.505589995777,1832.4431543706037,36.987648292824005px,R01,pending-transcript,
T-009,raw vs interpolated,1847.351575446849,1803.3866840493415,74.30300071022647px,R01,pending-transcript,
T-010,dynamic sql parts + parameterised values,10.0,4340.372917684686,82.4484996448862px,R01,pending-transcript,
T-011,type param is the,4447.738612245368,3598.5344875882074,20px,R03,pending-transcript,
T-012,type of item in a collection,4447.738612245368,3598.5344875882074,20px,R03,pending-transcript,
T-013,in a iqueryable,4447.738612245368,3598.5344875882074,20px,R03,pending-transcript,
T-014,executeupdate/,3077.491612711966,5613.762184613408,146.70670575287255px,R02,pending-transcript,
T-015,executedelete,3077.491612711966,5613.762184613408,146.70670575287255px,R02,pending-transcript,
T-016,bypassing chagetr,1649.2089940448252,6219.303319402285,146.70670575287255px,R01,pending-transcript,
T-017,simple poco muation,1649.2089940448252,6219.303319402285,146.70670575287255px,R01,pending-transcript,
T-018,setproperty,318.39211926024336,6811.427543298385,146.70670575287255px,R01,pending-transcript,
T-019,cant call methods,318.39211926024336,6811.427543298385,146.70670575287255px,R01,pending-transcript,
