source_id,order_in_group,group_key,region,candidate_status,decision,meaning,image_use_id,fileId_short,x,y,width,height,nearest_labels_for_search_only
S-384,1,R16-error-boundary-throwonerror-reset,R16,r16-error-boundary-throwonerror-reset-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"Error handling, throwOnError, ErrorBoundary / QueryErrorResetBoundary, retryOnMount/reset flow.",IU-384,bbfaf9d502,7206.015,34544.044,640,482,L-105: Error handling error boundary | L-111: will it retry with throwonerror? | L-100: cancelling queries
S-388,2,R16-error-boundary-throwonerror-reset,R16,r16-error-boundary-throwonerror-reset-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"Error handling, throwOnError, ErrorBoundary / QueryErrorResetBoundary, retryOnMount/reset flow.",IU-388,26a09fc19d,7205.877,35041.822,712,482,L-111: will it retry with throwonerror? | L-112: flow with catching error in booundary and trying rerender with refetching the query instead of rerendering with error... | L-105: Error handling error boundary
S-390,3,R16-error-boundary-throwonerror-reset,R16,r16-error-boundary-throwonerror-reset-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"Error handling, throwOnError, ErrorBoundary / QueryErrorResetBoundary, retryOnMount/reset flow.",IU-390,47947570b6,9750.805,35348.996,844,386,L-106: throw on error | L-105: Error handling error boundary | L-104: or better excplicitly cancel queries when you need cancellation on some aciton
S-392,4,R16-error-boundary-throwonerror-reset,R16,r16-error-boundary-throwonerror-reset-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"Error handling, throwOnError, ErrorBoundary / QueryErrorResetBoundary, retryOnMount/reset flow.",IU-392,bd24fb8749,7127.509,35547.145,913,325,L-111: will it retry with throwonerror? | L-112: flow with catching error in booundary and trying rerender with refetching the query instead of rerendering with error... | L-105: Error handling error boundary
S-394,5,R16-error-boundary-throwonerror-reset,R16,r16-error-boundary-throwonerror-reset-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"Error handling, throwOnError, ErrorBoundary / QueryErrorResetBoundary, retryOnMount/reset flow.",IU-394,b3351d14fd,9730.9,35923.068,920,425,L-106: throw on error | L-113: queryerrorresetboundary | L-105: Error handling error boundary
S-395,6,R16-error-boundary-throwonerror-reset,R16,r16-error-boundary-throwonerror-reset-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"Error handling, throwOnError, ErrorBoundary / QueryErrorResetBoundary, retryOnMount/reset flow.",IU-395,79093152e5,7156.454,35934.478,784,417,L-111: will it retry with throwonerror? | L-112: flow with catching error in booundary and trying rerender with refetching the query instead of rerendering with error... | L-105: Error handling error boundary
S-398,7,R16-error-boundary-throwonerror-reset,R16,r16-error-boundary-throwonerror-reset-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"Error handling, throwOnError, ErrorBoundary / QueryErrorResetBoundary, retryOnMount/reset flow.",IU-398,bfb1da8007,9694.4,36379.068,963,443,L-113: queryerrorresetboundary | L-114: need retryonmount  true (default) | L-106: throw on error
S-405,8,R16-error-boundary-throwonerror-reset,R16,r16-error-boundary-throwonerror-reset-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"Error handling, throwOnError, ErrorBoundary / QueryErrorResetBoundary, retryOnMount/reset flow.",IU-405,913168d66e,9689.567,36980.568,768,272,L-113: queryerrorresetboundary | L-114: need retryonmount  true (default) | L-106: throw on error
S-407,9,R16-error-boundary-throwonerror-reset,R16,r16-error-boundary-throwonerror-reset-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"Error handling, throwOnError, ErrorBoundary / QueryErrorResetBoundary, retryOnMount/reset flow.",IU-407,750efbd479,7349.117,36985.978,903,180,L-111: will it retry with throwonerror? | L-112: flow with catching error in booundary and trying rerender with refetching the query instead of rerendering with error... | L-114: need retryonmount  true (default)
S-408,10,R16-error-boundary-throwonerror-reset,R16,r16-error-boundary-throwonerror-reset-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"Error handling, throwOnError, ErrorBoundary / QueryErrorResetBoundary, retryOnMount/reset flow.",IU-408,b3e6794ae9,8541.944,36993.188,537,98,L-112: flow with catching error in booundary and trying rerender with refetching the query instead of rerendering with error... | L-114: need retryonmount  true (default) | L-113: queryerrorresetboundary
S-409,11,R16-error-boundary-throwonerror-reset,R16,r16-error-boundary-throwonerror-reset-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"Error handling, throwOnError, ErrorBoundary / QueryErrorResetBoundary, retryOnMount/reset flow.",IU-409,80a0e0aac1,8535.933,37100.425,692,482,L-114: need retryonmount  true (default) | L-112: flow with catching error in booundary and trying rerender with refetching the query instead of rerendering with error... | L-113: queryerrorresetboundary
S-411,12,R16-error-boundary-throwonerror-reset,R16,r16-error-boundary-throwonerror-reset-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"Error handling, throwOnError, ErrorBoundary / QueryErrorResetBoundary, retryOnMount/reset flow.",IU-411,e55cc5a5e6,7358.617,37173.83,884,308,L-111: will it retry with throwonerror? | L-112: flow with catching error in booundary and trying rerender with refetching the query instead of rerendering with error... | L-114: need retryonmount  true (default)
S-412,13,R16-error-boundary-throwonerror-reset,R16,r16-error-boundary-throwonerror-reset-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"Error handling, throwOnError, ErrorBoundary / QueryErrorResetBoundary, retryOnMount/reset flow.",IU-412,c1bdab56fb,9702.472,37272.078,797,482,L-114: need retryonmount  true (default) | L-113: queryerrorresetboundary | L-112: flow with catching error in booundary and trying rerender with refetching the query instead of rerendering with error...
S-399,1,R17-useTransition-urgent-nonurgent-pagination,R17,r17-usetransition-pagination-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"React useTransition, urgent/non-urgent updates, keeping old page visible while new page is loading.",IU-399,77f3392f85,4281.693,36451.673,550,482,L-109: usetransition | L-110: react marksstate updates and rerenders that they cause as urgent and non urgent so we can have urgent updates while w... | L-108: urgent/non urgent updates/rerenders
S-402,2,R17-useTransition-urgent-nonurgent-pagination,R17,r17-usetransition-pagination-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"React useTransition, urgent/non-urgent updates, keeping old page visible while new page is loading.",IU-402,ae1e6f231c,2869.756,36589.489,842,482,L-110: react marksstate updates and rerenders that they cause as urgent and non urgent so we can have urgent updates while w... | L-109: usetransition | L-108: urgent/non urgent updates/rerenders
S-404,3,R17-useTransition-urgent-nonurgent-pagination,R17,r17-usetransition-pagination-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"React useTransition, urgent/non-urgent updates, keeping old page visible while new page is loading.",IU-404,8e0c011793,4273.749,36954.996,543,389,L-109: usetransition | L-110: react marksstate updates and rerenders that they cause as urgent and non urgent so we can have urgent updates while w... | L-116: use to show that new page is loading while the old page is still on the screen
S-410,4,R17-useTransition-urgent-nonurgent-pagination,R17,r17-usetransition-pagination-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"React useTransition, urgent/non-urgent updates, keeping old page visible while new page is loading.",IU-410,c8f2acd497,2869.581,37109.423,887,478,L-110: react marksstate updates and rerenders that they cause as urgent and non urgent so we can have urgent updates while w... | L-116: use to show that new page is loading while the old page is still on the screen | L-109: usetransition
S-413,5,R17-useTransition-urgent-nonurgent-pagination,R17,r17-usetransition-pagination-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"React useTransition, urgent/non-urgent updates, keeping old page visible while new page is loading.",IU-413,5e8f804ee4,4282.582,37339.163,532,374,L-109: usetransition | L-110: react marksstate updates and rerenders that they cause as urgent and non urgent so we can have urgent updates while w... | L-116: use to show that new page is loading while the old page is still on the screen
S-417,6,R17-useTransition-urgent-nonurgent-pagination,R17,r17-usetransition-pagination-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"React useTransition, urgent/non-urgent updates, keeping old page visible while new page is loading.",IU-417,0aad523474,2991.526,37615.534,732,208,L-116: use to show that new page is loading while the old page is still on the screen | L-110: react marksstate updates and rerenders that they cause as urgent and non urgent so we can have urgent updates while w... | L-109: usetransition
