text_id,text,x,y,region_id,status,transcript_file,authoritative_transcript
T-001,recursion smell,4811.236311038421,75.69773689859471,R01,closed,01-transcript-R01-problem-statement-brute-force-and-recursion-smell.md,06-full-combined-final-transcript.md
T-002,need : give true if there is all combinations,4789.339022007031,128.9896454811182,R01,closed,01-transcript-R01-problem-statement-brute-force-and-recursion-smell.md,06-full-combined-final-transcript.md
T-003,of 1 and 0 of the length k as substring,4789.339022007031,153.9896454811182,R01,closed,01-transcript-R01-problem-statement-brute-force-and-recursion-smell.md,06-full-combined-final-transcript.md
T-004,of the inputted string,4789.339022007031,178.9896454811182,R01,closed,01-transcript-R01-problem-statement-brute-force-and-recursion-smell.md,06-full-combined-final-transcript.md
T-005,bf,4830.797884666741,366.3639191122129,R01,closed,01-transcript-R01-problem-statement-brute-force-and-recursion-smell.md,06-full-combined-final-transcript.md
T-006,ok if k > string length = false,4830.797884666741,416.3639191122129,R01,closed,01-transcript-R01-problem-statement-brute-force-and-recursion-smell.md,06-full-combined-final-transcript.md
T-007,problem : get all comb,4795.4285443855415,479.09340176176084,R01,closed,01-transcript-R01-problem-statement-brute-force-and-recursion-smell.md,06-full-combined-final-transcript.md
T-008,we build string,4795.4285443855415,504.09340176176084,R01,closed,01-transcript-R01-problem-statement-brute-force-and-recursion-smell.md,06-full-combined-final-transcript.md
T-009,"func(built,nextadd)",4795.4285443855415,554.0934017617608,R01,closed,01-transcript-R01-problem-statement-brute-force-and-recursion-smell.md,06-full-combined-final-transcript.md
T-010,if(built.length == k){,4795.4285443855415,579.0934017617608,R01,closed,01-transcript-R01-problem-statement-brute-force-and-recursion-smell.md,06-full-combined-final-transcript.md
T-011,combs.add(built),4795.4285443855415,604.0934017617608,R01,closed,01-transcript-R01-problem-statement-brute-force-and-recursion-smell.md,06-full-combined-final-transcript.md
T-012,},4795.4285443855415,629.0934017617608,R01,closed,01-transcript-R01-problem-statement-brute-force-and-recursion-smell.md,06-full-combined-final-transcript.md
T-013,funcadd 0,4795.4285443855415,654.0934017617608,R01,closed,01-transcript-R01-problem-statement-brute-force-and-recursion-smell.md,06-full-combined-final-transcript.md
T-014,bt,4795.4285443855415,679.0934017617608,R01,closed,01-transcript-R01-problem-statement-brute-force-and-recursion-smell.md,06-full-combined-final-transcript.md
T-015,funcadd 1,4795.4285443855415,704.0934017617608,R01,closed,01-transcript-R01-problem-statement-brute-force-and-recursion-smell.md,06-full-combined-final-transcript.md
T-016,how to check?,4830.307821401504,866.27265078059,R01,closed,01-transcript-R01-problem-statement-brute-force-and-recursion-smell.md,06-full-combined-final-transcript.md
T-017,get all combs,5625.121509155525,493.760418255486,R01,closed,01-transcript-R01-problem-statement-brute-force-and-recursion-smell.md,06-full-combined-final-transcript.md
T-018,11 10 01 00,5807.895366617178,495.2784641306332,R01,closed,01-transcript-R01-problem-statement-brute-force-and-recursion-smell.md,06-full-combined-final-transcript.md
