region_source_id,source_id,image_use_id,fileId_short,status,candidate_type,readability,cut_off,confidence,theme,notes
R03-S001,S-004,IU-004,a5138159cf,verified-from-extracted-svg-image,r03-candidate-confirmed,high,no,high,Streaming definition,Verified from extracted SVG image; exactness is high for visible text unless limitations are marked.
R03-S002,S-005,IU-005,57dda1cff1,verified-from-extracted-svg-image,r03-candidate-confirmed,high,no,high,A few words on streaming,Verified from extracted SVG image; exactness is high for visible text unless limitations are marked.
R03-S003,S-006,IU-006,82efdf3d5e,verified-from-extracted-svg-image,r03-candidate-confirmed,high,no,high,Synchronous vs asynchronous iteration intro,Verified from extracted SVG image; exactness is high for visible text unless limitations are marked.
R03-S004,S-007,IU-007,0519fd4e15,verified-from-extracted-svg-image,r03-candidate-confirmed,medium-high,diagram-labels-only,medium-high,Sync vs async iteration diagram 1,Verified from extracted SVG image; exactness is high for visible text unless limitations are marked.
R03-S005,S-029,IU-029,6278843a55,verified-from-extracted-svg-image,r03-candidate-confirmed,medium-high,slightly-small-text,medium-high,Not parallel DB calls; faster time-to-first-result,Verified from extracted SVG image; exactness is high for visible text unless limitations are marked.
R03-S006,S-008,IU-008,e9154019a5,verified-from-extracted-svg-image,r03-candidate-confirmed,medium-high,diagram-labels-only,medium-high,Sync vs async iteration diagram 2,Verified from extracted SVG image; exactness is high for visible text unless limitations are marked.
R03-S007,S-030,IU-030,2fb3f1b5ed,verified-from-extracted-svg-image,r03-candidate-confirmed,high,no,high,Streaming pipeline key point,Verified from extracted SVG image; exactness is high for visible text unless limitations are marked.
R03-S008,S-028,IU-028,1d5323c246,verified-from-extracted-svg-image,r03-candidate-confirmed,high,bottom-cropped-after-visible-non-streaming-start,high,Concrete timeline: streaming vs ToListAsync,Verified from extracted SVG image; exactness is high for visible text unless limitations are marked.
R03-S009,S-009,IU-009,d865a2c85a,verified-from-extracted-svg-image,r03-candidate-confirmed,medium-high,diagram-labels-only,medium-high,Sync vs async iteration diagram 3,Verified from extracted SVG image; exactness is high for visible text unless limitations are marked.
R03-S010,S-010,IU-010,3336c0c8cc,verified-from-extracted-svg-image,r03-candidate-confirmed,high,no,high,IAsyncEnumerable supports streaming,Verified from extracted SVG image; exactness is high for visible text unless limitations are marked.
R03-S011,S-091,IU-091,f408caaa47,verified-from-extracted-svg-image,r03-candidate-confirmed,medium-high,browser-top-noise,medium-high,Async iteration thread mental model,Verified from extracted SVG image; exactness is high for visible text unless limitations are marked.
R03-S012,S-001,IU-001,0b47610612,verified-from-extracted-svg-image,r03-candidate-confirmed,high,no,high,What streaming means for APIs,Verified from extracted SVG image; exactness is high for visible text unless limitations are marked.
R03-S013,S-002,IU-002,fd9db43c2e,verified-from-extracted-svg-image,r03-candidate-confirmed,high,no,high,Synchronous iteration,Verified from extracted SVG image; exactness is high for visible text unless limitations are marked.
R03-S014,S-090,IU-090,398f8379bc,verified-from-extracted-svg-image,r03-candidate-confirmed,high,no,high,StreamBooks DTO mapping code duplicate A,Verified from extracted SVG image; exactness is high for visible text unless limitations are marked.
R03-S015,S-003,IU-003,79d472135b,verified-from-extracted-svg-image,r03-candidate-confirmed,high,no,high,Asynchronous iteration,Verified from extracted SVG image; exactness is high for visible text unless limitations are marked.
R03-S016,S-087,IU-087,9cde088447,verified-from-extracted-svg-image,r03-candidate-confirmed,medium-high,top-context-cropped,medium-high,"Same query result stream, not one DB call per item",Verified from extracted SVG image; exactness is high for visible text unless limitations are marked.
R03-S017,S-011,IU-011,12fed4d3eb,verified-from-extracted-svg-image,r03-candidate-confirmed,high,no,high,Practical ASP.NET Core + EF Core notes: JSON format,Verified from extracted SVG image; exactness is high for visible text unless limitations are marked.
R03-S018,S-088,IU-088,0455744f18,verified-from-extracted-svg-image,r03-candidate-confirmed,medium-high,dark-code-slightly-small,medium-high,ADO.NET analogy,Verified from extracted SVG image; exactness is high for visible text unless limitations are marked.
R03-S019,S-012,IU-012,17a6484951,verified-from-extracted-svg-image,r03-candidate-confirmed,high,no,high,EF Core caveats and cancellation,Verified from extracted SVG image; exactness is high for visible text unless limitations are marked.
R03-S020,S-089,IU-089,740ae5b4da,verified-from-extracted-svg-image,r03-candidate-confirmed,high,no,high,One query / sequential async row reads,Verified from extracted SVG image; exactness is high for visible text unless limitations are marked.
R03-S021,S-092,IU-092,6ac838ac6e,verified-from-extracted-svg-image,r03-candidate-confirmed,high,no,high,Small vs large results mental model,Verified from extracted SVG image; exactness is high for visible text unless limitations are marked.
R03-S022,S-013,IU-013,5aaeff58eb,verified-from-extracted-svg-image,r03-candidate-confirmed,high,no,high,Repository returns AsAsyncEnumerable,Verified from extracted SVG image; exactness is high for visible text unless limitations are marked.
R03-S023,S-014,IU-014,93247c1563,verified-from-extracted-svg-image,r03-candidate-confirmed,medium-high,code-small,medium-high,Controller returns IAsyncEnumerable<Book>,Verified from extracted SVG image; exactness is high for visible text unless limitations are marked.
R03-S024,S-015,IU-015,398f8379bc,duplicate-visible-image-use-recorded,r03-candidate-confirmed,high,no,high,StreamBooks DTO mapping code duplicate B,Verified from extracted SVG image; exactness is high for visible text unless limitations are marked.
R03-S025,S-016,IU-016,ca95401a18,verified-from-extracted-svg-image,r03-candidate-confirmed,high,no,high,Filtering at data source,Verified from extracted SVG image; exactness is high for visible text unless limitations are marked.
R03-S026,S-017,IU-017,18261a0b09,verified-from-extracted-svg-image,r03-candidate-confirmed,high,no,high,Pattern: IQueryable then AsAsyncEnumerable,Verified from extracted SVG image; exactness is high for visible text unless limitations are marked.
R03-S027,S-018,IU-018,cf58b25382,verified-from-extracted-svg-image,r03-candidate-confirmed,high,no,high,Sorting explicit and stable,Verified from extracted SVG image; exactness is high for visible text unless limitations are marked.
R03-S028,S-019,IU-019,7158dc3314,verified-from-extracted-svg-image,r03-candidate-confirmed,high,no,high,Data shaping,Verified from extracted SVG image; exactness is high for visible text unless limitations are marked.
R03-S029,S-020,IU-020,bc5833ad87,verified-from-extracted-svg-image,r03-candidate-confirmed,high,no,high,Streaming-friendly pagination,Verified from extracted SVG image; exactness is high for visible text unless limitations are marked.
R03-S030,S-021,IU-021,0155dedbc5,verified-from-extracted-svg-image,r03-candidate-confirmed,high,no,high,HATEOAS with streaming arrays,Verified from extracted SVG image; exactness is high for visible text unless limitations are marked.
R03-S031,S-022,IU-022,a21b9dff25,verified-from-extracted-svg-image,r03-candidate-confirmed,high,no,high,Content negotiation,Verified from extracted SVG image; exactness is high for visible text unless limitations are marked.
R03-S032,S-023,IU-023,38b9c6ef01,verified-from-extracted-svg-image,r03-candidate-confirmed,high,no,high,Why NDJSON is great,Verified from extracted SVG image; exactness is high for visible text unless limitations are marked.
R03-S033,S-024,IU-024,f02d8ace77,verified-from-extracted-svg-image,pulled-from-unsplit-after-boundary-review,high,no,high,Caching usually limited for streaming endpoints,Verified from extracted SVG image; exactness is high for visible text unless limitations are marked.
R03-S034,S-025,IU-025,86ba3c4445,verified-from-extracted-svg-image,pulled-from-unsplit-after-boundary-review,high,no,high,Better caching strategy,Verified from extracted SVG image; exactness is high for visible text unless limitations are marked.
R03-S035,S-026,IU-026,0767c76762,verified-from-extracted-svg-image,pulled-from-unsplit-after-boundary-review,high,no,high,Observability and resilience,Verified from extracted SVG image; exactness is high for visible text unless limitations are marked.
R03-S036,S-027,IU-027,18fac0309a,verified-from-extracted-svg-image,pulled-from-unsplit-after-boundary-review,high,no,high,REST-friendly streaming endpoint contract,Verified from extracted SVG image; exactness is high for visible text unless limitations are marked.
