use_id,image_id,filename,sha256_12,region_id,x,y,width,height,opacity,duplicate_of_use_id,nearest_text_ids,nearest_captions,status,transcript_file,authoritative_transcript
IU-001,image-828ade57afbe80458c36b6df301fa0a68505a69f,7042bedc4246.png,7042bedc4246,R01,555.1997348904647,521.729745627571,892.0,215.0,1.0,,T-002|T-001|T-003,what about relative?|what if el has zindex and no position?|stacking context triggers,closed,01-transcript-R01-zindex-static-and-positioned-elements.md,05-full-combined-final-transcript.md
IU-002,image-2cc862408cafc7c90b1b5fc576016bb999b0fa40,102d86b78beb.png,102d86b78beb,R01,575.8147454698915,721.0055505203572,1192.0,187.0,1.0,,T-002|T-001|T-003,what about relative?|what if el has zindex and no position?|stacking context triggers,closed,01-transcript-R01-zindex-static-and-positioned-elements.md,05-full-combined-final-transcript.md
IU-003,image-02a303b80b89b23e500bd307dcdc2330ff531168,8c6729023b67.png,8c6729023b67,R02,3399.15940463914,294.32646840104735,852.0,482.0,1.0,,T-003|T-005|T-006,stacking context triggers|pseudo el can reach out|of context,closed,02-transcript-R02-stacking-context-creation-triggers.md,05-full-combined-final-transcript.md
IU-004,image-bcab672b0b152597cf925d26bff4a487a0127779,2e7220c6e767.png,2e7220c6e767,R03,5344.415581479056,749.7512377269051,1054.0,325.0,1.0,,T-004|T-005|T-006,examples|pseudo el can reach out|of context,closed,03-transcript-R03-nested-stacking-context-ordering.md,05-full-combined-final-transcript.md
IU-005,image-6f86c42df6989571c791b984734b373d4c62e0ea,ffae93c97345.png,ffae93c97345,R03,5334.8440511823665,268.80670124532855,1096.0,438.0,1.0,,T-004|T-005|T-006,examples|pseudo el can reach out|of context,closed,03-transcript-R03-nested-stacking-context-ordering.md,05-full-combined-final-transcript.md
IU-006,image-283c7d9a2d1358fb4d220ad5f80cc2cd5a0a92ae,29715d7ccfbb.png,29715d7ccfbb,R04,3607.8511412430544,1741.0103108366757,814.0,261.0,1.0,,T-006|T-005|T-007,of context|pseudo el can reach out|couldnt do this with my pos,closed,04-transcript-R04-pseudo-elements-overflow-and-practical-fixes.md,05-full-combined-final-transcript.md
IU-007,image-da45bc639f70bbabeb06321b2120bf1fea4f49c1,982343ba95b7.png,982343ba95b7,R04,3614.9871790354864,2342.9448024643107,883.0,261.0,1.0,,T-007|T-008|T-009,"couldnt do this with my pos|creates new stacking context on outer, so before is on its parent|but it can actually cross its borders, i just need to",closed,04-transcript-R04-pseudo-elements-overflow-and-practical-fixes.md,05-full-combined-final-transcript.md
IU-008,image-e00b24375dc4d083ec0ca37ec4d8964948e7e237,04247aa1639b.png,04247aa1639b,R04,3620.7428967705678,2036.6652859552278,767.0,261.0,1.0,,T-007|T-006|T-005,couldnt do this with my pos|of context|pseudo el can reach out,closed,04-transcript-R04-pseudo-elements-overflow-and-practical-fixes.md,05-full-combined-final-transcript.md
IU-009,image-5504e3c67432a5fcb1c80cb37dd77fc76408d1c9,145f3669bbe2.png,145f3669bbe2,R04,3610.482049182077,2710.4961889161796,914.0,261.0,1.0,,T-007|T-008|T-009,"couldnt do this with my pos|creates new stacking context on outer, so before is on its parent|but it can actually cross its borders, i just need to",closed,04-transcript-R04-pseudo-elements-overflow-and-practical-fixes.md,05-full-combined-final-transcript.md
IU-010,image-10b3a270a3494a351b1726b774ea16c782f9056b,58de759745b7.png,58de759745b7,R04,3449.380576598754,3172.3665377661246,1351.0,261.0,1.0,,T-008|T-009|T-010,"creates new stacking context on outer, so before is on its parent|but it can actually cross its borders, i just need to|specify middle containers zindex too, but i dont need it on outer container",closed,04-transcript-R04-pseudo-elements-overflow-and-practical-fixes.md,05-full-combined-final-transcript.md
IU-011,image-943ca2ac691dfc655402a1e00aff64337f07aede,6c303b9a4c31.png,6c303b9a4c31,R04,3674.4211176009394,3543.572385370063,763.0,225.0,1.0,,T-010|T-009|T-008,"specify middle containers zindex too, but i dont need it on outer container|but it can actually cross its borders, i just need to|creates new stacking context on outer, so before is on its parent",closed,04-transcript-R04-pseudo-elements-overflow-and-practical-fixes.md,05-full-combined-final-transcript.md
IU-012,image-0cdf5ed06bc4a433c4d1abfde5fb48edb10c63af,bc97df4afee2.png,bc97df4afee2,R04,3408.23447714479,3974.842067016595,1050.0,209.0,1.0,,T-013|T-012|T-011,"container is not just layout shit it has some visuals, so i need outer counainer|with stackig context inner elements are always on some parents shit and middle|tried to do like i have no new outer container, but i actually need it because",closed,04-transcript-R04-pseudo-elements-overflow-and-practical-fixes.md,05-full-combined-final-transcript.md
