source_id,image_use_id,asset_sha1,x,y,width,height,region,coverage_status,decision_is_final,must_recheck_before_close,nearest_labels_for_search_only,review_notes
S-001,IU-001,84e584854e6f2126a36ae02c6a5e36d772a48f03,12659.762331043014,3795.3867910543613,652.0,140.0,R03,processed-stage4-r03,yes,no,T-052:custom | T-018:how tag invalidation works | T-048:can we rely on some custom policy defaults? | T-119:e-tag with outputcache | T-013:outputcachecontext props,Visually and semantically reviewed in Stage4 contact-sheet pass; included in region transcript.
S-002,IU-002,63dac6ff26f512265938a19f1e517e2da23ad25f,12640.912058836826,3292.369043761575,607.0,482.0,R03,processed-stage4-r03,yes,no,T-052:custom | T-018:how tag invalidation works | T-048:can we rely on some custom policy defaults? | T-119:e-tag with outputcache | T-013:outputcachecontext props,Visually and semantically reviewed in Stage4 contact-sheet pass; included in region transcript.
S-003,IU-003,8bc317a2d41bdd9ad9ca529d214b5e561ff2d0b4,12534.189034656756,2797.9246162713407,771.0,482.0,R03,processed-stage4-r03,yes,no,T-018:how tag invalidation works | T-119:e-tag with outputcache | T-052:custom | T-001:response cache | T-048:can we rely on some custom policy defaults?,Visually and semantically reviewed in Stage4 contact-sheet pass; included in region transcript.
S-004,IU-004,b08bf4c79cc5c90492c513dae0d711d8b6b0ead3,12488.297320897767,2307.9245654087117,823.0,482.0,R03,processed-stage4-r03,yes,no,T-119:e-tag with outputcache | T-001:response cache | T-018:how tag invalidation works | T-052:custom | T-024:setup,Visually and semantically reviewed in Stage4 contact-sheet pass; included in region transcript.
S-005,IU-005,4807b1baa32f3095fb525f6b7292d2da51180181,12498.623636444969,2039.8586270949108,878.0,274.0,R03,processed-stage4-r03,yes,no,T-119:e-tag with outputcache | T-001:response cache | T-024:setup | T-018:how tag invalidation works | T-052:custom,Visually and semantically reviewed in Stage4 contact-sheet pass; included in region transcript.
S-006,IU-006,eac3da313e4b372418b67a6135ac0ffa0b1af9e6,12496.837117410003,1543.480137918481,837.0,482.0,R03,processed-stage4-r03,yes,no,T-001:response cache | T-119:e-tag with outputcache | T-024:setup | T-018:how tag invalidation works | T-052:custom,Visually and semantically reviewed in Stage4 contact-sheet pass; included in region transcript.
S-007,IU-007,083e2598742822abe73013a0d0d9967e270318e6,12488.84582475877,1214.136387918481,822.0,341.0,R03,processed-stage4-r03,yes,no,T-001:response cache | T-119:e-tag with outputcache | T-024:setup | T-018:how tag invalidation works | T-002:custom policy,Visually and semantically reviewed in Stage4 contact-sheet pass; included in region transcript.
S-008,IU-008,3c1016942c0be89ce4662c839b431589d10190d3,12427.012593150697,731.9697212518167,1019.0,472.0,R03,processed-stage4-r03,yes,no,T-001:response cache | T-119:e-tag with outputcache | T-024:setup | T-002:custom policy | T-003:can cache based on request,Visually and semantically reviewed in Stage4 contact-sheet pass; included in region transcript.
S-009,IU-009,f82acaa905cf47bc8d9c69cf1d9113f17a039e90,11303.435227179629,3389.3791542283757,622.0,482.0,R03,processed-stage4-r03,yes,no,T-018:how tag invalidation works | T-106:does adding a tag | T-107:creates a separate cache entry with | T-108:different key? | T-109:where we can set tags in custom,Visually and semantically reviewed in Stage4 contact-sheet pass; included in region transcript.
S-010,IU-010,871143b463eb995c5d12792b34905b64e59930f2,11195.30185338754,3144.3132566046766,779.0,224.0,R03,processed-stage4-r03,yes,no,T-018:how tag invalidation works | T-106:does adding a tag | T-107:creates a separate cache entry with | T-108:different key? | T-109:where we can set tags in custom,Visually and semantically reviewed in Stage4 contact-sheet pass; included in region transcript.
S-011,IU-011,ab8aa68dfbed02f045ea7da7f3e8366877c7285c,11211.996390789116,2668.4902890753797,586.0,482.0,R03,processed-stage4-r03,yes,no,T-018:how tag invalidation works | T-106:does adding a tag | T-107:creates a separate cache entry with | T-108:different key? | T-109:where we can set tags in custom,Visually and semantically reviewed in Stage4 contact-sheet pass; included in region transcript.
S-012,IU-012,d2f23c08f6e20020b6ad95602190a8cdd0ea0b6b,11138.024565742497,2116.958168835108,776.0,482.0,R03,processed-stage4-r03,yes,no,T-018:how tag invalidation works | T-024:setup | T-001:response cache | T-106:does adding a tag | T-107:creates a separate cache entry with,Visually and semantically reviewed in Stage4 contact-sheet pass; included in region transcript.
S-013,IU-013,e9e7e3f4b724b615658095ffd679c615b9af7555,11053.675494445804,1718.7356429783958,891.0,379.0,R03,processed-stage4-r03,yes,no,T-024:setup | T-001:response cache | T-018:how tag invalidation works | T-002:custom policy | T-003:can cache based on request,Visually and semantically reviewed in Stage4 contact-sheet pass; included in region transcript.
S-014,IU-014,0decb34668188e462afd78db732a1877927b056f,11047.945096125068,1261.0185930309808,718.0,482.0,R03,processed-stage4-r03,yes,no,T-024:setup | T-001:response cache | T-002:custom policy | T-003:can cache based on request | T-004:(in fluent builder too),Visually and semantically reviewed in Stage4 contact-sheet pass; included in region transcript.
S-015,IU-015,05ee261f762806b9963503450a23b045b290d850,11125.859958523186,794.7251001171117,444.0,444.0,R03,processed-stage4-r03,yes,no,T-024:setup | T-001:response cache | T-002:custom policy | T-003:can cache based on request | T-004:(in fluent builder too),Visually and semantically reviewed in Stage4 contact-sheet pass; included in region transcript.
S-016,IU-016,f4aee452bb6345b8b4bb7a307a8927631520f9ce,11214.338999661773,4619.512790848874,894.0,320.0,R03,processed-stage4-r03,yes,no,T-018:how tag invalidation works | T-013:outputcachecontext props | T-014:(of custom policy) | T-048:can we rely on some custom policy defaults? | T-052:custom,Visually and semantically reviewed in Stage4 contact-sheet pass; included in region transcript.
S-017,IU-017,b790fa851e45beab099873ec63f239931251ef2f,11251.407657007916,4137.205068358962,775.0,463.0,R03,processed-stage4-r03,yes,no,T-018:how tag invalidation works | T-013:outputcachecontext props | T-014:(of custom policy) | T-048:can we rely on some custom policy defaults? | T-052:custom,Visually and semantically reviewed in Stage4 contact-sheet pass; included in region transcript.
S-018,IU-018,dbd233c69fec6668321b1c75bc22835960b7ceb3,9771.764673676482,945.9977350019444,895.0,482.0,R03,processed-stage4-r03,yes,no,T-002:custom policy | T-003:can cache based on request | T-004:(in fluent builder too) | T-024:setup | T-001:response cache,Visually and semantically reviewed in Stage4 contact-sheet pass; included in region transcript.
S-019,IU-019,a39d818225afb3825be7c5244f0edb03284da91d,9883.50586191793,2813.4569343871526,645.0,188.0,R03,processed-stage4-r03,yes,no,T-106:does adding a tag | T-107:creates a separate cache entry with | T-108:different key? | T-109:where we can set tags in custom | T-110:policy,Visually and semantically reviewed in Stage4 contact-sheet pass; included in region transcript.
S-020,IU-020,c6a0d928796cf62c78074001178824cef1f6f837,9795.487728142787,2262.9674504671393,840.0,482.0,R03,processed-stage4-r03,yes,no,T-106:does adding a tag | T-107:creates a separate cache entry with | T-108:different key? | T-109:where we can set tags in custom | T-110:policy,Visually and semantically reviewed in Stage4 contact-sheet pass; included in region transcript.
S-021,IU-021,59f5bedb45c6644c6174b0d56207196eeb78dbc1,9756.79384243107,1910.4116116221603,896.0,315.0,R03,processed-stage4-r03,yes,no,T-106:does adding a tag | T-107:creates a separate cache entry with | T-108:different key? | T-002:custom policy | T-003:can cache based on request,Visually and semantically reviewed in Stage4 contact-sheet pass; included in region transcript.
S-022,IU-022,69bb1ccb9a3ac926b8f6e414899260ff2267dcef,9778.114314497572,1448.4220028575119,817.0,482.0,R03,processed-stage4-r03,yes,no,T-002:custom policy | T-003:can cache based on request | T-004:(in fluent builder too) | T-024:setup | T-106:does adding a tag,Visually and semantically reviewed in Stage4 contact-sheet pass; included in region transcript.
S-023,IU-023,1d79d44a0859042853360958527aaf48660c73e1,5393.432287914446,633.5276888013473,1033.0,261.0,R02,processed-stage4-r02,yes,no,"T-012:addPolicy overloads | T-015:outputcachepolicybuilder operations | T-016:(not custom policy) | T-034:start policy building from | T-035:cache,extend default policy",Visually and semantically reviewed in Stage4 contact-sheet pass; included in region transcript.
S-024,IU-024,10841058f006ceb01be85b524cbd10b103046c71,5543.51039818609,2907.6425935977463,1004.0,452.0,R02,processed-stage4-r02,yes,no,T-100:are ioutputcachestore methods to read/write | T-101:usable in app code? | T-015:outputcachepolicybuilder operations | T-016:(not custom policy) | T-102:get bytes too,Visually and semantically reviewed in Stage4 contact-sheet pass; included in region transcript.
S-025,IU-025,46a3c3f1fefbb3b36bf025994bc5e9587deb47d3,5546.756555877682,3364.6584307675735,1029.0,316.0,R02,processed-stage4-r02,yes,no,T-100:are ioutputcachestore methods to read/write | T-101:usable in app code? | T-102:get bytes too | T-015:outputcachepolicybuilder operations | T-016:(not custom policy),Visually and semantically reviewed in Stage4 contact-sheet pass; included in region transcript.
S-026,IU-026,6bc057fe7cd73f05a38e4a1672bdf3cefba4765c,5489.923181854245,3718.1584918027297,972.0,321.0,R02,processed-stage4-r02,yes,no,"T-100:are ioutputcachestore methods to read/write | T-101:usable in app code? | T-102:get bytes too | T-103:one key, different | T-104:tags for different entry values by condition?",Visually and semantically reviewed in Stage4 contact-sheet pass; included in region transcript.
S-027,IU-027,5e4a29df811410327e2fd5f8ef5b0607d2fe1aa7,5490.923181854245,4086.6584918027297,1010.0,272.0,R02,processed-stage4-r02,yes,no,"T-100:are ioutputcachestore methods to read/write | T-101:usable in app code? | T-102:get bytes too | T-103:one key, different | T-104:tags for different entry values by condition?",Visually and semantically reviewed in Stage4 contact-sheet pass; included in region transcript.
S-028,IU-028,885169dedf60a73b8dbd96e0b81c92bee864682f,5452.423181854245,4420.158430767573,1055.0,325.0,R02,processed-stage4-r02,yes,no,"T-100:are ioutputcachestore methods to read/write | T-101:usable in app code? | T-102:get bytes too | T-103:one key, different | T-104:tags for different entry values by condition?",Visually and semantically reviewed in Stage4 contact-sheet pass; included in region transcript.
S-029,IU-029,6b6a49a5f355690d3d58459a1348159beeb78789,5445.923181854245,4783.158491802729,1036.0,311.0,R02,processed-stage4-r02,yes,no,"T-100:are ioutputcachestore methods to read/write | T-101:usable in app code? | T-102:get bytes too | T-103:one key, different | T-104:tags for different entry values by condition?",Visually and semantically reviewed in Stage4 contact-sheet pass; included in region transcript.
