source_id,stage0_group,stage2_region,decision,status,reason,notes
S-002,ENC-R02-decoder-chunk-processing-incomplete-utf8,ENC-R02,included-in-ENC-R02-decoder-chunk-processing-incomplete-utf8-stage2-v001,verified-visible-semantic-transcript,"UTF-8 chunk processing with Decoder: incomplete multibyte sequences, Encoding.UTF8.GetDecoder, Decoder.GetChars vs Decoder.Convert, flush/end-of-message handling, and typical convert loops.",Stage2 source-level semantic transcript from visible source image/contact sheet; exact code punctuation should be checked against preserved PNG if needed.
S-006,ENC-R02-decoder-chunk-processing-incomplete-utf8,ENC-R02,included-in-ENC-R02-decoder-chunk-processing-incomplete-utf8-stage2-v001,verified-visible-semantic-transcript,"UTF-8 chunk processing with Decoder: incomplete multibyte sequences, Encoding.UTF8.GetDecoder, Decoder.GetChars vs Decoder.Convert, flush/end-of-message handling, and typical convert loops.",Stage2 source-level semantic transcript from visible source image/contact sheet; exact code punctuation should be checked against preserved PNG if needed.
S-007,ENC-R02-decoder-chunk-processing-incomplete-utf8,ENC-R02,included-in-ENC-R02-decoder-chunk-processing-incomplete-utf8-stage2-v001,verified-visible-semantic-transcript,"UTF-8 chunk processing with Decoder: incomplete multibyte sequences, Encoding.UTF8.GetDecoder, Decoder.GetChars vs Decoder.Convert, flush/end-of-message handling, and typical convert loops.",Stage2 source-level semantic transcript from visible source image/contact sheet; exact code punctuation should be checked against preserved PNG if needed.
S-011,ENC-R02-decoder-chunk-processing-incomplete-utf8,ENC-R02,included-in-ENC-R02-decoder-chunk-processing-incomplete-utf8-stage2-v001,verified-visible-semantic-transcript,"UTF-8 chunk processing with Decoder: incomplete multibyte sequences, Encoding.UTF8.GetDecoder, Decoder.GetChars vs Decoder.Convert, flush/end-of-message handling, and typical convert loops.",Stage2 source-level semantic transcript from visible source image/contact sheet; exact code punctuation should be checked against preserved PNG if needed.
S-020,ENC-R02-decoder-chunk-processing-incomplete-utf8,ENC-R02,included-in-ENC-R02-decoder-chunk-processing-incomplete-utf8-stage2-v001,verified-visible-semantic-transcript,"UTF-8 chunk processing with Decoder: incomplete multibyte sequences, Encoding.UTF8.GetDecoder, Decoder.GetChars vs Decoder.Convert, flush/end-of-message handling, and typical convert loops.",Stage2 source-level semantic transcript from visible source image/contact sheet; exact code punctuation should be checked against preserved PNG if needed.
S-023,ENC-R02-decoder-chunk-processing-incomplete-utf8,ENC-R02,included-in-ENC-R02-decoder-chunk-processing-incomplete-utf8-stage2-v001,verified-visible-semantic-transcript,"UTF-8 chunk processing with Decoder: incomplete multibyte sequences, Encoding.UTF8.GetDecoder, Decoder.GetChars vs Decoder.Convert, flush/end-of-message handling, and typical convert loops.",Stage2 source-level semantic transcript from visible source image/contact sheet; exact code punctuation should be checked against preserved PNG if needed.
S-024,ENC-R02-decoder-chunk-processing-incomplete-utf8,ENC-R02,included-in-ENC-R02-decoder-chunk-processing-incomplete-utf8-stage2-v001,verified-visible-semantic-transcript,"UTF-8 chunk processing with Decoder: incomplete multibyte sequences, Encoding.UTF8.GetDecoder, Decoder.GetChars vs Decoder.Convert, flush/end-of-message handling, and typical convert loops.",Stage2 source-level semantic transcript from visible source image/contact sheet; exact code punctuation should be checked against preserved PNG if needed.
S-027,ENC-R02-decoder-chunk-processing-incomplete-utf8,ENC-R02,included-in-ENC-R02-decoder-chunk-processing-incomplete-utf8-stage2-v001,verified-visible-semantic-transcript,"UTF-8 chunk processing with Decoder: incomplete multibyte sequences, Encoding.UTF8.GetDecoder, Decoder.GetChars vs Decoder.Convert, flush/end-of-message handling, and typical convert loops.",Stage2 source-level semantic transcript from visible source image/contact sheet; exact code punctuation should be checked against preserved PNG if needed.
S-029,ENC-R02-decoder-chunk-processing-incomplete-utf8,ENC-R02,included-in-ENC-R02-decoder-chunk-processing-incomplete-utf8-stage2-v001,verified-visible-semantic-transcript,"UTF-8 chunk processing with Decoder: incomplete multibyte sequences, Encoding.UTF8.GetDecoder, Decoder.GetChars vs Decoder.Convert, flush/end-of-message handling, and typical convert loops.",Stage2 source-level semantic transcript from visible source image/contact sheet; exact code punctuation should be checked against preserved PNG if needed.
S-031,ENC-R02-decoder-chunk-processing-incomplete-utf8,ENC-R02,included-in-ENC-R02-decoder-chunk-processing-incomplete-utf8-stage2-v001,verified-visible-semantic-transcript,"UTF-8 chunk processing with Decoder: incomplete multibyte sequences, Encoding.UTF8.GetDecoder, Decoder.GetChars vs Decoder.Convert, flush/end-of-message handling, and typical convert loops.",Stage2 source-level semantic transcript from visible source image/contact sheet; exact code punctuation should be checked against preserved PNG if needed.
