region_source_id,source_id,image_use_id,fileId_short,region,subregion,status,readability,cut_off,confidence,theme,notes
CTXDB01-S001,S-001,IU-001,86922be1d4,CTXDB01,CTXDB01A,verified-from-source-image,high,no,high,CanConnect usage overview,
CTXDB01-S002,S-003,IU-003,5a3a2852a4,CTXDB01,CTXDB01A,verified-from-source-image,high,no,high,CanConnect meaning / use / not use,
CTXDB01-S003,S-005,IU-005,6228547cf6,CTXDB01,CTXDB01A,verified-from-source-image,high,no,high,CanConnect app startup health check,
CTXDB01-S004,S-010,IU-010,6ab5135f8f,CTXDB01,CTXDB01A,verified-from-source-image,high,no,high,CanConnect readiness endpoint,
CTXDB01-S005,S-014,IU-014,a25597376b,CTXDB01,CTXDB01A,verified-from-source-image,high,no,high,EnsureCreated meaning and behavior,
CTXDB01-S006,S-016,IU-016,86a6d029f3,CTXDB01,CTXDB01B,verified-from-source-image,high,no,high,CanConnect troubleshooting config issues,
CTXDB01-S007,S-019,IU-019,d8a7a3ccc7,CTXDB01,CTXDB01A,verified-from-source-image,high,no,high,EnsureCreated warning and fit,
CTXDB01-S008,S-024,IU-024,a1be321ab2,CTXDB01,CTXDB01A,verified-from-source-image,high,no,high,EnsureDeleted meaning and use,
CTXDB01-S009,S-034,IU-034,70a5cc9c2c,CTXDB01,CTXDB01B,verified-from-source-image,high,no,high,Migrate / MigrateAsync,
CTXDB01-S010,S-038,IU-038,b8b98b6e6f,CTXDB01,CTXDB01B,verified-from-source-image,high,no,high,MigrateAsync example and caution,
CTXDB01-S011,S-044,IU-044,17ce5a037a,CTXDB01,CTXDB01B,verified-from-source-image,high,no,high,Migration inspection methods,
CTXDB01-S012,S-046,IU-046,788d0427bb,CTXDB01,CTXDB01B,verified-from-source-image,high,no,high,Migration main properties,
CTXDB01-S013,S-048,IU-048,8471c9a942,CTXDB01,CTXDB01B,verified-from-source-image,high,no,high,List all/applied/pending migrations,
CTXDB01-S014,S-049,IU-049,8e2e641f7b,CTXDB01,CTXDB01B,verified-from-source-image,high,no,high,Migration main methods,
CTXDB01-S015,S-051,IU-051,ade182d12b,CTXDB01,CTXDB01B,verified-from-source-image,high,no,high,Migration class example,"Right/bottom of screenshot is close to crop, but the migration shape is readable."
CTXDB01-S016,S-058,IU-058,17dd1db68a,CTXDB01,CTXDB01B,verified-from-source-image,high,no,high,HasPendingModelChanges,
CTXDB01-S017,S-059,IU-059,dd5b9542d6,CTXDB01,CTXDB01B,verified-from-source-image,high,no,high,How to think about migrations,
CTXDB02-S001,S-002,IU-002,bbfbad7969,CTXDB02,CTXDB02B,verified-from-source-image,high,no,high,DbContext.Database is DatabaseFacade,
CTXDB02-S002,S-004,IU-004,b81cd6d651,CTXDB02,CTXDB02A,verified-from-source-image,high,no,high,SaveChanges atomicity vs explicit transaction creation,
CTXDB02-S003,S-006,IU-006,8212a18859,CTXDB02,CTXDB02B,verified-from-source-image,high,no,high,DbContext.Database main properties,
CTXDB02-S004,S-007,IU-007,e8162450a1,CTXDB02,CTXDB02B,verified-from-source-image,high,no,high,Why use CurrentTransaction,
CTXDB02-S005,S-008,IU-008,488c169097,CTXDB02,CTXDB02B,verified-from-source-image,high,no,high,AutoSavepointsEnabled true/false,
CTXDB02-S006,S-009,IU-009,364f261c50,CTXDB02,CTXDB02B,verified-from-source-image,high,no,high,DatabaseFacade main instance methods,
CTXDB02-S007,S-011,IU-011,d60e67434a,CTXDB02,CTXDB02B,verified-from-source-image,high,no,high,AutoSavepoints practical split,
CTXDB02-S008,S-012,IU-012,f8490d6b85,CTXDB02,CTXDB02A,verified-from-source-image,high,no,high,WhenNeeded default,
