region_source_id,source_id,image_use_id,fileId_short,region,subregion,status,readability,cut_off,confidence,theme,notes
CH03A-S001,S-014,IU-014,19d7bc54f3,CH03,CH03A,verified-from-source-image,high,no,high,SingleReader / SingleWriter options,
CH03A-S002,S-034,IU-034,5714d2f139,CH03,CH03A,verified-from-source-image,high,no,high,Can we specify number of writers/readers?,
CH03A-S003,S-035,IU-035,9fc4a5e15a,CH03,CH03A,verified-from-source-image,high,no,high,SingleReader/SingleWriter for unbounded and bounded channels,
CH03B-S001,S-036,IU-036,649b905901,CH03,CH03B,verified-from-source-image,high,no,high,Ignore TryComplete result if shutdown is idempotent,
CH03B-S002,S-037,IU-037,12ed9ea359,CH03,CH03B,verified-from-source-image,high,no,high,Can TryComplete fail only because it was already completed?,
CH04A-S001,S-038,IU-038,c3c95ce055,CH04,CH04A,verified-from-source-image,high,no,high,WaitToReadAsync + TryRead burst draining,
CH04A-S002,S-039,IU-039,22f0101b88,CH04,CH04A,verified-from-source-image,high,no,high,Example: batching reads,
CH04A-S003,S-040,IU-040,8a33220ff7,CH04,CH04A,verified-from-source-image,high,no,high,WaitToWriteAsync + TryWrite for bounded channels,
CH04A-S004,S-041,IU-041,20a1daf58f,CH04,CH04A,verified-from-source-image,high,no,high,Drop old telemetry instead of waiting forever,
CH04B-S001,S-042,IU-042,895c72c0d2,CH04,CH04B,verified-from-source-image,high,no,high,Batching means collect available items then process together,
CH04B-S002,S-043,IU-043,35b06c91d2,CH04,CH04B,verified-from-source-image,high,no,high,What each part of batching code means,
CH04B-S003,S-044,IU-044,c1cc195551,CH04,CH04B,verified-from-source-image,high,no,high,batch.Clear and TryRead inner loop,
CH04B-S004,S-045,IU-045,93a2c2ef88,CH04,CH04B,verified-from-source-image,high,no,high,Add item and save batch,
CH04B-S005,S-046,IU-046,3a84fda7e9,CH04,CH04B,verified-from-source-image,high,no,high,Why WaitToReadAsync + TryRead makes sense,
CH04B-S006,S-047,IU-047,40d96bc209,CH04,CH04B,verified-from-source-image,high,no,high,Why not just ReadAllAsync?,
