region_source_id,source_id,image_use_id,fileId_short,status,candidate_type,readability,cut_off,confidence,theme,notes
R02A-S001,S-008,IU-008,77eaf12c68,verified-from-extracted-svg-image,r02a-status-fetchstatus-core,high,no,high,status vs fetchStatus core distinction,Previously checked as not R01; now included in R02A statuses block.
R02A-S002,S-011,IU-011,1d512b6a91,verified-from-extracted-svg-image,r02a-queryclient-core-setup,high,no,high,Create one QueryClient outside render scope,Verified from extracted SVG image.
R02A-S003,S-012,IU-012,6114875a76,verified-from-extracted-svg-image,r02a-isloading-specificity,high,bottom-ui-dot-no-text-loss,high,isLoading is more specific than pending,Bottom UI dot is visible; text is readable.
R02A-S004,S-013,IU-013,768ded59fc,verified-from-extracted-svg-image,r02a-status-mental-model-correction,high,no,high,Example mental model for isPending and isFetching,"Moved from R02B to R02A after local R02B review because it is a status/fetchStatus mental-model card, not enabled/disabled semantics."
R02A-S005,S-016,IU-016,114f1fa612,verified-from-extracted-svg-image,r02a-queryclientprovider,high,no,high,QueryClientProvider gives the client to the component tree,Verified from extracted SVG image.
R02A-S006,S-017,IU-017,d913b80242,verified-from-extracted-svg-image,r02a-query-cache-fundamentals,high,right-edge-cropped-no-text-loss,high,Query cache identified by key,"Right edge is cropped, but no visible text appears lost."
R02A-S007,S-018,IU-018,a3d61eaf9c,verified-from-extracted-svg-image,r02a-isfetching-and-pending-vs-loading,high,no,high,isFetching and isPending vs isLoading mental model,Verified from extracted SVG image.
R02A-S008,S-020,IU-020,bbc587153e,verified-from-extracted-svg-image,r02a-what-usequery-does,high,no,high,What useQuery does,Verified from extracted SVG image.
R02A-S009,S-021,IU-021,61ff65ee41,verified-from-extracted-svg-image,r02a-two-query-rules,high,no,high,"Two core rules: queryKey identifies, queryFn returns Promise",Verified from extracted SVG image.
R02A-S010,S-022,IU-022,2899e0756c,verified-visible-partial-from-extracted-svg-image,r02a-isloading-formula,high,top-continuation-cropped,high-for-visible-text,isLoading formula in modern TanStack Query,Top continuation is cropped; visible formula is readable.
R02A-S011,S-023,IU-023,03697f7b6d,verified-from-extracted-svg-image,r02a-isstale-isfetching-rich-ui,high,no,high,isStale and isFetching for richer UI,Verified from extracted SVG image.
R02A-S012,S-024,IU-024,fe5b1db522,verified-from-extracted-svg-image,r02a-safe-rendering-correct,high,left-edge-rounded-card-crop-no-text-loss,high,Safe rendering pattern with isPending/isError before data.map,Verified from extracted SVG image.
R02A-S013,S-025,IU-025,c8b43511a0,verified-from-extracted-svg-image,r02a-safe-rendering-wrong,high,no,high,Unsafe rendering when assuming data exists on first render,Verified from extracted SVG image.
R02A-S014,S-030,IU-030,39e62ae511,verified-visible-partial-from-extracted-svg-image,r02a-query-data-stale-fetching-same-time,high,top-continuation-cropped,high-for-visible-text,"A query can have data, be stale, and be fetching at the same time",Top continuation is cropped; visible statement is complete.
R02A-S015,S-034,IU-034,14368dd8ca,verified-from-extracted-svg-image,r02a-custom-hooks-for-queries,high,no,high,Custom hooks for queries and throwing errors,Verified from extracted SVG image.
R02A-S016,S-036,IU-036,4d72a0bb65,verified-visible-partial-from-extracted-svg-image,r02a-do-not-swallow-errors,high,top-continuation-and-bottom-ui-overlay,high-for-visible-text,Do not swallow errors in queryFn,Top continuation and bottom UI overlay are visible; main warning and bad example are readable.
