region_source_id,source_id,fileId_short,initial_subregion,status,readability,theme,x,y,width,height,notes
R01-S001,S-299,d395b86f3c,R01A-base-middleware-auth-service-handlers,ocr-assisted-visual-transcript,medium-high,UseAuthentication / AuthenticationMiddleware entry point,5874.556,1397.671,655.0,482.0,Stage1 R01 local boundary recheck; OCR-assisted visible transcript. Code punctuation should be treated carefully if used verbatim.
R01-S002,S-300,a82a739377,R01A-base-middleware-auth-service-handlers,ocr-assisted-visual-transcript,medium,UseAuthentication / AuthenticationMiddleware entry point,5863.726,1901.852,945.0,259.0,Stage1 R01 local boundary recheck; OCR-assisted visible transcript. Code punctuation should be treated carefully if used verbatim.
R01-S003,S-020,17852964fb,R01A-base-middleware-auth-service-handlers,ocr-assisted-visual-transcript,medium,AuthenticationMiddleware context and default-auth flow sketch,3233.153,3034.591,1103.0,222.0,Stage1 R01 local boundary recheck; OCR-assisted visible transcript. Code punctuation should be treated carefully if used verbatim.
R01-S004,S-001,66dd53e7f8,R01A-base-middleware-auth-service-handlers,ocr-assisted-visual-transcript,medium-high,UseAuthentication / AuthenticationMiddleware entry point,6000.816,3184.357,982.0,432.0,Stage1 R01 local boundary recheck; OCR-assisted visible transcript. Code punctuation should be treated carefully if used verbatim.
R01-S005,S-021,1a94998582,R01A-base-middleware-auth-service-handlers,ocr-assisted-visual-transcript,medium-high,AuthenticationMiddleware context and default-auth flow sketch,3220.079,3258.243,1170.0,453.0,Stage1 R01 local boundary recheck; OCR-assisted visible transcript. Code punctuation should be treated carefully if used verbatim.
R01-S006,S-037,9860304323,R01A-base-middleware-auth-service-handlers,ocr-assisted-visual-transcript,medium-high,special/request handlers and HandleRequestAsync short-circuit,9126.843,3496.428,894.0,482.0,Stage1 R01 local boundary recheck; OCR-assisted visible transcript. Code punctuation should be treated carefully if used verbatim.
R01-S007,S-039,7d74582b40,R01A-base-middleware-auth-service-handlers,ocr-assisted-visual-transcript,medium-high,special/request handlers and HandleRequestAsync short-circuit,10140.212,3498.272,978.0,431.0,Stage1 R01 local boundary recheck; OCR-assisted visible transcript. Code punctuation should be treated carefully if used verbatim.
R01-S008,S-035,98308754b2,R01A-base-middleware-auth-service-handlers,ocr-assisted-visual-transcript,medium-high,special/request handlers and HandleRequestAsync short-circuit,7968.242,3505.547,696.0,482.0,Stage1 R01 local boundary recheck; OCR-assisted visible transcript. Code punctuation should be treated carefully if used verbatim.
R01-S009,S-022,6b9e77f242,R01A-base-middleware-auth-service-handlers,ocr-assisted-visual-transcript,medium-high,AuthenticationMiddleware context and default-auth flow sketch,3233.647,3714.076,973.0,438.0,Stage1 R01 local boundary recheck; OCR-assisted visible transcript. Code punctuation should be treated carefully if used verbatim.
R01-S010,S-002,89edc9a877,R01A-base-middleware-auth-service-handlers,ocr-assisted-visual-transcript,medium-high,UseAuthentication / AuthenticationMiddleware entry point,6024.99,3761.645,710.0,482.0,Stage1 R01 local boundary recheck; OCR-assisted visible transcript. Code punctuation should be treated carefully if used verbatim.
R01-S011,S-038,00c04ce2d4,R01A-base-middleware-auth-service-handlers,ocr-assisted-visual-transcript,medium-high,special/request handlers and HandleRequestAsync short-circuit,9147.821,4032.52,786.0,482.0,Stage1 R01 local boundary recheck; OCR-assisted visible transcript. Code punctuation should be treated carefully if used verbatim.
R01-S012,S-036,dc7d9b7c5b,R01A-base-middleware-auth-service-handlers,ocr-assisted-visual-transcript,medium-high,special/request handlers and HandleRequestAsync short-circuit,7959.939,4037.786,991.0,434.0,Stage1 R01 local boundary recheck; OCR-assisted visible transcript. Code punctuation should be treated carefully if used verbatim.
