source_id,source_num,fileId,fileId_short,x,y,width,height,rotation,opacity,initial_subregion,combined_pass,initial_meaning,nearest_labels_for_search_only,coverage_status,decision_is_final,review_notes,current_region_decision,must_recheck_before_region_close,p02_boundary_decision,p02_boundary_note
S-026,26,fce46c42e3b7c18a17ce7572a74daee009bf912e,fce46c42e3,1457.243,10501.993,922.0,294.0,0.0,1,R03-dual-scheme-windows-auth-and-cookies,P02-R03R04-dual-scheme-company-deploy-troubleshooting,"Windows Auth plus cookie/client auth in one app, scheme selection, policies, controller attributes.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r03-v001,yes-for-r03-v001-boundary,R03 processed after P02 boundary review: dual-scheme Windows Auth + cookies/client auth.,R03,no-for-r03-v001,include-r03,Included in P02 because it belongs to dual-scheme composition or deployment/troubleshooting.
S-025,25,efb528eb617fa7c33b0655bc49b2bef77bc8b02c,efb528eb61,1550.173,10836.747,786.0,482.0,0.0,1,R03-dual-scheme-windows-auth-and-cookies,P02-R03R04-dual-scheme-company-deploy-troubleshooting,"Windows Auth plus cookie/client auth in one app, scheme selection, policies, controller attributes.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r03-v001,yes-for-r03-v001-boundary,R03 processed after P02 boundary review: dual-scheme Windows Auth + cookies/client auth.,R03,no-for-r03-v001,include-r03,Included in P02 because it belongs to dual-scheme composition or deployment/troubleshooting.
S-024,24,160f7f7a16f4817ea25ab9dde06fba86c95cf63e,160f7f7a16,1563.797,11331.902,776.0,379.0,0.0,1,R03-dual-scheme-windows-auth-and-cookies,P02-R03R04-dual-scheme-company-deploy-troubleshooting,"Windows Auth plus cookie/client auth in one app, scheme selection, policies, controller attributes.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r03-v001,yes-for-r03-v001-boundary,R03 processed after P02 boundary review: dual-scheme Windows Auth + cookies/client auth.,R03,no-for-r03-v001,include-r03,Included in P02 because it belongs to dual-scheme composition or deployment/troubleshooting.
S-023,23,318b87725ddb89811fe1163e89382df6fc8e831d,318b87725d,1539.248,11717.191,1006.0,262.0,0.0,1,R03-dual-scheme-windows-auth-and-cookies,P02-R03R04-dual-scheme-company-deploy-troubleshooting,"Windows Auth plus cookie/client auth in one app, scheme selection, policies, controller attributes.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r03-v001,yes-for-r03-v001-boundary,R03 processed after P02 boundary review: dual-scheme Windows Auth + cookies/client auth.,R03,no-for-r03-v001,include-r03,Included in P02 because it belongs to dual-scheme composition or deployment/troubleshooting.
S-022,22,a30b2a9a248a53834609522cbf857d4a8bfbd519,a30b2a9a24,1571.096,11997.357,1024.0,364.0,0.0,1,R03-dual-scheme-windows-auth-and-cookies,P02-R03R04-dual-scheme-company-deploy-troubleshooting,"Windows Auth plus cookie/client auth in one app, scheme selection, policies, controller attributes.",L-001: implementations | L-002: basic info about configuring computers for windows auth,processed-in-r03-v001,yes-for-r03-v001-boundary,R03 processed after P02 boundary review: dual-scheme Windows Auth + cookies/client auth.,R03,no-for-r03-v001,include-r03,Included in P02 because it belongs to dual-scheme composition or deployment/troubleshooting.
S-021,21,99546abc5f9370ceb5925e622e49046cc0b42554,99546abc5f,1591.76,12369.413,1031.0,323.0,0.0,1,R03-dual-scheme-windows-auth-and-cookies,P02-R03R04-dual-scheme-company-deploy-troubleshooting,"Windows Auth plus cookie/client auth in one app, scheme selection, policies, controller attributes.",L-001: implementations | L-002: basic info about configuring computers for windows auth,processed-in-r03-v001,yes-for-r03-v001-boundary,R03 processed after P02 boundary review: dual-scheme Windows Auth + cookies/client auth.,R03,no-for-r03-v001,include-r03,Included in P02 because it belongs to dual-scheme composition or deployment/troubleshooting.
S-040,40,f63f4ebdaa1f4977a496264be97dc9a94ec52020,f63f4ebdaa,2668.462,17061.11,1054.0,216.0,0.0,1,R03-dual-scheme-windows-auth-and-cookies,P02-R03R04-dual-scheme-company-deploy-troubleshooting,"Windows Auth plus cookie/client auth in one app, scheme selection, policies, controller attributes.",L-001: implementations | L-002: basic info about configuring computers for windows auth,processed-in-r03-v001,yes-for-r03-v001-boundary,R03 processed after P02 boundary review: dual-scheme Windows Auth + cookies/client auth.,R03,no-for-r03-v001,include-r03,Included in P02 because it belongs to dual-scheme composition or deployment/troubleshooting.
S-030,30,f13b715a3c88d614791074eb1321ad6ffc764ec0,f13b715a3c,1192.818,13062.665,713.0,482.0,0.0,1,R04-company-domain-deployment-spn-troubleshooting,P02-R03R04-dual-scheme-company-deploy-troubleshooting,"Company/domain setup, IIS Express vs real AD environment, app pool identity/SPN, whoami endpoints, 401/login-prompt troubleshooting.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: company/domain deployment, SPN, whoami/claims, 401/login-prompt troubleshooting.",R04,no-for-r04-v001,include-r04,Included in P02 because it belongs to dual-scheme composition or deployment/troubleshooting.
S-031,31,83c2a999e812f4bbb05d6feb07d0cb5f69376101,83c2a999e8,2641.684,13102.443,853.0,360.0,0.0,1,R04-company-domain-deployment-spn-troubleshooting,P02-R03R04-dual-scheme-company-deploy-troubleshooting,"Company/domain setup, IIS Express vs real AD environment, app pool identity/SPN, whoami endpoints, 401/login-prompt troubleshooting.",L-001: implementations | L-002: basic info about configuring computers for windows auth,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: company/domain deployment, SPN, whoami/claims, 401/login-prompt troubleshooting.",R04,no-for-r04-v001,include-r04,Included in P02 because it belongs to dual-scheme composition or deployment/troubleshooting.
S-032,32,cefd6faf8e19f5018fb1c2cb3375d0d49377ed4b,cefd6faf8e,2633.629,13465.665,945.0,398.0,0.0,1,R04-company-domain-deployment-spn-troubleshooting,P02-R03R04-dual-scheme-company-deploy-troubleshooting,"Company/domain setup, IIS Express vs real AD environment, app pool identity/SPN, whoami endpoints, 401/login-prompt troubleshooting.",L-001: implementations | L-002: basic info about configuring computers for windows auth,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: company/domain deployment, SPN, whoami/claims, 401/login-prompt troubleshooting.",R04,no-for-r04-v001,include-r04,Included in P02 because it belongs to dual-scheme composition or deployment/troubleshooting.
S-029,29,4c1303527dd468b59d50732a0eb7d579e9d3263b,4c1303527d,1185.035,13572.821,992.0,392.0,0.0,1,R04-company-domain-deployment-spn-troubleshooting,P02-R03R04-dual-scheme-company-deploy-troubleshooting,"Company/domain setup, IIS Express vs real AD environment, app pool identity/SPN, whoami endpoints, 401/login-prompt troubleshooting.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: company/domain deployment, SPN, whoami/claims, 401/login-prompt troubleshooting.",R04,no-for-r04-v001,include-r04,Included in P02 because it belongs to dual-scheme composition or deployment/troubleshooting.
