region,source_id,image_use,file_sha,x,y,width,height,status,region_summary
R01,S-015,IU-015,c492a03a9d,638.2884919552212,391.0080512329273,509.0,376.0,verified-semantic-transcript,left road: passing structs/properties by reference and restrictions around ref-like access
R01,S-018,IU-018,195146bd59,622.9663654844198,856.0635932251184,627.0,376.0,verified-semantic-transcript,left road: passing structs/properties by reference and restrictions around ref-like access
R01,S-017,IU-017,9f3f2fdb90,647.6917523638158,1240.2302726074427,749.0,376.0,verified-semantic-transcript,left road: passing structs/properties by reference and restrictions around ref-like access
R01,S-016,IU-016,50bc639d5d,640.4648154693205,1632.7303107544153,680.0,376.0,verified-semantic-transcript,left road: passing structs/properties by reference and restrictions around ref-like access
R02,S-001,IU-001,c256bc5e22,2345.751418513648,311.6753370799106,434.0,482.0,verified-semantic-transcript,"main road: ref/in parameter semantics, call-site syntax, mutation and performance-oriented usage"
R02,S-009,IU-009,e433eee117,2250.2686652283373,885.0087043216681,771.0,482.0,verified-semantic-transcript,"main road: ref/in parameter semantics, call-site syntax, mutation and performance-oriented usage"
R02,S-008,IU-008,f48cde15d1,2274.0773245360497,1402.0457526615119,702.0,482.0,verified-semantic-transcript,"main road: ref/in parameter semantics, call-site syntax, mutation and performance-oriented usage"
R02,S-007,IU-007,20eaf21d12,2260.5931770694633,1915.2205437856446,827.0,333.0,verified-semantic-transcript,"main road: ref/in parameter semantics, call-site syntax, mutation and performance-oriented usage"
R02,S-006,IU-006,12c73dcb3d,2283.0516028713064,2252.416202151524,729.0,482.0,verified-semantic-transcript,"main road: ref/in parameter semantics, call-site syntax, mutation and performance-oriented usage"
R02,S-005,IU-005,2ad3ed9839,2267.1485969913388,2752.4982876550002,805.0,454.0,verified-semantic-transcript,"main road: ref/in parameter semantics, call-site syntax, mutation and performance-oriented usage"
R02,S-004,IU-004,bc66bb1508,2244.630123684047,3210.1465149227934,853.0,395.0,verified-semantic-transcript,"main road: ref/in parameter semantics, call-site syntax, mutation and performance-oriented usage"
R02,S-003,IU-003,61422f2331,2263.4929263720023,3609.4532504913714,720.0,482.0,verified-semantic-transcript,"main road: ref/in parameter semantics, call-site syntax, mutation and performance-oriented usage"
R02,S-002,IU-002,2ef3627cf8,2256.444983710089,4097.850196020887,779.0,107.0,verified-semantic-transcript,"main road: ref/in parameter semantics, call-site syntax, mutation and performance-oriented usage"
R03,S-012,IU-012,d0cf9486c3,4321.707176973966,3701.350120379042,712.0,463.0,verified-semantic-transcript,"right/lower road: when to use out, Try-patterns and related examples"
R03,S-011,IU-011,67a3c3296c,3287.3708192135605,3743.92425879216,809.0,403.0,verified-semantic-transcript,"right/lower road: when to use out, Try-patterns and related examples"
R03,S-010,IU-010,a86bb3ed0f,3301.8981862347196,4136.860578779137,673.0,482.0,verified-semantic-transcript,"right/lower road: when to use out, Try-patterns and related examples"
R03,S-013,IU-013,2ae9a1e8b9,4386.372337998841,4194.683485012452,608.0,463.0,verified-semantic-transcript,"right/lower road: when to use out, Try-patterns and related examples"
R03,S-014,IU-014,3f03499ebb,4357.8813586414235,4677.760408089371,747.0,463.0,verified-semantic-transcript,"right/lower road: when to use out, Try-patterns and related examples"
