source_id,image_use_id,fileId_short,stage0_group,stage1_region,status,theme,transcript,notes
S-001,IU-001,e372e25659,B32SEC-R01-random-secret-bytes-base32-encoding,B32SEC-R01,verified-visible-semantic-transcript,using System.Security.Cryptography;,"Source theme:
using System.Security.Cryptography;

Visible source anchors:
- using System.Security.Cryptography;
- using OtpNet;
- public static class TotpSecretBytes
- {
- public static byte[] CreateSecretBytes(int byteLength = 20)
- => RandomNumberGenerator.GetBytes(byteLength);
- explaining bits, bytes in base32
- public static string ToBase32(byte[] secretBytes)
- => Base32Encoding.ToString(secretBytes);
- }

Semantic transcript:
This source belongs to `B32SEC-R01` / random bytes / Base32 secret encoding. It is part of the `Creating Base32 Secret` conspect and supports this region meaning:

Creating a Base32 secret: cryptographically random bytes, Base32 encoding alphabet, no padding/normalization, storage, and display/copy rules.

Operational reading:
- Treat this source as a concrete example or supporting note for the region.
- Use the preserved Stage0 PNG for exact code punctuation, line breaks, and symbol-level details.
- The source-level meaning is closed for this pass: it contributes to the region transcript and no placeholder/OCR-error source is marked processed.

Cleaned note:
Generate secret material from a cryptographic RNG, not Random or predictable input.
For TOTP a common secret length is 20 bytes / 160 bits, then encoded as Base32.",Stage1 source-level semantic transcript; exact punctuation remains in preserved Stage0 PNG.
S-002,IU-002,af235edcff,B32SEC-R01-random-secret-bytes-base32-encoding,B32SEC-R01,verified-visible-semantic-transcript,using System.Security.Cryptography;,"Source theme:
using System.Security.Cryptography;

Visible source anchors:
- using System.Security.Cryptography;
- using OtpNet;
- public static class TotpSecret
- {
- // 20 bytes = 160 bits (common standard; plenty for TOTP)
- public static string CreateBase32Secret(int byteLength = 20)
- byte[] secretBytes = RandomNumberGenerator.GetBytes(byteLength);
- return Base32Encoding.ToString(secretBytes); // Base32 text for QR/manual entry
- }

Semantic transcript:
This source belongs to `B32SEC-R01` / random bytes / Base32 secret encoding. It is part of the `Creating Base32 Secret` conspect and supports this region meaning:

Creating a Base32 secret: cryptographically random bytes, Base32 encoding alphabet, no padding/normalization, storage, and display/copy rules.

Operational reading:
- Treat this source as a concrete example or supporting note for the region.
- Use the preserved Stage0 PNG for exact code punctuation, line breaks, and symbol-level details.
- The source-level meaning is closed for this pass: it contributes to the region transcript and no placeholder/OCR-error source is marked processed.

Cleaned note:
Generate secret material from a cryptographic RNG, not Random or predictable input.
For TOTP a common secret length is 20 bytes / 160 bits, then encoded as Base32.",Stage1 source-level semantic transcript; exact punctuation remains in preserved Stage0 PNG.
S-003,IU-003,6a38860e29,B32SEC-R01-random-secret-bytes-base32-encoding,B32SEC-R01,verified-visible-semantic-transcript,using System.Security.Cryptography;,"Source theme:
using System.Security.Cryptography;

Visible source anchors:
- using System.Security.Cryptography;
- using OtpNet;
- public static class TotpSecretBytes
- {
- public static byte[] CreateSecretBytes(int byteLength = 20)
- => RandomNumberGenerator.GetBytes(byteLength);
- public static string ToBase32(byte[] secretBytes)
- => Base32Encoding.ToString(secretBytes);
- }
- explaining bits, bytes in base32

Semantic transcript:
This source belongs to `B32SEC-R01` / random bytes / Base32 secret encoding. It is part of the `Creating Base32 Secret` conspect and supports this region meaning:

Creating a Base32 secret: cryptographically random bytes, Base32 encoding alphabet, no padding/normalization, storage, and display/copy rules.

Operational reading:
- Treat this source as a concrete example or supporting note for the region.
- Use the preserved Stage0 PNG for exact code punctuation, line breaks, and symbol-level details.
- The source-level meaning is closed for this pass: it contributes to the region transcript and no placeholder/OCR-error source is marked processed.

Cleaned note:
Generate secret material from a cryptographic RNG, not Random or predictable input.
For TOTP a common secret length is 20 bytes / 160 bits, then encoded as Base32.",Stage1 source-level semantic transcript; exact punctuation remains in preserved Stage0 PNG.
S-004,IU-004,63646802a6,B32SEC-R01-random-secret-bytes-base32-encoding,B32SEC-R01,verified-visible-semantic-transcript,using System.Security.Cryptography;,"Source theme:
using System.Security.Cryptography;

Visible source anchors:
- using System.Security.Cryptography;
- using OtpNet;
- public static class TotpSecretBytes
- {
- public static byte[] CreateSecretBytes(int byteLength = 20)
- => RandomNumberGenerator.GetBytes(byteLength);
- public static string ToBase32(byte[] secretBytes)
- => Base32Encoding.ToString(secretBytes);
- }
- public static class TotpSecret

Semantic transcript:
This source belongs to `B32SEC-R01` / random bytes / Base32 secret encoding. It is part of the `Creating Base32 Secret` conspect and supports this region meaning:

Creating a Base32 secret: cryptographically random bytes, Base32 encoding alphabet, no padding/normalization, storage, and display/copy rules.

Operational reading:
- Treat this source as a concrete example or supporting note for the region.
- Use the preserved Stage0 PNG for exact code punctuation, line breaks, and symbol-level details.
- The source-level meaning is closed for this pass: it contributes to the region transcript and no placeholder/OCR-error source is marked processed.

Cleaned note:
Generate secret material from a cryptographic RNG, not Random or predictable input.
For TOTP a common secret length is 20 bytes / 160 bits, then encoded as Base32.",Stage1 source-level semantic transcript; exact punctuation remains in preserved Stage0 PNG.
S-005,IU-005,3e32384479,B32SEC-R01-random-secret-bytes-base32-encoding,B32SEC-R01,verified-visible-semantic-transcript,creating base32 secret,"Source theme:
creating base32 secret

Visible source anchors:
- creating base32 secret
- explaining bits, bytes in base32
- using OtpNet;
- public static class TotpSecretBytes
- using System.Security.Cryptography;
- {
- public static byte[] CreateSecretBytes(int byteLength = 20)
- => RandomNumberGenerator.GetBytes(byteLength);
- public static string ToBase32(byte[] secretBytes)
- => Base32Encoding.ToString(secretBytes);

Semantic transcript:
This source belongs to `B32SEC-R01` / random bytes / Base32 secret encoding. It is part of the `Creating Base32 Secret` conspect and supports this region meaning:

Creating a Base32 secret: cryptographically random bytes, Base32 encoding alphabet, no padding/normalization, storage, and display/copy rules.

Operational reading:
- Treat this source as a concrete example or supporting note for the region.
- Use the preserved Stage0 PNG for exact code punctuation, line breaks, and symbol-level details.
- The source-level meaning is closed for this pass: it contributes to the region transcript and no placeholder/OCR-error source is marked processed.

Cleaned note:
Generate secret material from a cryptographic RNG, not Random or predictable input.
For TOTP a common secret length is 20 bytes / 160 bits, then encoded as Base32.",Stage1 source-level semantic transcript; exact punctuation remains in preserved Stage0 PNG.
S-006,IU-006,d143beb145,B32SEC-R01-random-secret-bytes-base32-encoding,B32SEC-R01,verified-visible-semantic-transcript,},"Source theme:
}

Visible source anchors:
- }
- return Base32Encoding.ToString(secretBytes); // Base32 text for QR/manual entry
- byte[] secretBytes = RandomNumberGenerator.GetBytes(byteLength);
- {
- public static string CreateBase32Secret(int byteLength = 20)
- // 20 bytes = 160 bits (common standard; plenty for TOTP)
- public static class TotpSecret
- using OtpNet;
- using System.Security.Cryptography;
- entropy, bitconverter unsigned int

Semantic transcript:
This source belongs to `B32SEC-R01` / random bytes / Base32 secret encoding. It is part of the `Creating Base32 Secret` conspect and supports this region meaning:

Creating a Base32 secret: cryptographically random bytes, Base32 encoding alphabet, no padding/normalization, storage, and display/copy rules.

Operational reading:
- Treat this source as a concrete example or supporting note for the region.
- Use the preserved Stage0 PNG for exact code punctuation, line breaks, and symbol-level details.
- The source-level meaning is closed for this pass: it contributes to the region transcript and no placeholder/OCR-error source is marked processed.

Cleaned note:
Generate secret material from a cryptographic RNG, not Random or predictable input.
For TOTP a common secret length is 20 bytes / 160 bits, then encoded as Base32.",Stage1 source-level semantic transcript; exact punctuation remains in preserved Stage0 PNG.
S-007,IU-007,2deb847856,B32SEC-R01-random-secret-bytes-base32-encoding,B32SEC-R01,verified-visible-semantic-transcript,},"Source theme:
}

Visible source anchors:
- }
- => Base32Encoding.ToString(secretBytes);
- using System.Security.Cryptography;
- public static string ToBase32(byte[] secretBytes)
- using System.Text;
- => RandomNumberGenerator.GetBytes(byteLength);
- public static class TotpSecretCourseStyle
- public static byte[] CreateSecretBytes(int byteLength = 20)
- {
- // Base32 alphabet (classic): A-Z and 2-7

Semantic transcript:
This source belongs to `B32SEC-R01` / random bytes / Base32 secret encoding. It is part of the `Creating Base32 Secret` conspect and supports this region meaning:

Creating a Base32 secret: cryptographically random bytes, Base32 encoding alphabet, no padding/normalization, storage, and display/copy rules.

Operational reading:
- Treat this source as a concrete example or supporting note for the region.
- Use the preserved Stage0 PNG for exact code punctuation, line breaks, and symbol-level details.
- The source-level meaning is closed for this pass: it contributes to the region transcript and no placeholder/OCR-error source is marked processed.

Cleaned note:
Generate secret material from a cryptographic RNG, not Random or predictable input.
For TOTP a common secret length is 20 bytes / 160 bits, then encoded as Base32.",Stage1 source-level semantic transcript; exact punctuation remains in preserved Stage0 PNG.
S-008,IU-008,2a85d9c8eb,B32SEC-R01-random-secret-bytes-base32-encoding,B32SEC-R01,verified-visible-semantic-transcript,creating base32 secret,"Source theme:
creating base32 secret

Visible source anchors:
- creating base32 secret
- }
- => Base32Encoding.ToString(secretBytes);
- public static string ToBase32(byte[] secretBytes)
- explaining bits, bytes in base32
- => RandomNumberGenerator.GetBytes(byteLength);
- public static byte[] CreateSecretBytes(int byteLength = 20)
- {
- public static class TotpSecretBytes
- using OtpNet;

Semantic transcript:
This source belongs to `B32SEC-R01` / random bytes / Base32 secret encoding. It is part of the `Creating Base32 Secret` conspect and supports this region meaning:

Creating a Base32 secret: cryptographically random bytes, Base32 encoding alphabet, no padding/normalization, storage, and display/copy rules.

Operational reading:
- Treat this source as a concrete example or supporting note for the region.
- Use the preserved Stage0 PNG for exact code punctuation, line breaks, and symbol-level details.
- The source-level meaning is closed for this pass: it contributes to the region transcript and no placeholder/OCR-error source is marked processed.

Cleaned note:
Generate secret material from a cryptographic RNG, not Random or predictable input.
For TOTP a common secret length is 20 bytes / 160 bits, then encoded as Base32.",Stage1 source-level semantic transcript; exact punctuation remains in preserved Stage0 PNG.
S-009,IU-009,bb7d428777,B32SEC-R01-random-secret-bytes-base32-encoding,B32SEC-R01,verified-visible-semantic-transcript,using System.Security.Cryptography;,"Source theme:
using System.Security.Cryptography;

Visible source anchors:
- using System.Security.Cryptography;
- using System.Text;
- public static class TotpSecretCourseStyle
- {
- // Base32 alphabet (classic): A-Z and 2-7
- private static readonly char[] Alphabet = ""ABCDEFGHIJKLMNOPQRSTUVWXYZ234567"".ToCharArray();
- public static string CreateSecret(int length = 16)
- // Generate plenty of random bytes so every character pick is random
- byte[] random = RandomNumberGenerator.GetBytes(length * 4);
- var sb = new StringBuilder(length);

Semantic transcript:
This source belongs to `B32SEC-R01` / random bytes / Base32 secret encoding. It is part of the `Creating Base32 Secret` conspect and supports this region meaning:

Creating a Base32 secret: cryptographically random bytes, Base32 encoding alphabet, no padding/normalization, storage, and display/copy rules.

Operational reading:
- Treat this source as a concrete example or supporting note for the region.
- Use the preserved Stage0 PNG for exact code punctuation, line breaks, and symbol-level details.
- The source-level meaning is closed for this pass: it contributes to the region transcript and no placeholder/OCR-error source is marked processed.

Cleaned note:
Generate secret material from a cryptographic RNG, not Random or predictable input.
For TOTP a common secret length is 20 bytes / 160 bits, then encoded as Base32.",Stage1 source-level semantic transcript; exact punctuation remains in preserved Stage0 PNG.
S-010,IU-010,e72b9df5c9,B32SEC-R01-random-secret-bytes-base32-encoding,B32SEC-R01,verified-visible-semantic-transcript,creating base32 secret,"Source theme:
creating base32 secret

Visible source anchors:
- creating base32 secret
- why 5 bits for one base 32
- }
- => Base32Encoding.ToString(secretBytes);
- public static string ToBase32(byte[] secretBytes)
- explaining bits, bytes in base32
- => RandomNumberGenerator.GetBytes(byteLength);
- public static byte[] CreateSecretBytes(int byteLength = 20)
- {
- public static class TotpSecretBytes

Semantic transcript:
This source belongs to `B32SEC-R01` / random bytes / Base32 secret encoding. It is part of the `Creating Base32 Secret` conspect and supports this region meaning:

Creating a Base32 secret: cryptographically random bytes, Base32 encoding alphabet, no padding/normalization, storage, and display/copy rules.

Operational reading:
- Treat this source as a concrete example or supporting note for the region.
- Use the preserved Stage0 PNG for exact code punctuation, line breaks, and symbol-level details.
- The source-level meaning is closed for this pass: it contributes to the region transcript and no placeholder/OCR-error source is marked processed.

Cleaned note:
Generate secret material from a cryptographic RNG, not Random or predictable input.
For TOTP a common secret length is 20 bytes / 160 bits, then encoded as Base32.",Stage1 source-level semantic transcript; exact punctuation remains in preserved Stage0 PNG.
