source_id,image_use_id,formal_inventory_region,boundary_region,fileId_short,x,y,width,height,candidate_group,boundary_decision,nearest_labels_for_search_only,review_note
S-029,IU-029,R03,R03,905bfe2c8b,1993.91,3861.354,782,357,r03-notify-select-structural-sharing-candidate,candidate-not-final,L-010: notifyonchangeprops | L-014: notifyonchangeproops vs select vs structural sharing | L-018: when notifyonchanges is useful,"R03 candidate: notifyOnChangeProps/select/structural sharing, re-render narrowing, and why not qc.prefetchQuery side notes."
S-035,IU-035,R03,R03,b7b12231ee,1992.355,4249.743,834,298,r03-notify-select-structural-sharing-candidate,candidate-not-final,L-014: notifyonchangeproops vs select vs structural sharing | L-010: notifyonchangeprops | L-018: when notifyonchanges is useful,"R03 candidate: notifyOnChangeProps/select/structural sharing, re-render narrowing, and why not qc.prefetchQuery side notes."
S-041,IU-041,R03,R03,ca846784a5,1955.011,4650.92,851,482,r03-notify-select-structural-sharing-candidate,candidate-not-final,L-014: notifyonchangeproops vs select vs structural sharing | L-018: when notifyonchanges is useful | L-010: notifyonchangeprops,"R03 candidate: notifyOnChangeProps/select/structural sharing, re-render narrowing, and why not qc.prefetchQuery side notes."
S-046,IU-046,R03,R03,cfea23af3a,1940.799,5166.465,866,429,r03-notify-select-structural-sharing-candidate,candidate-not-final,L-018: when notifyonchanges is useful | L-014: notifyonchangeproops vs select vs structural sharing | L-019: why not qc.prefetchquery ?,"R03 candidate: notifyOnChangeProps/select/structural sharing, re-render narrowing, and why not qc.prefetchQuery side notes."
S-055,IU-055,R03,R03,224e1a8e1a,1961.91,5762.465,826,337,r03-notify-select-structural-sharing-candidate,candidate-not-final,L-018: when notifyonchanges is useful | L-019: why not qc.prefetchquery ? | L-014: notifyonchangeproops vs select vs structural sharing,"R03 candidate: notifyOnChangeProps/select/structural sharing, re-render narrowing, and why not qc.prefetchQuery side notes."
S-058,IU-058,R03,R03,25af0ad09e,1961.91,6159.854,898,425,r03-notify-select-structural-sharing-candidate,candidate-not-final,L-018: when notifyonchanges is useful | L-019: why not qc.prefetchquery ? | L-014: notifyonchangeproops vs select vs structural sharing,"R03 candidate: notifyOnChangeProps/select/structural sharing, re-render narrowing, and why not qc.prefetchQuery side notes."
S-059,IU-059,R03,R03,d1b9ca270e,3305.796,6226.12,860,479,r03-notify-select-structural-sharing-candidate,candidate-not-final,L-019: why not qc.prefetchquery ? | L-018: when notifyonchanges is useful | L-014: notifyonchangeproops vs select vs structural sharing,"R03 candidate: notifyOnChangeProps/select/structural sharing, re-render narrowing, and why not qc.prefetchQuery side notes."
S-062,IU-062,R02,R04A,976499b4dc,11656.738,6469.663,876,310,r04a-staleness-static-refetch-retry-candidate,candidate-not-final,"L-021: with static it can be stale but it wont be refetched automatically on some refetch trigger | L-020: RETRY | L-016: move disabled quey to a separate component and mount it only when the condition for queryu is met,  so you wont mount...","R04A candidate: staleTime, invalidation, static staleTime, refetch triggers, retry/no auto retry on mount. S-062 is inbound from R02."
S-063,IU-063,R04,R04A,603893e98b,12806.796,6513.796,892,326,r04a-staleness-static-refetch-retry-candidate,candidate-not-final,L-029: so no error thrown bu without auto retry on mount | L-033: when refetch can happen with STATIC refetchontrigger: always vs staletime:static | L-026: when a query can become stale stale time vs invalidat queires staletime STATIC,"R04A candidate: staleTime, invalidation, static staleTime, refetch triggers, retry/no auto retry on mount. S-062 is inbound from R02."
S-067,IU-067,R04,R04A,ecd69b961a,11649.648,6802.554,803,482,r04a-staleness-static-refetch-retry-candidate,candidate-not-final,L-033: when refetch can happen with STATIC refetchontrigger: always vs staletime:static | L-026: when a query can become stale stale time vs invalidat queires staletime STATIC | L-029: so no error thrown bu without auto retry on mount,"R04A candidate: staleTime, invalidation, static staleTime, refetch triggers, retry/no auto retry on mount. S-062 is inbound from R02."
