source_id,image_use_id,fileId_short,x,y,width,height,candidate_group,boundary_decision,nearest_labels_for_search_only,review_note
S-010,IU-010,e64cf87310,4060.447,1764.036,1020,482,EF01A-tracking-identity-map-no-tracking-identity-resolution,candidate-for-next-transcript-pass,"L-007: reduce cpu and everything for reads | L-030: identity map pattern | L-038: so rep shit | L-046: partial init antipatter | L-045: can do partial inits only | for projections for read, | write need encapsulation, | and invariants | also cant return th","Belongs to first EF01 transcript pass: tracking behavior, identity map, no-tracking, identity resolution, projections/read models."
S-031,IU-031,af19e8920a,5713.487,1928.146,822,366,EF01A-tracking-identity-map-no-tracking-identity-resolution,candidate-for-next-transcript-pass,"L-046: partial init antipatter | L-045: can do partial inits only | for projections for read, | write need encapsulation, | and invariants | also cant return th | L-030: identity map pattern | L-006: shadow prop usage | L-038: so rep shit","Belongs to first EF01 transcript pass: tracking behavior, identity map, no-tracking, identity resolution, projections/read models."
S-009,IU-009,1256f47477,4060.767,2275.641,1006,215,EF01A-tracking-identity-map-no-tracking-identity-resolution,candidate-for-next-transcript-pass,L-007: reduce cpu and everything for reads | L-030: identity map pattern | L-044: asnotrackkingwithidentityresolution | L-038: so rep shit | L-046: partial init antipatter,"Belongs to first EF01 transcript pass: tracking behavior, identity map, no-tracking, identity resolution, projections/read models."
S-032,IU-032,27e0fafb7d,5666.154,2335.702,890,302,EF01A-tracking-identity-map-no-tracking-identity-resolution,candidate-for-next-transcript-pass,"L-045: can do partial inits only | for projections for read, | write need encapsulation, | and invariants | also cant return th | L-046: partial init antipatter | L-030: identity map pattern | L-006: shadow prop usage | L-038: so rep shit","Belongs to first EF01 transcript pass: tracking behavior, identity map, no-tracking, identity resolution, projections/read models."
S-008,IU-008,5f5db5c14f,4095.484,2538.652,923,482,EF01A-tracking-identity-map-no-tracking-identity-resolution,candidate-for-next-transcript-pass,L-007: reduce cpu and everything for reads | L-044: asnotrackkingwithidentityresolution | L-030: identity map pattern | L-038: so rep shit | L-046: partial init antipatter,"Belongs to first EF01 transcript pass: tracking behavior, identity map, no-tracking, identity resolution, projections/read models."
S-033,IU-033,31d62e0a78,5636.154,2708.813,830,338,EF01A-tracking-identity-map-no-tracking-identity-resolution,candidate-for-next-transcript-pass,"L-045: can do partial inits only | for projections for read, | write need encapsulation, | and invariants | also cant return th | L-046: partial init antipatter | L-030: identity map pattern | L-006: shadow prop usage | L-038: so rep shit","Belongs to first EF01 transcript pass: tracking behavior, identity map, no-tracking, identity resolution, projections/read models."
S-034,IU-034,07d0c9bb3c,5627.265,3082.869,790,341,EF01A-tracking-identity-map-no-tracking-identity-resolution,candidate-for-next-transcript-pass,"L-045: can do partial inits only | for projections for read, | write need encapsulation, | and invariants | also cant return th | L-046: partial init antipatter | L-030: identity map pattern | L-006: shadow prop usage | L-044: asnotrackkingwithidentityresolution","Belongs to first EF01 transcript pass: tracking behavior, identity map, no-tracking, identity resolution, projections/read models."
S-007,IU-007,a67f713ace,4115.564,3088.652,953,482,EF01A-tracking-identity-map-no-tracking-identity-resolution,candidate-for-next-transcript-pass,L-044: asnotrackkingwithidentityresolution | L-007: reduce cpu and everything for reads | L-030: identity map pattern | L-042: use asnotrackingwithidentityresolution for ef core reads by default? | L-046: partial init antipatter,"Belongs to first EF01 transcript pass: tracking behavior, identity map, no-tracking, identity resolution, projections/read models."
S-035,IU-035,f5a69d20bc,5589.137,3465.546,826,482,EF01A-tracking-identity-map-no-tracking-identity-resolution,candidate-for-next-transcript-pass,"L-045: can do partial inits only | for projections for read, | write need encapsulation, | and invariants | also cant return th | L-046: partial init antipatter | L-030: identity map pattern | L-006: shadow prop usage | L-044: asnotrackkingwithidentityresolution","Belongs to first EF01 transcript pass: tracking behavior, identity map, no-tracking, identity resolution, projections/read models."
S-036,IU-036,0e5b2c9aff,5590.0,4023.323,705,482,EF01A-tracking-identity-map-no-tracking-identity-resolution,candidate-for-next-transcript-pass,"L-042: use asnotrackingwithidentityresolution for ef core reads by default? | L-044: asnotrackkingwithidentityresolution | L-045: can do partial inits only | for projections for read, | write need encapsulation, | and invariants | also cant return th | L-046: partial init antipatter | L-031: so in writes we potentially can do some shit when we fetch | something while having something that we have fetched alrea","Belongs to first EF01 transcript pass: tracking behavior, identity map, no-tracking, identity resolution, projections/read models."
