source_id,image_use_id,fileId,fileId_short,x,y,x_center,y_center,width,height,nearest_labels_for_search_only,coverage_status,current_region_decision,decision_is_final,must_recheck_before_region_close,decision_basis,review_notes
S-027,IU-027,946177ff2792c9ea96f6de3ed0b56e6c40936f4f,946177ff27,10298.814,1561.09,10707.814,1802.09,818,482,"L-028: ctors wont run when ef materializes entities? | L-027: what to avoid in ctors, | would ef use parameterless ctor by default? | L-039: entities shit | L-008: Attach | L-029: 1 if not default id - marks as unchanged | 2 if need to modify - attach then modify or mark modified excplicitly | 3 if ",checked-not-ef02-pending-constructors-materialization,pending-constructors-materialization,no-pending-future-boundary-review,yes,"Checked during EF02 transcript: constructors/materialization, not Attach/disconnected updates.","Checked during EF02 transcript: constructors/materialization, not Attach/disconnected updates."
S-010,IU-010,e64cf873106e91b8131fc21f7c82b43755606ed9,e64cf87310,4060.447,1764.036,4570.447,2005.036,1020,482,"L-007: reduce cpu and everything for reads | L-030: identity map pattern | L-038: so rep shit | L-046: partial init antipatter | L-045: can do partial inits only | for projections for read, | write need encapsulation, | and invariants | also cant return th",processed-in-ef01a-v001,EF01A,yes-for-ef01a-v001-boundary,no-for-ef01a-v001,Included in EF01A v001 after visual/semantic transcript pass.,Included in EF01A v001 after visual/semantic transcript pass.
S-012,IU-012,62853cad31d530ef58e80a97804cb298b795a3c5,62853cad31,14368.322,1821.009,14751.322,1951.509,766,261,L-009: how to save yourself | from sit when someone make 2 parallel requests | to create acc with same email | L-037: some onmodel creat hshit | L-003: navigation | L-004: owned isrequired | L-116: alternate key sheet,unreviewed,,no,yes,Not yet reviewed under boundary workflow.,Not yet reviewed under boundary workflow.
S-047,IU-047,0dc36252297a06db0078a475ab4864173854cb77,0dc3625229,22437.901,1887.015,22861.401,2098.015,847,422,L-033: concurrency in db  commands | isrowversion isconcurrencytoken | L-069: reading your own uncommited changes | L-040: transactions | L-041: transaction patterns | L-035: so i have some scenarios when i may need some | transaction or when i may think that i need them | 1 when i query someth,unreviewed,,no,yes,Not yet reviewed under boundary workflow.,Not yet reviewed under boundary workflow.
S-031,IU-031,af19e8920a19689612c61ac88e733822736f2419,af19e8920a,5713.487,1928.146,6124.487,2111.146,822,366,"L-046: partial init antipatter | L-045: can do partial inits only | for projections for read, | write need encapsulation, | and invariants | also cant return th | L-030: identity map pattern | L-006: shadow prop usage | L-038: so rep shit",processed-in-ef01a-v001,EF01A,yes-for-ef01a-v001-boundary,no-for-ef01a-v001,Included in EF01A v001 after visual/semantic transcript pass.,Included in EF01A v001 after visual/semantic transcript pass.
S-001,IU-001,7e221f768884ec140c888dd2a0743497d3c6ec58,7e221f7688,15933.099,1997.074,16303.099,2238.074,740,482,"L-004: owned isrequired | L-003: navigation | L-001: efcore can materialise objecteven if all of its columns are null | the fact that you have ? for  your fullname  in clien | L-005: need to add somewhere, to some general dbcontext mapping sheet mb | L-002: hascheck constraint",unreviewed,,no,yes,Not yet reviewed under boundary workflow.,Not yet reviewed under boundary workflow.
S-004,IU-004,55ea344509b1cac8eab294a42109f6936a6e8b2e,55ea344509,17274.453,2033.746,17637.453,2129.746,726,192,"L-005: need to add somewhere, to some general dbcontext mapping sheet mb | L-002: hascheck constraint | L-118: remove  warnings | dbset | L-034: dbcontext about transactions strategies | L-004: owned isrequired",unreviewed,,no,yes,Not yet reviewed under boundary workflow.,Not yet reviewed under boundary workflow.
S-013,IU-013,0f7c82eb0bec02dfc86af922257a53526a4ccf7c,0f7c82eb0b,14205.169,2119.656,14718.669,2267.156,1027,295,L-009: how to save yourself | from sit when someone make 2 parallel requests | to create acc with same email | L-116: alternate key sheet | L-004: owned isrequired | L-003: navigation | L-037: some onmodel creat hshit,unreviewed,,no,yes,Not yet reviewed under boundary workflow.,Not yet reviewed under boundary workflow.
S-009,IU-009,1256f47477dd6f49f7961a168e4bc32fa7affded,1256f47477,4060.767,2275.641,4563.767,2383.141,1006,215,L-007: reduce cpu and everything for reads | L-030: identity map pattern | L-044: asnotrackkingwithidentityresolution | L-038: so rep shit | L-046: partial init antipatter,processed-in-ef01a-v001,EF01A,yes-for-ef01a-v001-boundary,no-for-ef01a-v001,Included in EF01A v001 after visual/semantic transcript pass.,Included in EF01A v001 after visual/semantic transcript pass.
S-005,IU-005,1e229933ef928389bc29b7e08afe9972e834b1ff,1e229933ef,17232.257,2280.497,17732.257,2512.997,1000,465,"L-118: remove  warnings | dbset | L-005: need to add somewhere, to some general dbcontext mapping sheet mb | L-002: hascheck constraint | L-034: dbcontext about transactions strategies | L-036: about transactions isolation level for atomicity",unreviewed,,no,yes,Not yet reviewed under boundary workflow.,Not yet reviewed under boundary workflow.
