use_id,image_id,filename,sha256_12,region_id,x,y,width,height,opacity,duplicate_of_use_id,nearest_text_ids,nearest_captions,status
IU-001,image-0b27f5963eb90c271edeac4b3f6b3ff2b4b6c399,fa09a63bc225.png,fa09a63bc225,R02,3972.9714993399602,638.357883148873,1121.0,267.0,1.0,,T-009|T-010|T-011,how to setup/use|why ll tends to violate|ddd,pending_transcript
IU-002,image-35434c6696dc15004f177263157574b70bbf76a9,03300259c2c8.png,03300259c2c8,R02,4005.0200724690803,977.8957286179002,793.0,482.0,1.0,,T-009|T-010|T-011,how to setup/use|why ll tends to violate|ddd,pending_transcript
IU-003,image-df507b6e6de40616cd7a83f815b79aec0a112532,b2cf9f456712.png,b2cf9f456712,R02,3966.4659233022157,1501.8958710332663,906.0,482.0,1.0,,T-010|T-009|T-011,why ll tends to violate|how to setup/use|ddd,pending_transcript
IU-004,image-e4c329bd0189539b8e87a0b7ff4ec45a89fbbf16,b767e8193d90.png,b767e8193d90,R02,3976.787087258722,2073.006914327536,872.0,482.0,1.0,,T-010|T-011|T-009,why ll tends to violate|ddd|how to setup/use,pending_transcript
IU-005,image-bd2e6aa9b8c86f152848064f1c029c65af0b1031,3f5b44f9c541.png,3f5b44f9c541,R02,4000.656023504025,3538.066968105824,952.0,309.0,1.0,,T-011|T-010|T-009,ddd|why ll tends to violate|how to setup/use,pending_transcript
IU-006,image-3f03d907daeb4e30dcddd7ff94c65d48da35cfce,58fe9ac276b3.png,58fe9ac276b3,R02,4025.34592052107,3239.8129414927885,936.0,267.0,1.0,,T-011|T-010|T-009,ddd|why ll tends to violate|how to setup/use,pending_transcript
IU-007,image-77eca055934ee33eae76632b4a0378ab944f3f39,affe5f62c945.png,affe5f62c945,R03,5130.595343461411,2564.2640487758026,920.0,356.0,1.0,,T-010|T-011|T-007,why ll tends to violate|ddd|hidden backing fields,pending_transcript
IU-008,image-5df7370a19fb9270dd68d2524fc666f4ee36cc0d,4919dd3b07b1.png,4919dd3b07b1,R03,5100.295298340015,2068.3804150755186,964.0,482.0,1.0,,T-010|T-011|T-007,why ll tends to violate|ddd|hidden backing fields,pending_transcript
IU-009,image-44b3ba0d8bf48b38cc7c047b12f0b71d48dd47fe,4ef6666e9bf2.png,4ef6666e9bf2,R02,3965.069891312526,6161.018049634024,982.0,482.0,1.0,,T-011|T-010|T-005,ddd|why ll tends to violate|evr ok if configured nav prorp,pending_transcript
IU-010,image-32480f0da66c17b090e4fd3602bd1eed807c5f4b,e31d5b2d8771.png,e31d5b2d8771,R02,3941.9299136654254,5672.129143790924,919.0,482.0,1.0,,T-011|T-010|T-005,ddd|why ll tends to violate|evr ok if configured nav prorp,pending_transcript
IU-011,image-6ee206e2e4295fde7c01623e3d3fc8ea248675d8,4d3069f6b70c.png,4d3069f6b70c,R02,3884.574289697872,5183.240237947826,951.0,482.0,1.0,,T-011|T-010|T-005,ddd|why ll tends to violate|evr ok if configured nav prorp,pending_transcript
IU-012,image-bff3e41686845591b26737628e57ab0aa0c800b2,90d772a3a273.png,90d772a3a273,R02,3972.517540979932,4400.080012603916,942.0,482.0,1.0,,T-011|T-010|T-005,ddd|why ll tends to violate|evr ok if configured nav prorp,pending_transcript
IU-013,image-4fdd3309096741e157fa04c32f2b036d8268ea8f,3bc22ab353bd.png,3bc22ab353bd,R02,3957.478880890236,3912.1604495416527,974.0,463.0,1.0,,T-011|T-010|T-009,ddd|why ll tends to violate|how to setup/use,pending_transcript
IU-014,image-03f2e6b6d6350b4e74e3978980be1983f0288a31,18680e6314fc.png,18680e6314fc,R01,1627.9797862450532,1030.8573897999495,901.0,482.0,1.0,,T-004|T-003|T-002,"and n + 1 happens|when its ienumerable and you iterate, then you iterate in memory|normal query for one roundtrip or for 2",pending_transcript
IU-015,image-ffbb8fb96a9d9f407581bcfaf41a6c5c14d9b2bc,3324f7349d7d.png,3324f7349d7d,R01,1617.6567184437145,530.1803268116691,907.0,481.0,1.0,,T-001|T-002|T-003,"basically its still iqueryable and thats why ef can build|normal query for one roundtrip or for 2|when its ienumerable and you iterate, then you iterate in memory",pending_transcript
IU-016,image-9168238f0ce4872b6c38b321edec08102d5f5c94,4836c8a8ba70.png,4836c8a8ba70,R04,7071.679942805074,732.9051064553778,907.0,143.0,1.0,,T-007|T-006|T-005,hidden backing fields|problems with ll and|evr ok if configured nav prorp,pending_transcript
