region_source_id,source_id,image_use_id,fileId_short,region,subregion,status,readability,cut_off,confidence,theme,notes
AE03A-S001,S-001,IU-001,8c26ec2ece,AE03,AE03A,verified-from-source-image,high,no,high,What is encapsulation?,
AE01A-S001,S-002,IU-002,a2895f1a0c,AE01,AE01A,verified-from-source-image,high,no,high,Definition of abstraction from Robert C. Martin,
AE01A-S002,S-003,IU-003,44a9508794,AE01,AE01A,verified-from-source-image,high,no,high,Unlimited ways to write code,
AE01A-S003,S-004,IU-004,d2c3e9aa13,AE01,AE01A,verified-from-source-image,high,no,high,Unlimited code without abstraction creates complexity,
AE01A-S004,S-005,IU-005,af5f9294f5,AE01,AE01A,verified-from-source-image,high,no,high,Purpose of abstraction,
AE01A-S005,S-006,IU-006,d5156be8d0,AE01,AE01A,verified-from-source-image,high,no,high,"All code is abstraction, not only abstract/interface keywords",
AE01A-S006,S-007,IU-007,bef17d9199,AE01,AE01A,verified-from-source-image,high,no,high,Good and bad abstractions,
AE01B-S001,S-008,IU-008,c3e58d0984,AE01,AE01B,verified-from-source-image,medium,no,high,Abstraction hierarchy: complex ideas as simple ideas,Right-side text is slightly cropped but readable enough from source and contact sheet.
AE02A-S001,S-009,IU-009,ad91a03ef9,AE02,AE02A,verified-from-source-image,high,no,high,NormalizeCustomerName method as abstraction,
AE02A-S002,S-010,IU-010,0ec3aeae02,AE02,AE02A,verified-from-source-image,high,no,high,Abstraction is not just code reuse,
AE01B-S002,S-011,IU-011,a8e2d7111b,AE01,AE01B,verified-from-source-image,high,no,high,Abstraction hierarchy builds on existing abstractions,
AE01B-S003,S-012,IU-012,9f23be7733,AE01,AE01B,verified-from-source-image,high,no,high,Abstraction hierarchy levels,
AE03A-S002,S-013,IU-013,8d00455bbf,AE03,AE03A,verified-from-source-image,high,no,high,Public setters make invariant maintenance hard,
AE03B-S001,S-014,IU-014,d48b885ed0,AE03,AE03B,verified-from-source-image,high,no,high,Private setters and Disable method enforce invariant,
AE04A-S001,S-015,IU-015,f521da21ce,AE04,AE04A,verified-from-source-image,high,no,high,Difference between encapsulation and abstraction,
AE03B-S002,S-016,IU-016,dec4be3ca0,AE03,AE03B,verified-from-source-image,high,no,high,Encapsulation plus abstraction in Disable,
AE04A-S002,S-017,IU-017,8fe4f92f7d,AE04,AE04A,verified-from-source-image,high,no,high,Overlap model: encapsulation and abstraction,
AE03B-S003,S-018,IU-018,07145f7540,AE03,AE03B,verified-from-source-image,high,no,high,Guard clause encapsulates Triangle invariant,
AE02B-S001,S-019,IU-019,ad91a03ef9,AE02,AE02B,verified-from-source-image,high,no,high,Duplicate canvas use of NormalizeCustomerName abstraction,"Duplicate embedded image use of S-009; treated as a separate canvas occurrence, not a source extraction error."
