text_id,text,x,y,candidate_region,candidate_region_name,status,notes
T-001,tosqlquery vs toview,6496.950135057842,239.79699931936528,VIV01,"Views concept, readonly behavior, EF Core mapping flow, ToSqlQuery vs ToView",region-context-label,Text label is canvas context; not an image source.
T-002,Ef core view flow,4569.542569411141,437.5748110055635,VIV01,"Views concept, readonly behavior, EF Core mapping flow, ToSqlQuery vs ToView",region-context-label,Text label is canvas context; not an image source.
T-003,concept of views,3137.6908712774602,187.37133788137743,VIV01,"Views concept, readonly behavior, EF Core mapping flow, ToSqlQuery vs ToView",region-context-label,Text label is canvas context; not an image source.
T-004,depend on uderl tables,3137.6908712774602,277.37136331269255,VIV01,"Views concept, readonly behavior, EF Core mapping flow, ToSqlQuery vs ToView",region-context-label,Text label is canvas context; not an image source.
T-005,usually readonly,3137.6908712774602,367.37138874400773,VIV01,"Views concept, readonly behavior, EF Core mapping flow, ToSqlQuery vs ToView",region-context-label,Text label is canvas context; not an image source.
T-006,not physically stored until indexed,3137.6908712774602,457.3714141753229,VIV01,"Views concept, readonly behavior, EF Core mapping flow, ToSqlQuery vs ToView",region-context-label,Text label is canvas context; not an image source.
T-007,good for view,1857.4310977258165,133.4749027879061,VIV02,Good and bad use cases for views,region-context-label,Text label is canvas context; not an image source.
T-008,"multiple sources,",1789.8120791711285,416.9644513718908,VIV02,Good and bad use cases for views,region-context-label,Text label is canvas context; not an image source.
T-009,aggregated into one domain,1789.8120791711285,506.9644768032059,VIV02,Good and bad use cases for views,region-context-label,Text label is canvas context; not an image source.
T-010,hide ugly queries,1875.5262776923341,934.1072649182075,VIV02,Good and bad use cases for views,region-context-label,Text label is canvas context; not an image source.
T-011,hiding bad queries,575.6126464017493,485.449237764697,VIV02,Good and bad use cases for views,region-context-label,Text label is canvas context; not an image source.
T-012,to much buisness logic,587.7338955139653,910.9037832192424,VIV02,Good and bad use cases for views,region-context-label,Text label is canvas context; not an image source.
T-013,overusing for simple queries,596.2186700168068,1367.8735541709473,VIV02,Good and bad use cases for views,region-context-label,Text label is canvas context; not an image source.
T-014,expecting normal entity behav,566.6948314286369,1847.8735541709473,VIV02,Good and bad use cases for views,region-context-label,Text label is canvas context; not an image source.
T-015,"Security, allow to work with",1856.4786877090746,1956.0120413551497,VIV02,Good and bad use cases for views,region-context-label,Text label is canvas context; not an image source.
T-016,"some viewed data, not with",1856.4786877090746,2046.0120667864649,VIV02,Good and bad use cases for views,region-context-label,Text label is canvas context; not an image source.
T-017,sources,1856.4786877090746,2136.01209221778,VIV02,Good and bad use cases for views,region-context-label,Text label is canvas context; not an image source.
T-018,legacy,1932.0342703913657,2524.01204135515,VIV02,Good and bad use cases for views,region-context-label,Text label is canvas context; not an image source.
T-019,"stable read api, sources",1895.5897716934496,2838.6787487119204,VIV02,Good and bad use cases for views,region-context-label,Text label is canvas context; not an image source.
T-020,"can change, evolve",1895.5897716934496,2928.678774143236,VIV02,Good and bad use cases for views,region-context-label,Text label is canvas context; not an image source.
T-021,can views be updated?,3232.2564892227465,3038.6787487119204,VIV01,"Views concept, readonly behavior, EF Core mapping flow, ToSqlQuery vs ToView",region-context-label,Text label is canvas context; not an image source.
T-022,"stored or not, indexes views",3244.564181530439,2388.4223541055503,VIV01,"Views concept, readonly behavior, EF Core mapping flow, ToSqlQuery vs ToView",region-context-label,Text label is canvas context; not an image source.
T-023,bad for view,508.5998512135393,158.0080179239909,VIV02,Good and bad use cases for views,region-context-label,Text label is canvas context; not an image source.
T-024,Indexed views,7508.805051050452,4856.776440050446,VIV03,"Indexed views fundamentals, materialization, clustered index and write cost",region-context-label,Text label is canvas context; not an image source.
T-025,view/indexed view,358.03189210539676,5393.008815653912,VIV03,"Indexed views fundamentals, materialization, clustered index and write cost",region-context-label,Text label is canvas context; not an image source.
T-026,with material dependent,358.03189210539676,5511.342148987246,VIV03,"Indexed views fundamentals, materialization, clustered index and write cost",region-context-label,Text label is canvas context; not an image source.
T-027,table,358.03189210539676,5629.67548232058,VIV03,"Indexed views fundamentals, materialization, clustered index and write cost",region-context-label,Text label is canvas context; not an image source.
T-028,SCHEMABINDING,1706.2710230511739,5305.08961183967,VIV04,SCHEMABINDING and indexed-view requirements/rules,region-context-label,Text label is canvas context; not an image source.
T-029,protect view from breaking,1706.2710230511739,5423.422945173004,VIV04,SCHEMABINDING and indexed-view requirements/rules,region-context-label,Text label is canvas context; not an image source.
T-030,SCHEMABINDING,2455.2434755864324,7265.398329773753,VIV04,SCHEMABINDING and indexed-view requirements/rules,region-context-label,Text label is canvas context; not an image source.
T-031,protect view from breaking,2455.2434755864324,7383.731663107087,VIV04,SCHEMABINDING and indexed-view requirements/rules,region-context-label,Text label is canvas context; not an image source.
