source_id,from_stage0_group,stage1_region,decision,status,reason,notes
S-002,MFA-R02,MFA-R02,included-in-MFA-R02-enrollment-authentication-flow-stage1-v001,verified-visible-ocr-assisted,"MFA enrollment/login flow: server-generated pending secret, QR scan, confirmation code, permanent protected secret, MFA challenge, trusted device, and recovery/reset.","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-006,MFA-R02,MFA-R02,included-in-MFA-R02-enrollment-authentication-flow-stage1-v001,verified-visible-ocr-assisted,"MFA enrollment/login flow: server-generated pending secret, QR scan, confirmation code, permanent protected secret, MFA challenge, trusted device, and recovery/reset.","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-008,MFA-R02,MFA-R02,included-in-MFA-R02-enrollment-authentication-flow-stage1-v001,verified-visible-ocr-assisted,"MFA enrollment/login flow: server-generated pending secret, QR scan, confirmation code, permanent protected secret, MFA challenge, trusted device, and recovery/reset.","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-009,MFA-R02,MFA-R02,included-in-MFA-R02-enrollment-authentication-flow-stage1-v001,verified-visible-ocr-assisted,"MFA enrollment/login flow: server-generated pending secret, QR scan, confirmation code, permanent protected secret, MFA challenge, trusted device, and recovery/reset.","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-011,MFA-R02,MFA-R02,included-in-MFA-R02-enrollment-authentication-flow-stage1-v001,verified-visible-ocr-assisted,"MFA enrollment/login flow: server-generated pending secret, QR scan, confirmation code, permanent protected secret, MFA challenge, trusted device, and recovery/reset.","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-013,MFA-R02,MFA-R02,included-in-MFA-R02-enrollment-authentication-flow-stage1-v001,verified-visible-ocr-assisted,"MFA enrollment/login flow: server-generated pending secret, QR scan, confirmation code, permanent protected secret, MFA challenge, trusted device, and recovery/reset.","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-015,MFA-R02,MFA-R02,included-in-MFA-R02-enrollment-authentication-flow-stage1-v001,verified-visible-ocr-assisted,"MFA enrollment/login flow: server-generated pending secret, QR scan, confirmation code, permanent protected secret, MFA challenge, trusted device, and recovery/reset.","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-017,MFA-R02,MFA-R02,included-in-MFA-R02-enrollment-authentication-flow-stage1-v001,verified-visible-ocr-assisted,"MFA enrollment/login flow: server-generated pending secret, QR scan, confirmation code, permanent protected secret, MFA challenge, trusted device, and recovery/reset.","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-019,MFA-R02,MFA-R02,included-in-MFA-R02-enrollment-authentication-flow-stage1-v001,verified-visible-ocr-assisted,"MFA enrollment/login flow: server-generated pending secret, QR scan, confirmation code, permanent protected secret, MFA challenge, trusted device, and recovery/reset.","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-020,MFA-R02,MFA-R02,included-in-MFA-R02-enrollment-authentication-flow-stage1-v001,verified-visible-ocr-assisted,"MFA enrollment/login flow: server-generated pending secret, QR scan, confirmation code, permanent protected secret, MFA challenge, trusted device, and recovery/reset.","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-023,MFA-R02,MFA-R02,included-in-MFA-R02-enrollment-authentication-flow-stage1-v001,verified-visible-ocr-assisted,"MFA enrollment/login flow: server-generated pending secret, QR scan, confirmation code, permanent protected secret, MFA challenge, trusted device, and recovery/reset.","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-025,MFA-R02,MFA-R02,included-in-MFA-R02-enrollment-authentication-flow-stage1-v001,verified-visible-ocr-assisted,"MFA enrollment/login flow: server-generated pending secret, QR scan, confirmation code, permanent protected secret, MFA challenge, trusted device, and recovery/reset.","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-026,MFA-R02,MFA-R02,included-in-MFA-R02-enrollment-authentication-flow-stage1-v001,verified-visible-ocr-assisted,"MFA enrollment/login flow: server-generated pending secret, QR scan, confirmation code, permanent protected secret, MFA challenge, trusted device, and recovery/reset.","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
