text_id,text,x,y,region_id,status,transcript_file,authoritative_transcript
T-001,efcore can materialise objecteven if all of its columns are null,2357.973523481046,1251.1835589114044,R02,closed,02-transcript-R02-optional-owned-references-and-explicit-requiredness.md,06-full-combined-final-transcript.md
T-002,the fact that you have ? for  your fullname  in client can be not enough,2357.973523481046,1276.1835589114044,R02,closed,02-transcript-R02-optional-owned-references-and-explicit-requiredness.md,06-full-combined-final-transcript.md
T-003,so its better to do the shit excplicitly,2357.973523481046,1301.1835589114044,R02,closed,02-transcript-R02-optional-owned-references-and-explicit-requiredness.md,06-full-combined-final-transcript.md
T-004,OWNED COLLECTIONS(COLLECTIONS OF VALUE OBJECTS),4768.324789288578,733.6526352567272,R03,closed,03-transcript-R03-owned-collections-shadow-keys-and-relational-mapping.md,06-full-combined-final-transcript.md
T-005,we have this as,5422.566362344172,2020.2370467663523,R03,closed,03-transcript-R03-owned-collections-shadow-keys-and-relational-mapping.md,06-full-combined-final-transcript.md
T-006,owned entity so,5422.566362344172,2045.2370467663523,R03,closed,03-transcript-R03-owned-collections-shadow-keys-and-relational-mapping.md,06-full-combined-final-transcript.md
T-007,ef can map owners,5422.566362344172,2070.2370467663523,R03,closed,03-transcript-R03-owned-collections-shadow-keys-and-relational-mapping.md,06-full-combined-final-transcript.md
T-008,id to this shadow,5422.566362344172,2095.2370467663523,R03,closed,03-transcript-R03-owned-collections-shadow-keys-and-relational-mapping.md,06-full-combined-final-transcript.md
T-009,orderid,5422.566362344172,2120.2370467663523,R03,closed,03-transcript-R03-owned-collections-shadow-keys-and-relational-mapping.md,06-full-combined-final-transcript.md
T-010,LOADING<- OWNED ENTITY --> COLLECTIONS,10.0,433.53581310063373,R01,closed,01-transcript-R01-owned-references-owned-collections-and-loading-behavior.md,06-full-combined-final-transcript.md
T-011,better to set isrequired manually,2123.721175495126,578.631447237665,R02,closed,02-transcript-R02-optional-owned-references-and-explicit-requiredness.md,06-full-combined-final-transcript.md
T-012,because we can have owned type with all nulls,2123.721175495126,638.7191665359105,R02,closed,02-transcript-R02-optional-owned-references-and-explicit-requiredness.md,06-full-combined-final-transcript.md
T-013,potentially,2123.721175495126,698.806885834156,R02,closed,02-transcript-R02-optional-owned-references-and-explicit-requiredness.md,06-full-combined-final-transcript.md
T-014,nested owned types,7225.5811064602785,601.5293129882813,R04,closed,04-transcript-R04-nested-owned-types-and-detecting-optional-outer-values.md,06-full-combined-final-transcript.md
T-015,outer optional,8548.247854507154,592.196,R04,closed,04-transcript-R04-nested-owned-types-and-detecting-optional-outer-values.md,06-full-combined-final-transcript.md
T-016,but inner required,8548.247854507154,737.196,R04,closed,04-transcript-R04-nested-owned-types-and-detecting-optional-outer-values.md,06-full-combined-final-transcript.md
T-017,about is required,10821.580984389966,112.196,R05,closed,05-transcript-R05-required-members-inside-optional-owned-or-complex-values.md,06-full-combined-final-transcript.md
T-018,inside owned or complex,10821.580984389966,402.196,R05,closed,05-transcript-R05-required-members-inside-optional-owned-or-complex-values.md,06-full-combined-final-transcript.md
T-019,ef needs some indication,8542.321883370001,1743.307145019533,R04,closed,04-transcript-R04-nested-owned-types-and-detecting-optional-outer-values.md,06-full-combined-final-transcript.md
T-020,to know if outer exists,8542.321883370001,1888.307145019533,R04,closed,04-transcript-R04-nested-owned-types-and-detecting-optional-outer-values.md,06-full-combined-final-transcript.md
T-021,add required prop to outer,8460.500192700743,2818.9354663496233,R04,closed,04-transcript-R04-nested-owned-types-and-detecting-optional-outer-values.md,06-full-combined-final-transcript.md
T-022,map outer to a table,8626.426163837896,5204.794015217208,R04,closed,04-transcript-R04-nested-owned-types-and-detecting-optional-outer-values.md,06-full-combined-final-transcript.md
T-023,can add check constraint,8601.787560356377,4565.953010072162,R04,closed,04-transcript-R04-nested-owned-types-and-detecting-optional-outer-values.md,06-full-combined-final-transcript.md
