source_id,image_use_id,fileId,fileId_short,x,y,width,height,opacity,candidate_region,nearest_labels,duplicate_use_count,duplicate_source_ids,source_image_path
S-001,IU-001,4aec986325d795ec8b02245ee73f46a7ab79c097,4aec986325,16714.23589728051,731.3790746507166,770.0,482.0,1,R04,manual executiong | custom pipeline | + | provider | passing context to | classic polly,2,"S-001,S-033",source/images/4aec986325.png
S-002,IU-002,277ca6910b39b6fc3b34558ee1b096c78dee2733,277ca6910b,17880.584603963904,861.8007604554514,689.0,606.0,1,R04,passing context to | classic polly | + | getting pipeline from registry | classic | manual executiong,1,,source/images/277ca6910b.png
S-003,IU-003,f96bff56a0eddd088e860fb3279f1365a84dc906,f96bff56a0,18686.92471735224,899.8777555784527,874.0,280.0,1,R04,classic | passing context to | classic polly | + | getting pipeline from registry | manual executiong,1,,source/images/f96bff56a0.png
S-004,IU-004,334c28aac95c478b463e8fcc0a12b07729d6c489,334c28aac9,3998.293050835824,984.576063367931,865.0,414.0,1,R01,setting properties | args args in shouldhandle | why do we need to attach request to context | new standart vs custom | SETTING TRUE/FALSE | BASED ON REQUEST METHOD,1,,source/images/334c28aac9.png
S-005,IU-005,267483ed5e094c1e65b9bc442e601de53d63cc55,267483ed5e,1346.5792829432103,1004.4612065164029,873.0,559.0,1,R01,"args args in shouldhandle | why do we need to attach request to context | delay generator, way to fallback to defaults | setting properties | nesting | new standart vs custom",1,,source/images/267483ed5e.png
S-006,IU-006,2bbd5cb57c633c4168f853c6f4da76d4824e00d7,2bbd5cb57c,7972.956636607865,1016.3660355175834,666.0,482.0,1,R02,new standart vs custom | SETTING TRUE/FALSE | BASED ON REQUEST METHOD | custom | need to use pipeline excplicitly with pipeline provider | setting properties,1,,source/images/2bbd5cb57c.png
S-007,IU-007,c3bbc91a69f581dee131e922ef56346bdedbebbd,c3bbc91a69,10.0,1093.1877903820996,933.0,450.0,1,R01,"delay generator, way to fallback to defaults | args args in shouldhandle | why do we need to attach request to context | setting properties | nesting | new standart vs custom",1,,source/images/c3bbc91a69.png
S-008,IU-008,b018717e5c74219bf0a49461acf0b556a3090568,b018717e5c,5394.398639227085,1214.3212720730025,823.0,482.0,1,R01,setting properties | new standart vs custom | SETTING TRUE/FALSE | BASED ON REQUEST METHOD | need to use pipeline excplicitly with pipeline provider | args args in shouldhandle,2,"S-008,S-068",source/images/b018717e5c.png
S-009,IU-009,e7e0102b714ca669378805c950e2a69fa3b6897a,e7e0102b71,18689.282034595548,1223.9729355449704,835.0,268.0,1,R04,classic | passing context to | classic polly | + | getting pipeline from registry | cheat sheet,1,,source/images/e7e0102b71.png
S-010,IU-010,a9fb8b8fe5f635cf05e8c402a1417267f82aa36d,a9fb8b8fe5,19713.024856674634,1282.0512807669274,936.0,285.0,1,R04,classic | cheat sheet | passing context to | classic polly | + | getting pipeline from registry,1,,source/images/a9fb8b8fe5.png
S-011,IU-011,d16b8dae56621575292b11f8216eb9e11e8af636,d16b8dae56,16664.68733163904,1336.6958755798205,778.0,482.0,1,R04,so to have delegating handler that gets pipeline with pipelineprovider | based on request properties | or | creating a wrapper that runs pipeline.execute and passes context | look like the cleanest options | for simple scenarios its better to create wrapper with manual pipeline,2,"S-011,S-155",source/images/d16b8dae56.png
