source_id,image_use_id,fileId_short,image_file,status,theme,visible_text,notes
S-289,IU-289,c4797efb72,S-289__c4797efb72.png,verified-visible-ocr-assisted,Persistence in TanStack Query means saving the QueryClient cache somewhere durable so it c,"Persistence in TanStack Query means saving the QueryClient cache somewhere durable so it can be
restored later, such as after a page reload, app restart, or reopening the app. The docs describe
persistQueryClient as utilities that save your queryClient for later use via a persister. tnstack
What gets saved is a dehydrated version of the cache:

* query state

* mutation state

timestamps / metadata
and later that state is hydrated back into a QueryClient . persistQueryClientRestore hydrates previously
persisted query/mutation cache back into the passed client. msa«",Visible text present; no OCR timeout/error placeholder is used.
S-297,IU-297,6a8d99b81a,S-297__6a8d99b81a.png,verified-visible-ocr-assisted,What PersistQueryClientProvider does,"What PersistQueryClientProvider does
PersistQueryClientProvider is the React-friendly wrapper around this persistence flow.
It does two important things for you:
1. subscribes and unsubscribes correctly with the React lifecycle
2. prevents queries from starting to fetch while restore is still in progress, which avoids restore-vs-fetch
race conditions. During restore, queries can still render, but they stay in fetchStatus: ‘idle’ until data
has been restored. Then they may refetch unless the restored data is fresh enough. terswc
So it is basically:
QueryClientProvider + persistence restore/save behavior + restore safety. tensa",Visible text present; no OCR timeout/error placeholder is used.
S-304,IU-304,0c3b1184a0,S-304__0c3b1184a0.png,verified-visible-ocr-assisted,persistQueryClient(...) is the lower-level utility function.,"persistQueryClient(...) is the lower-level utility function.
PersistQueryClientProvider is the React component wrapper around that persistence flow.
So in your example:
«> TypeScript oO
persistQueryClient({
queryClient,
persister,
»
you are using the utility directly.",Visible text present; no OCR timeout/error placeholder is used.
S-305,IU-305,8f675d5a4b,S-305__8f675d5a4b.png,verified-visible-ocr-assisted,Yes — conceptually the flows are the same.,"Yes — conceptually the flows are the same.
Both approaches are doing the same core persistence lifecycle:
1. restore persisted cache
2. hydrate it into the QueryClient
3. subscribe to future cache changes
4. keep saving updated state back through the persister
So at a high level:
© persistQueryClient(...) = imperative/manual way
© PersistQueryClientProvider = React wrapper around the same idea (tanstack.com a)
The important difference
The difference is how the lifecycle is managed, especially in React.
persistQueryClient(...)
You call it manually.",Visible text present; no OCR timeout/error placeholder is used.
S-306,IU-306,5d27ffc66e,S-306__5d27ffc66e.png,verified-visible-ocr-assisted,Main persistence pieces,"Main persistence pieces
The docs split persistence into these utilities:

© persistQueryClientSave — dehydrates and stores the current query/mutation cache. tenstack

© persistQueryClientSubscribe — watches cache changes and keeps saving updates. tenstax

© persistQueryClientRestore — restores previously saved state into the client, discarding it if too old.

Taniack

*  persistQueryClient — does restore immediately, then subscribes for future changes. tursact

PersistQueryClientProvider is the React component that wraps that pattern safely in React. tanstax",Visible text present; no OCR timeout/error placeholder is used.
S-307,IU-307,2ec84b4c14,S-307__2ec84b4c14.png,verified-visible-ocr-assisted,"What persistQueryClientSave, persistQueryClientSubscribe , and","What persistQueryClientSave, persistQueryClientSubscribe , and
persistQueryClientRestore actually are

They are utility functions, not persisters.

That is the main distinction:
+ persister = the storage adapter, like localStorage/AsyncStorage/IndexedDB-backed persister
+ persistQueryClientSave / Subscribe / Restore = functions that use your (QueryClient and your

persister to save/restore/query-subscribe behavior twa

So no, you do not create these and pass them as persister .

You pass a real persister, for example one created by:
*  createSyncStoragePersister
* createAsyncStoragePersister  Tensuct

Then these utilities use that persister.",Visible text present; no OCR timeout/error placeholder is used.
S-310,IU-310,72bf95274c,S-310__72bf95274c.png,verified-visible-ocr-assisted,Props / callbacks of PersistQueryClientProvider,"Props / callbacks of PersistQueryClientProvider

It takes the same props as QueryClientProvider , plus these persistence-specific ones:

persistoptions
These are the persistence settings, essentially the options for persistQueryClient except you do not pass
the queryClient there because the provider already gets it via client . The docs say persistOptions
includes all options you can pass to persistQueryClient minus the QueryClient itself. tanstac",Visible text present; no OCR timeout/error placeholder is used.
S-315,IU-315,46562dcbf3,S-315__46562dcbf3.png,verified-visible-ocr-assisted,"With the provider, you instead do:","With the provider, you instead do:
«> TypeScript oO
<PersistQueryClientProvider
client={queryClient}
persistOptions={{
persister,
maxAge,
buster,
dehydrateOptions,
hydrateOptions,
b
>
<App />
</PersistQueryClientProvider>
and the provider handles the restore/subscribe lifecycle for you. The docs say persistOptions on the
provider are basically the same options you pass to persistQueryClient , minus the queryClient itself,
because the provider already gets that as client. ms",Visible text present; no OCR timeout/error placeholder is used.
S-316,IU-316,0d63534428,S-316__0d63534428.png,verified-visible-ocr-assisted,You call it manually.,"You call it manually.
Example idea:
«> TypeScript a)
persistQueryClient({
queryClient,
persister,
maxAge: 1000 * 60 * 60 * 24,
buster: ‘v1’,
»
This is lower-level / imperative. It restores immediately and subscribes immediately. (tanstack.com 7)",Visible text present; no OCR timeout/error placeholder is used.
S-317,IU-317,96dab1df5e,S-317__96dab1df5e.png,verified-visible-ocr-assisted,What each one is for,"What each one is for
persistQueryClientSave
Use this when you want to save the current cache right now.
It:
*  dehydrates the current query/mutation cache
* stores it via the persister track
Example idea:
«> TypeScript ia)
await persistQueryClientSave({
queryClient,
persister,
buster: 'vi',
»
That means: “take current cache state and write it to storage now.”",Visible text present; no OCR timeout/error placeholder is used.
