use_id,image_id,filename,sha256_12,region_id,x,y,width,height,opacity,duplicate_of_use_id,nearest_text_ids,nearest_captions,status,transcript_file,authoritative_transcript
IU-001,image-8dda6d4381e407d7ad24acff0ef776fd8866211a,5538ba4df623.png,5538ba4df623,R03,3167.104795880581,421.2006335457263,778.0,657.0,1.0,,T-005|T-011|T-009,expression convert(unary)|parameters and lambda|operator -> binary expressoin mapping,closed,03-transcript-R03-binary-operators-parameters-lambdas-and-conversions.md,06-full-combined-final-transcript.md
IU-002,image-613cdaed3438b58428c2f37c4b1fb8a6b9b4c4c3,bbd1ecd4deb8.png,bbd1ecd4deb8,R03,3145.520369168847,1255.1054884564364,877.0,482.0,1.0,,T-005|T-011|T-001,expression convert(unary)|parameters and lambda|you are still substracting y from x,closed,03-transcript-R03-binary-operators-parameters-lambdas-and-conversions.md,06-full-combined-final-transcript.md
IU-003,image-6e920d62ac1f11e652bb1cf7fc93a23dea133a13,79aba5f6387e.png,79aba5f6387e,R03,3077.44427960946,1792.7616774212802,957.0,183.0,1.0,,T-011|T-005|T-001,parameters and lambda|expression convert(unary)|you are still substracting y from x,closed,03-transcript-R03-binary-operators-parameters-lambdas-and-conversions.md,06-full-combined-final-transcript.md
IU-004,image-ed80fccefb7b61288aef89a0590cb523fd828436,9fcb29576e29.png,9fcb29576e29,R03,3159.333149122109,2057.7720533978427,692.0,482.0,1.0,,T-001|T-002|T-003,you are still substracting y from x|but when you are building lambda - you are|setting up what param will be x and what will be y,closed,03-transcript-R03-binary-operators-parameters-lambdas-and-conversions.md,06-full-combined-final-transcript.md
IU-005,image-c2e1991221ee975206738ac6a1103b66c71e9bb2,1019d0c4a61d.png,1019d0c4a61d,R03,3106.8330532097207,2591.817249931046,996.0,420.0,1.0,,T-004|T-003|T-002,when you call function|setting up what param will be x and what will be y|but when you are building lambda - you are,closed,03-transcript-R03-binary-operators-parameters-lambdas-and-conversions.md,06-full-combined-final-transcript.md
IU-006,image-b0dfb3272d87f5a7f2be6ebe2a39def091ff7ef7,3f976b55eeb6.png,3f976b55eeb6,R05,6511.076670718194,435.1546872633089,887.0,222.0,1.0,,T-006|T-010|T-005,about methodcallexpression|expression types|expression convert(unary),closed,05-transcript-R05-methodcallexpression-construction-and-deconstruction.md,06-full-combined-final-transcript.md
IU-007,image-a2225e5b744cfd793d80187f148576ce1cd03c9a,211131439bea.png,211131439bea,R05,6520.528579389773,666.2105399799284,575.0,482.0,1.0,,T-006|T-010|T-005,about methodcallexpression|expression types|expression convert(unary),closed,05-transcript-R05-methodcallexpression-construction-and-deconstruction.md,06-full-combined-final-transcript.md
IU-008,image-1f241fd43f72d9a138e4ba385e73c8b684ee01fe,8b4664893930.png,8b4664893930,R05,6517.894852536376,1182.4274700225405,837.0,422.0,1.0,,T-006|T-010|T-005,about methodcallexpression|expression types|expression convert(unary),closed,05-transcript-R05-methodcallexpression-construction-and-deconstruction.md,06-full-combined-final-transcript.md
IU-009,image-5e093c5e43aa3bc5c86a8b31b308684144f5dedf,80d26991e456.png,80d26991e456,R05,6511.334283466773,1622.9425845466894,758.0,244.0,1.0,,T-006|T-010|T-005,about methodcallexpression|expression types|expression convert(unary),closed,05-transcript-R05-methodcallexpression-construction-and-deconstruction.md,06-full-combined-final-transcript.md
IU-010,image-30e96c6febbe0158b0c40608e01e32ea39f674f0,388ab52e87ea.png,388ab52e87ea,R05,6508.19791983041,1873.1849717981122,837.0,272.0,1.0,,T-006|T-010|T-005,about methodcallexpression|expression types|expression convert(unary),closed,05-transcript-R05-methodcallexpression-construction-and-deconstruction.md,06-full-combined-final-transcript.md
IU-011,image-ad80972c1ab1814b3e0242201eeba4ff421bc170,9b3333d1425d.png,9b3333d1425d,R05,6513.364512515069,2143.1850272846177,800.0,452.0,1.0,,T-006|T-010|T-005,about methodcallexpression|expression types|expression convert(unary),closed,05-transcript-R05-methodcallexpression-construction-and-deconstruction.md,06-full-combined-final-transcript.md
IU-012,image-d6e637a77643b9e5a31313b80b494ea2bc89ccdc,a91649912ee1.png,a91649912ee1,R05,6506.516101648591,2602.806220910329,804.0,437.0,1.0,,T-006|T-010|T-005,about methodcallexpression|expression types|expression convert(unary),closed,05-transcript-R05-methodcallexpression-construction-and-deconstruction.md,06-full-combined-final-transcript.md
IU-013,image-9a152174361536c2524bb85849350a18a5254c53,f9cea335271b.png,f9cea335271b,R05,6505.576670718194,3038.6244027285093,978.0,409.0,1.0,,T-006|T-010|T-005,about methodcallexpression|expression types|expression convert(unary),closed,05-transcript-R05-methodcallexpression-construction-and-deconstruction.md,06-full-combined-final-transcript.md
IU-014,image-a4afa21c4158104aa5fd262373b3ce061d365290,415c5e0881aa.png,415c5e0881aa,R02,1475.6150828116683,311.5201850541489,861.0,482.0,1.0,,T-007|T-009|T-011,property|operator -> binary expressoin mapping|parameters and lambda,closed,02-transcript-R02-property-access-expressions.md,06-full-combined-final-transcript.md
IU-015,image-d59db1b552305b64c94efd7cc91e49dd8b1b697f,b3c682a07988.png,b3c682a07988,R02,1425.4275692729607,1255.7625723055535,971.0,482.0,1.0,,T-001|T-002|T-011,you are still substracting y from x|but when you are building lambda - you are|parameters and lambda,closed,02-transcript-R02-property-access-expressions.md,06-full-combined-final-transcript.md
IU-016,image-7e0a7d11250c8280285a739cd8f5c7cde0ee103c,b3640eef9004.png,b3640eef9004,R02,1448.3856492179184,832.3583642089943,935.0,357.0,1.0,,T-007|T-011|T-009,property|parameters and lambda|operator -> binary expressoin mapping,closed,02-transcript-R02-property-access-expressions.md,06-full-combined-final-transcript.md
IU-017,image-17725766c9b9c98fef81c184aaee39c29fabff2c,83b26a16c7f4.png,83b26a16c7f4,R02,1449.9761760953666,1862.7335919238249,807.0,482.0,1.0,,T-001|T-002|T-003,you are still substracting y from x|but when you are building lambda - you are|setting up what param will be x and what will be y,closed,02-transcript-R02-property-access-expressions.md,06-full-combined-final-transcript.md
IU-018,image-dfd715d9c023a6e598978f30ac174a36353ce5a5,ef3ab74075aa.png,ef3ab74075aa,R01,10.0,851.9759376818201,1060.0,482.0,1.0,,T-008|T-007|T-001,decosntructoin example|property|you are still substracting y from x,closed,01-transcript-R01-expression-deconstruction-and-node-inspection.md,06-full-combined-final-transcript.md
IU-019,image-83d41c303995e40f0fc375343dbf2bd391795a72,005fe2407cdb.png,005fe2407cdb,R01,69.8154122701776,1370.4945466227891,939.0,660.0,1.0,,T-008|T-007|T-001,decosntructoin example|property|you are still substracting y from x,closed,01-transcript-R01-expression-deconstruction-and-node-inspection.md,06-full-combined-final-transcript.md
IU-020,image-3d279657b42bbed05851be97b246e8aa1f0d3133,6870f79254c9.png,6870f79254c9,R01,66.10758430594205,2132.907039945416,980.0,418.0,1.0,,T-001|T-002|T-003,you are still substracting y from x|but when you are building lambda - you are|setting up what param will be x and what will be y,closed,01-transcript-R01-expression-deconstruction-and-node-inspection.md,06-full-combined-final-transcript.md
IU-021,image-4d520c9beb36428b277befa47138e0b68a020f09,935c457930d2.png,935c457930d2,R01,72.96300609734271,291.3702336978404,715.0,482.0,1.0,,T-008|T-007|T-009,decosntructoin example|property|operator -> binary expressoin mapping,closed,01-transcript-R01-expression-deconstruction-and-node-inspection.md,06-full-combined-final-transcript.md
IU-022,image-5567d62b7d502dbabf219235cb70f24d53492231,bd28e9d1ddf4.png,bd28e9d1ddf4,R05,7917.414234550275,522.2470762575031,665.0,482.0,1.0,,T-006|T-010|T-005,about methodcallexpression|expression types|expression convert(unary),closed,05-transcript-R05-methodcallexpression-construction-and-deconstruction.md,06-full-combined-final-transcript.md
IU-023,image-8d5d0efb4b3906c25b4e8ae652727e164889990b,edc56170abba.png,edc56170abba,R05,7933.0370738153215,1135.5804774076605,631.0,482.0,1.0,,T-006|T-010|T-005,about methodcallexpression|expression types|expression convert(unary),closed,05-transcript-R05-methodcallexpression-construction-and-deconstruction.md,06-full-combined-final-transcript.md
IU-024,image-1053e4a4e8ba7d5482296f4ae0486cba04b1c077,6bd587b0ad68.png,6bd587b0ad68,R05,7871.729155290453,1701.5063129111295,751.0,482.0,1.0,,T-006|T-010|T-005,about methodcallexpression|expression types|expression convert(unary),closed,05-transcript-R05-methodcallexpression-construction-and-deconstruction.md,06-full-combined-final-transcript.md
IU-025,image-d18525430e11684ffd73dda5e1d8a8dccffb257d,37b045655872.png,37b045655872,R05,7870.072487808257,2278.176889835151,732.0,482.0,1.0,,T-006|T-010|T-005,about methodcallexpression|expression types|expression convert(unary),closed,05-transcript-R05-methodcallexpression-construction-and-deconstruction.md,06-full-combined-final-transcript.md
IU-026,image-a9b1b0fdf7d8e05c1634b364bea03d805c3a4ae4,ac75e4717a76.png,ac75e4717a76,R05,7808.53899798165,2879.2422307442394,947.0,262.0,1.0,,T-006|T-010|T-005,about methodcallexpression|expression types|expression convert(unary),closed,05-transcript-R05-methodcallexpression-construction-and-deconstruction.md,06-full-combined-final-transcript.md
IU-027,image-39b1eea824293458951a11c5f75dc57d96b760bc,fdc1131c7b62.png,fdc1131c7b62,R04,4847.49075637233,251.9787644885946,765.0,482.0,1.0,,T-010|T-006|T-005,expression types|about methodcallexpression|expression convert(unary),closed,04-transcript-R04-expression-node-types.md,06-full-combined-final-transcript.md
IU-028,image-50a3b824bb8f537c9cea8d81452f1ed6420c63d1,1fbf78c94609.png,1fbf78c94609,R04,4761.645931179068,787.1430006481532,1035.0,435.0,1.0,,T-010|T-006|T-005,expression types|about methodcallexpression|expression convert(unary),closed,04-transcript-R04-expression-node-types.md,06-full-combined-final-transcript.md
IU-029,image-bd3dc3e7069f8c26b3826f440824162331faa2bd,a75c91f75471.png,a75c91f75471,R04,4703.410297476094,1269.0423231579189,1040.0,482.0,1.0,,T-010|T-006|T-005,expression types|about methodcallexpression|expression convert(unary),closed,04-transcript-R04-expression-node-types.md,06-full-combined-final-transcript.md
IU-030,image-e6dff5dfa8445e89bc9b576faa38b16461714741,17d15ed7c80d.png,17d15ed7c80d,R04,4682.590307806672,1803.4207614717016,1002.0,478.0,1.0,,T-010|T-005|T-006,expression types|expression convert(unary)|about methodcallexpression,closed,04-transcript-R04-expression-node-types.md,06-full-combined-final-transcript.md
IU-031,image-f3f4f637169b1837f910ff2dacc2be0765ee0e08,fb27acdc60f8.png,fb27acdc60f8,R04,4705.889744669797,2307.9311272757477,920.0,482.0,1.0,,T-005|T-010|T-011,expression convert(unary)|expression types|parameters and lambda,closed,04-transcript-R04-expression-node-types.md,06-full-combined-final-transcript.md
IU-032,image-3b169103342139fa66e65e56df27881ff8146065,72d4e38b1da0.png,72d4e38b1da0,R04,4689.468934146948,2812.375605628593,919.0,482.0,1.0,,T-004|T-003|T-002,when you call function|setting up what param will be x and what will be y|but when you are building lambda - you are,closed,04-transcript-R04-expression-node-types.md,06-full-combined-final-transcript.md
