source_id,image_use_id,fileId_short,x,y,width,height,candidate_region,candidate_region_name,candidate_subregion,decision,decision_is_final,must_recheck_before_region_close,reason,nearest_labels_for_search_only
S-001,IU-001,86922be1d4,22607.488,1082.042,948,215,CTXDB01,DatabaseFacade methods / connectivity / ensure-created-deleted / migrations,CTXDB01A,candidate-for-CTXDB01-transcript,no-boundary-review-only,yes,"DatabaseFacade-style methods: CanConnect, EnsureCreated/Deleted, migrations, Migrate, GetPending/GetApplied migrations, HasPendingModelChanges.",L-001: canconnect usage | L-002: canconnect | L-007: ensurecreated | L-012: database methods | L-008: ensuredeleted | L-014: migrations | L-015: migrate() | L-025: getpendingmig/getappliedmigr/getmigr
S-002,IU-002,bbfbad7969,19171.129,1208.575,924,139,CTXDB02,Automatic transactions / CurrentTransaction / AutoSavepointsEnabled,CTXDB02B,candidate-for-CTXDB02-transcript,no-boundary-review-only,yes,"AutoTransactionBehavior WhenNeeded/Always/Never, CurrentTransaction, AutoSavepointsEnabled, savepoint creation overhead, transaction methods around SaveChanges.",L-002: canconnect | L-007: ensurecreated | L-005: autosavepointsenabled | L-008: ensuredeleted | L-009: !!! | L-001: canconnect usage | L-013: !!! | L-004: CURRENT TRANSACTION
S-003,IU-003,5a3a2852a4,21176.185,1227.932,946,482,CTXDB01,DatabaseFacade methods / connectivity / ensure-created-deleted / migrations,CTXDB01A,candidate-for-CTXDB01-transcript,no-boundary-review-only,yes,"DatabaseFacade-style methods: CanConnect, EnsureCreated/Deleted, migrations, Migrate, GetPending/GetApplied migrations, HasPendingModelChanges.",L-002: canconnect | L-007: ensurecreated | L-001: canconnect usage | L-008: ensuredeleted | L-012: database methods | L-014: migrations | L-015: migrate() | L-024: migration
S-004,IU-004,b81cd6d651,14624.481,1259.973,832,482,CTXDB02,Automatic transactions / CurrentTransaction / AutoSavepointsEnabled,CTXDB02A,candidate-for-CTXDB02-transcript,no-boundary-review-only,yes,"AutoTransactionBehavior WhenNeeded/Always/Never, CurrentTransaction, AutoSavepointsEnabled, savepoint creation overhead, transaction methods around SaveChanges.",L-006: whenneeded | L-003: autotransactionbehavior | L-004: CURRENT TRANSACTION | L-010: !!! | L-011: always | L-005: autosavepointsenabled | L-016: never | L-009: !!!
S-005,IU-005,6228547cf6,22637.321,1309.542,915,368,CTXDB01,DatabaseFacade methods / connectivity / ensure-created-deleted / migrations,CTXDB01A,candidate-for-CTXDB01-transcript,no-boundary-review-only,yes,"DatabaseFacade-style methods: CanConnect, EnsureCreated/Deleted, migrations, Migrate, GetPending/GetApplied migrations, HasPendingModelChanges.",L-001: canconnect usage | L-002: canconnect | L-007: ensurecreated | L-012: database methods | L-008: ensuredeleted | L-014: migrations | L-015: migrate() | L-025: getpendingmig/getappliedmigr/getmigr
S-006,IU-006,8212a18859,19157.958,1348.069,935,290,CTXDB02,Automatic transactions / CurrentTransaction / AutoSavepointsEnabled,CTXDB02B,candidate-for-CTXDB02-transcript,no-boundary-review-only,yes,"AutoTransactionBehavior WhenNeeded/Always/Never, CurrentTransaction, AutoSavepointsEnabled, savepoint creation overhead, transaction methods around SaveChanges.",L-007: ensurecreated | L-002: canconnect | L-008: ensuredeleted | L-005: autosavepointsenabled | L-009: !!! | L-001: canconnect usage | L-013: !!! | L-004: CURRENT TRANSACTION
S-007,IU-007,e8162450a1,16275.233,1494.073,933,412,CTXDB02,Automatic transactions / CurrentTransaction / AutoSavepointsEnabled,CTXDB02B,candidate-for-CTXDB02-transcript,no-boundary-review-only,yes,"AutoTransactionBehavior WhenNeeded/Always/Never, CurrentTransaction, AutoSavepointsEnabled, savepoint creation overhead, transaction methods around SaveChanges.",L-004: CURRENT TRANSACTION | L-005: autosavepointsenabled | L-009: !!! | L-010: !!! | L-006: whenneeded | L-013: !!! | L-003: autotransactionbehavior | L-011: always
S-008,IU-008,488c169097,17862.707,1549.799,915,240,CTXDB02,Automatic transactions / CurrentTransaction / AutoSavepointsEnabled,CTXDB02B,candidate-for-CTXDB02-transcript,no-boundary-review-only,yes,"AutoTransactionBehavior WhenNeeded/Always/Never, CurrentTransaction, AutoSavepointsEnabled, savepoint creation overhead, transaction methods around SaveChanges.",L-005: autosavepointsenabled | L-009: !!! | L-004: CURRENT TRANSACTION | L-013: !!! | L-007: ensurecreated | L-002: canconnect | L-010: !!! | L-008: ensuredeleted
S-009,IU-009,364f261c50,19170.458,1646.236,730,282,CTXDB02,Automatic transactions / CurrentTransaction / AutoSavepointsEnabled,CTXDB02B,candidate-for-CTXDB02-transcript,no-boundary-review-only,yes,"AutoTransactionBehavior WhenNeeded/Always/Never, CurrentTransaction, AutoSavepointsEnabled, savepoint creation overhead, transaction methods around SaveChanges.",L-007: ensurecreated | L-002: canconnect | L-008: ensuredeleted | L-005: autosavepointsenabled | L-009: !!! | L-013: !!! | L-001: canconnect usage | L-004: CURRENT TRANSACTION
S-010,IU-010,6ab5135f8f,22598.949,1689.003,928,304,CTXDB01,DatabaseFacade methods / connectivity / ensure-created-deleted / migrations,CTXDB01A,candidate-for-CTXDB01-transcript,no-boundary-review-only,yes,"DatabaseFacade-style methods: CanConnect, EnsureCreated/Deleted, migrations, Migrate, GetPending/GetApplied migrations, HasPendingModelChanges.",L-001: canconnect usage | L-012: database methods | L-007: ensurecreated | L-002: canconnect | L-008: ensuredeleted | L-014: migrations | L-015: migrate() | L-025: getpendingmig/getappliedmigr/getmigr
S-011,IU-011,d60e67434a,17874.35,1799.157,966,187,CTXDB02,Automatic transactions / CurrentTransaction / AutoSavepointsEnabled,CTXDB02B,candidate-for-CTXDB02-transcript,no-boundary-review-only,yes,"AutoTransactionBehavior WhenNeeded/Always/Never, CurrentTransaction, AutoSavepointsEnabled, savepoint creation overhead, transaction methods around SaveChanges.",L-005: autosavepointsenabled | L-009: !!! | L-013: !!! | L-004: CURRENT TRANSACTION | L-007: ensurecreated | L-008: ensuredeleted | L-010: !!! | L-002: canconnect
