source_id,decision,region,subregion,reason
S-001,processed-in-ae03-v001,AE03,AE03A,What is encapsulation?
S-002,processed-in-ae01-v001,AE01,AE01A,Definition of abstraction from Robert C. Martin
S-003,processed-in-ae01-v001,AE01,AE01A,Unlimited ways to write code
S-004,processed-in-ae01-v001,AE01,AE01A,Unlimited code without abstraction creates complexity
S-005,processed-in-ae01-v001,AE01,AE01A,Purpose of abstraction
S-006,processed-in-ae01-v001,AE01,AE01A,"All code is abstraction, not only abstract/interface keywords"
S-007,processed-in-ae01-v001,AE01,AE01A,Good and bad abstractions
S-008,processed-in-ae01-v001,AE01,AE01B,Abstraction hierarchy: complex ideas as simple ideas
S-009,processed-in-ae02-v001,AE02,AE02A,NormalizeCustomerName method as abstraction
S-010,processed-in-ae02-v001,AE02,AE02A,Abstraction is not just code reuse
S-011,processed-in-ae01-v001,AE01,AE01B,Abstraction hierarchy builds on existing abstractions
S-012,processed-in-ae01-v001,AE01,AE01B,Abstraction hierarchy levels
S-013,processed-in-ae03-v001,AE03,AE03A,Public setters make invariant maintenance hard
S-014,processed-in-ae03-v001,AE03,AE03B,Private setters and Disable method enforce invariant
S-015,processed-in-ae04-v001,AE04,AE04A,Difference between encapsulation and abstraction
S-016,processed-in-ae03-v001,AE03,AE03B,Encapsulation plus abstraction in Disable
S-017,processed-in-ae04-v001,AE04,AE04A,Overlap model: encapsulation and abstraction
S-018,processed-in-ae03-v001,AE03,AE03B,Guard clause encapsulates Triangle invariant
S-019,processed-in-ae02-v001,AE02,AE02B,Duplicate canvas use of NormalizeCustomerName abstraction
