id,text,x,y,transform
T-001,need to understand all those possibilities of contains,0,17.619999999999997,
T-002,+ mb freetext has some,0,42.62,
T-003,+ what about some possibilies that was discussed at the start of,0,67.62,
T-004,this fulltext shit,0,92.62,
T-005,!!!!,0,57.97324646714121,
T-006,normal index vs fulltext index,0,47.23584272904821,
T-007,are both sort/ adds some to allow,0,114.25605091441741,
T-008,jumbing directly to needed place,0,181.2762590997866,
T-009,"when to use what, summary",0,111.59336201171881,
T-010,LIKE,0,111.59336201171881,
T-011,when substring searching,0,74.00400000000003,
T-012,"is ok,when not",0,179.00400000000008,
T-013,Example implementation,0,70.48000000000005,
T-014,with escaping helper,0,170.4800000000001,
T-015,helper to escape user input,0,70.48000000000005,
T-016,LIKE patterns,0,70.48000000000005,
T-017,_ and [aboba],0,70.48000000000005,
T-018,_,0,70.48000000000005,
T-019,there is no all substring,0,70.48000000000005,
T-020,values in your indexes,0,170.4800000000001,
T-021,Escaping special,0,70.48000000000005,
T-022,characters with !,0,170.4800000000001,
T-023,"case sensitivity,",0,70.48000000000005,
T-024,collation,0,170.4800000000001,
T-025,avoid to lower,0,70.48000000000005,
T-026,Contains translates to,0,70.48000000000005,
T-027,Like,0,170.4800000000001,
T-028,Like is for full column,0,70.48000000000005,
T-029,values,0,170.4800000000001,
T-030,full text search,0,111.59336201171881,
T-031,search engine,0,111.59336201171881,
T-032,fulltext vs like,0,111.59336201171881,
T-033,fulltext indexes vs normal ones,0,269.9267360351564,
T-034,useful service,0,74.00401075439459,
T-035,ef core filtering when,0,74.00401075439459,
T-036,db full text dearch when,0,74.00401075439459,
T-037,search engine when,0,74.00401075439459,
T-038,"LIKE, INDEXES,",0,74.00401075439459,
T-039,full text search,0,179.0040260131837,
T-040,"word based searching,",0,74.00401075439459,
T-041,no substring full value shit,0,179.0040260131837,
T-042,create catalog,0,74.00401075439459,
T-043,create fulltext index,0,179.0040260131837,
T-044,"(only one,can contain mult cols)",0,284.0040412719728,
T-045,rankings,0,74.00401075439459,
T-046,TABLE,0,151.5320107543947,
T-047,good hierarchy,0,74.00401075439459,
T-048,HOW DOES FULL text search index,0,45.81200000000001,
T-049,look like,0,110.81200000000003,
T-050,but its sorted actually,0,45.81200000000001,
T-051,Btree index,0,45.81200000000001,
T-052,Fulltext index,0,45.81200000000001,
T-053,like cases,0,45.81200000000001,
T-054,fulltext cases,0,45.81200000000001,
T-055,Substring search,0,45.81200000000001,
T-056,Yes fulltext index is just an index,0,45.81200000000001,
T-057,"but not on full column values, but",0,110.81200000000003,
T-058,on each token of those values,0,175.81200000000004,
T-059,Yes fulltext index is just an index,0,45.81200000000001,
T-060,"but not on full column values, but",0,110.81200000000003,
T-061,on each token of those values,0,175.81200000000004,
T-062,what else fulltext idex can store,0,45.81200000000001,
T-063,KEY INDEX (indexname),0,45.81200000000001,
T-064,defining the way to id,0,110.81200000000003,
T-065,the row of the token that,0,175.81200000000004,
T-066,we ve found as matched,0,240.81200000000007,
T-067,EF CORE FUll text search,0,45.81200000000001,
T-068,SQL server,0,110.81200000000003,
T-069,Freetext,0,91.23246834309884,
T-070,Contains,0,99.06356750488283,
T-071,ROW Locator MUST be unique,0,45.81200000000001,
T-072,"its not about unique index,index quality etc",0,110.81200000000003,
T-073,its about the ability to find the exact row,0,175.81200000000004,
