source_id,image_index,file,status,readability,cut_off,confidence,theme,notes
MUT-S019,146,a6d0648cd6.png,ocr-assisted-draft-needs-visual-verification,medium,unknown,low-for-literal / medium-for-general-sense,why invalidate in onSettled,Imported from Stage 3 OCR-assisted draft. Needs visual verification before being treated as exact transcript.
MUT-S020,143,ae6ed651d2.png,ocr-assisted-draft-needs-visual-verification,medium,unknown,low-for-literal / medium-for-general-sense,variables argument,Imported from Stage 3 OCR-assisted draft. Needs visual verification before being treated as exact transcript.
MUT-S021,155,db2d4aae55.png,ocr-assisted-draft-needs-visual-verification,medium,unknown,low-for-literal / medium-for-general-sense,return invalidateQueries Promise keeps pending,Imported from Stage 3 OCR-assisted draft. Needs visual verification before being treated as exact transcript.
MUT-S022,156,e2bb07761c.png,ocr-assisted-draft-needs-visual-verification,medium,unknown,low-for-literal / medium-for-general-sense,without returning invalidation Promise,Imported from Stage 3 OCR-assisted draft. Needs visual verification before being treated as exact transcript.
MUT-S023,142,507dbfa569.png,ocr-assisted-draft-needs-visual-verification,medium,unknown,low-for-literal / medium-for-general-sense,context.client,Imported from Stage 3 OCR-assisted draft. Needs visual verification before being treated as exact transcript.
MUT-S024,157,35935e7b35.png,ocr-assisted-draft-needs-visual-verification,medium,unknown,low-for-literal / medium-for-general-sense,returning the Promise code snippet,Imported from Stage 3 OCR-assisted draft. Needs visual verification before being treated as exact transcript.
MUT-S025,158,c8aefd2cea.png,ocr-assisted-draft-needs-visual-verification,medium,unknown,low-for-literal / medium-for-general-sense,returning Promise behavior steps,Imported from Stage 3 OCR-assisted draft. Needs visual verification before being treated as exact transcript.
MUT-S026,141,5f990bee01.png,ocr-assisted-draft-needs-visual-verification,medium,unknown,low-for-literal / medium-for-general-sense,mutationFn,Imported from Stage 3 OCR-assisted draft. Needs visual verification before being treated as exact transcript.
MUT-S027,140,ed4ef609cc.png,ocr-assisted-draft-needs-visual-verification,medium,unknown,low-for-literal / medium-for-general-sense,onSuccess signature and data argument,Imported from Stage 3 OCR-assisted draft. Needs visual verification before being treated as exact transcript.
MUT-S028,159,9d4d2d9cfa.png,ocr-assisted-draft-needs-visual-verification,medium / cut off,yes,low-for-literal / medium-for-general-sense,why pending matters / cut off,Imported from Stage 3 OCR-assisted draft. Needs visual verification before being treated as exact transcript.
MUT-S029,139,57a7aa95ed.png,ocr-assisted-draft-needs-visual-verification,medium,unknown,low-for-literal / medium-for-general-sense,data returned from mutationFn,Imported from Stage 3 OCR-assisted draft. Needs visual verification before being treated as exact transcript.
MUT-S030,138,27b93b199a.png,ocr-assisted-draft-needs-visual-verification,medium,unknown,low-for-literal / medium-for-general-sense,variables / onMutateResult availability,Imported from Stage 3 OCR-assisted draft. Needs visual verification before being treated as exact transcript.
MUT-S031,137,c35292d43d.png,ocr-assisted-draft-needs-visual-verification,medium,unknown,low-for-literal / medium-for-general-sense,onSuccess typical usage,Imported from Stage 3 OCR-assisted draft. Needs visual verification before being treated as exact transcript.
MUT-S032,136,56c5c8888e.png,ocr-assisted-draft-needs-visual-verification,medium,unknown,low-for-literal / medium-for-general-sense,onError signature and arguments,Imported from Stage 3 OCR-assisted draft. Needs visual verification before being treated as exact transcript.
MUT-S033,135,82af270795.png,ocr-assisted-draft-needs-visual-verification,medium,unknown,low-for-literal / medium-for-general-sense,onError rollback usage,Imported from Stage 3 OCR-assisted draft. Needs visual verification before being treated as exact transcript.
MUT-S034,134,c7dccde3bc.png,ocr-assisted-draft-needs-visual-verification,medium,unknown,low-for-literal / medium-for-general-sense,onSettled signature and arguments,Imported from Stage 3 OCR-assisted draft. Needs visual verification before being treated as exact transcript.
MUT-S035,133,1cb0706b7f.png,ocr-assisted-draft-needs-visual-verification,medium,unknown,low-for-literal / medium-for-general-sense,onMutateResult / context / onSettled example,Imported from Stage 3 OCR-assisted draft. Needs visual verification before being treated as exact transcript.
MUT-S036,132,af1044b3cf.png,ocr-assisted-draft-needs-visual-verification,medium,unknown,low-for-literal / medium-for-general-sense,async callbacks are awaited,Imported from Stage 3 OCR-assisted draft. Needs visual verification before being treated as exact transcript.
