text_id,text,candidate_region,theme
T-041,writing,PDS04,canvas text label / local note
T-042,pipewriter,PDS04,canvas text label / local note
T-043,so we get unprocessed,PDS04,canvas text label / local note
T-044,buffer for next iteration,PDS04,canvas text label / local note
T-045,and we pass its start,PDS04,canvas text label / local note
T-046,and end,PDS04,canvas text label / local note
T-047,can have overloads with pos,PDS04,canvas text label / local note
T-048,of count of bytes form start,PDS04,canvas text label / local note
T-049,or some sequenceposition,PDS04,canvas text label / local note
T-050,pipereader,PDS04,canvas text label / local note
T-051,pipereader,PDS04,canvas text label / local note
T-052,make sense the most with sequence reader that provides cursor api,PDS04,canvas text label / local note
