label_id,region,semantic_review_status,x,y,text
T-001,R01,processed,495.04787829353063,10.0,way to create all possible combinations
T-002,R01,processed,495.04787829353063,10.0,with bits and flags
T-003,R01,processed,117.00006103515625,217.1540130487747,getting all enums
T-004,R01,processed,10.0,326.8206390253372,getting all non empty
T-005,R01,processed,10.0,326.8206390253372,combinations
T-006,R01,processed,1317.6005350890903,335.2710095993657,need to convert to number
T-007,R01,processed,1317.6005350890903,335.2710095993657,to add bitwise
T-008,R01,processed,171.7139752939588,526.4559142485259,iterating all
T-009,R01,processed,171.7139752939588,526.4559142485259,enums
T-010,R01,processed,1332.128548165199,613.2800529780529,adding bitwise
T-011,R01,processed,167.19794917860781,678.9583625853556,checking if mask
T-012,R01,processed,167.19794917860781,678.9583625853556,value includes i
T-013,R01,processed,167.19794917860781,678.9583625853556,enum
T-014,R02,processed,506.29665069551675,2487.679551535931,how multiple flags can be represented by one value
