source_id,decision,reason
S-006,included-in-EF04-v001,shadow property / query filter transcript
S-028,not EF04,already processed EF02 Attach/disconnected update/entity state
S-029,not EF04,already processed EF02 Attach/disconnected update/entity state
S-030,not EF04,already processed EF02 Attach/disconnected update/entity state
S-024,not EF04,already processed EF03 constructors/materialization
S-025,not EF04,already processed EF03 constructors/materialization
S-026,not EF04,already processed EF03 constructors/materialization
S-027,not EF04,already processed EF03 constructors/materialization
S-031,not EF04,already processed EF01A tracking/identity/read path
S-032,not EF04,already processed EF01A tracking/identity/read path
S-033,not EF04,already processed EF01A tracking/identity/read path
