source_id,image_use_id,fileId,fileId_short,x,y,width,height,nearest_label_ids,nearest_labels,status,read_status
S-117,IU-117,8160273b4d08df708bd978e863a8449b3ccbaaaa,8160273b4d,9433.330568893727,10598.507116696876,911.0,301.0,"L-051,L-038,L-048","L-051: init data caveats | L-038: PREFETCHING/ INITIALDATA /PLACEHOLDRDATA, USEQUERYCLIENT | L-048: PREFETCH STALETIME AND REFETCHING ON MOUNT ISSUE EVEN WITH PREFETCH QUERY",not-transcribed,not-opened-in-this-stage
S-120,IU-120,77905ae043ec69700fc3b16f6a5b4ec492e7e300,77905ae043,9445.4969049533,10938.85639510148,811.0,404.0,"L-051,L-048,L-038","L-051: init data caveats | L-048: PREFETCH STALETIME AND REFETCHING ON MOUNT ISSUE EVEN WITH PREFETCH QUERY | L-038: PREFETCHING/ INITIALDATA /PLACEHOLDRDATA, USEQUERYCLIENT",not-transcribed,not-opened-in-this-stage
S-131,IU-131,436c717cfb34564f8161400b86c6cd70df948e55,436c717cfb,9451.2573799643,11399.92489677074,726.0,482.0,"L-051,L-048,L-055",L-051: init data caveats | L-048: PREFETCH STALETIME AND REFETCHING ON MOUNT ISSUE EVEN WITH PREFETCH QUERY | L-055: !!! can prefetch and then fetch again because of default stale time,not-transcribed,not-opened-in-this-stage
S-132,IU-132,3d2af35386f5a1702b6e11ea1683581f82b05961,3d2af35386,8200.893423180742,11404.627618201914,954.0,442.0,"L-048,L-051,L-052",L-048: PREFETCH STALETIME AND REFETCHING ON MOUNT ISSUE EVEN WITH PREFETCH QUERY | L-051: init data caveats | L-052: DOES PREFETCH STALETIME BELONGS TO BOTH PREFETCH AND NORMAL QUEY?,not-transcribed,not-opened-in-this-stage
S-146,IU-146,5ee57573106cb4ddaf5d43e12b943cfb0982dee2,5ee5757310,8190.964969219478,11887.630229940003,962.0,204.0,"L-052,L-051,L-048",L-052: DOES PREFETCH STALETIME BELONGS TO BOTH PREFETCH AND NORMAL QUEY? | L-051: init data caveats | L-048: PREFETCH STALETIME AND REFETCHING ON MOUNT ISSUE EVEN WITH PREFETCH QUERY,not-transcribed,not-opened-in-this-stage
S-152,IU-152,b67831fde6547da53dc9ec4b894607f6db24c9ce,b67831fde6,9446.917125247974,12092.188240052696,839.0,426.0,"L-051,L-055,L-056",L-051: init data caveats | L-055: !!! can prefetch and then fetch again because of default stale time | L-056: fetchquery ensurequerydata,not-transcribed,not-opened-in-this-stage
S-162,IU-162,7ad643e9477079f1ab69fc034fc26521c89b85e2,7ad643e947,8207.877377038118,12549.892518630317,934.0,395.0,"L-055,L-052,L-056",L-055: !!! can prefetch and then fetch again because of default stale time | L-052: DOES PREFETCH STALETIME BELONGS TO BOTH PREFETCH AND NORMAL QUEY? | L-056: fetchquery ensurequerydata,not-transcribed,not-opened-in-this-stage
S-163,IU-163,df3c1dacf60abb6757f8ade1b3eed1a047a06738,df3c1dacf6,9455.15533674351,12591.934266954677,853.0,250.0,"L-051,L-056,L-055",L-051: init data caveats | L-056: fetchquery ensurequerydata | L-055: !!! can prefetch and then fetch again because of default stale time,not-transcribed,not-opened-in-this-stage
S-171,IU-171,54c1e18a5f6656e5ea310132a2f26206a12effae,54c1e18a5f,8207.92704143231,12967.165051124364,912.0,402.0,"L-055,L-056,L-052",L-055: !!! can prefetch and then fetch again because of default stale time | L-056: fetchquery ensurequerydata | L-052: DOES PREFETCH STALETIME BELONGS TO BOTH PREFETCH AND NORMAL QUEY?,not-transcribed,not-opened-in-this-stage
S-172,IU-172,4014246e26977a9a3e070c78a6ec96050a023fec,4014246e26,9386.146194827215,12978.823810461328,855.0,482.0,"L-056,L-055,L-051",L-056: fetchquery ensurequerydata | L-055: !!! can prefetch and then fetch again because of default stale time | L-051: init data caveats,not-transcribed,not-opened-in-this-stage
S-180,IU-180,8930b327c7e2b0945a130b23206191b2caafdd43,8930b327c7,8215.232879038422,13389.00743951829,871.0,482.0,"L-055,L-056,L-052",L-055: !!! can prefetch and then fetch again because of default stale time | L-056: fetchquery ensurequerydata | L-052: DOES PREFETCH STALETIME BELONGS TO BOTH PREFETCH AND NORMAL QUEY?,not-transcribed,not-opened-in-this-stage
