region_source_id,source_id,image_use_id,fileId_short,x,y,status,readability,cut_off,confidence,theme,notes
R02-S001,S-033,IU-033,7c10083920,1057.518,6323.898,verified-from-extracted-svg-image,high,no,high,HttpCompletionOption.ResponseHeadersRead completes after headers,Starts the concrete R02 road; was checked/excluded from R01 and now included in R02.
R02-S002,S-041,IU-041,357cb7b336,2709.671,5471.193,verified-from-extracted-svg-image,high,no,high,API can stream response parts over wire,Large slide/caption introducing streaming response payload flow.
R02-S003,S-042,IU-042,bda88c621b,2669.631,6171.193,verified-from-extracted-svg-image,medium,no,medium-high,Using Streams When Reading Data diagram: buffered path,Diagram text is partially small; main labels and flow are visible.
R02-S004,S-043,IU-043,8ad8cf7b1e,2671.542,6669.248,verified-from-extracted-svg-image,medium,no,medium-high,Using Streams When Reading Data diagram: stream path,Second diagram version; shows stream path instead of in-memory string.
R02-S005,S-044,IU-044,15002d00b2,2647.895,7151.656,verified-from-extracted-svg-image,high,no,high,Demo marker: using streams when reading data,Transition/demo slide.
R02-S006,S-045,IU-045,1c1305bd64,2652.226,7494.116,verified-from-extracted-svg-image,high,bottom-cropped-after-visible-code,high-for-visible-code,GetPosterWithStreamAsync using ReadAsStreamAsync + DeserializeAsync,Visible code transcribed with endpoint GUID shortened where small/irrelevant.
R02-S007,S-046,IU-046,7d7d42a23e,2610.281,8108.901,verified-from-extracted-svg-image,medium,no,medium-high,Improving memory/performance with HttpCompletionMode diagram,Diagram shows ResponseHeadersRead lets code manipulate stream before full content is buffered.
R02-S008,S-047,IU-047,8bbb8e6a55,2288.003,8811.059,verified-from-extracted-svg-image,high,right-title-truncated-by-slide-crop,high-for-visible-text,Demo marker: improving memory use and performance with HttpComplete...,Visible title is cropped/truncated at right edge.
R02-S009,S-048,IU-048,31f052a655,2435.896,9311.39,verified-from-extracted-svg-image,high,tiny-snippet-only,high,ResponseHeadersRead SendAsync snippet,Same file/image content also appears as S-049 at another canvas placement.
R02-S010,S-049,IU-049,31f052a655,3497.597,7517.671,duplicate-visible-image-use,high,tiny-snippet-only,high,Duplicate placement of ResponseHeadersRead SendAsync snippet,Duplicate image use of S-048 content; both canvas placements are recorded for coverage.
R02-S011,S-050,IU-050,e871da238b,989.443,7042.501,verified-from-extracted-svg-image,high,no,high,Different Stream types: in-memory/file/network streams,Good readable source.
R02-S012,S-051,IU-051,bbeaa557d8,954.726,7568.657,verified-from-extracted-svg-image,high,no,high,HTTP content streams and wrapper streams,Good readable source.
