region_source_id,source_id,image_use_id,fileId_short,region,subregion,status,readability,cut_off,confidence,theme,notes
RIQ03B-S001,S-001,IU-001,02307d2224,RIQ03,RIQ03B,verified-from-source-image,high,no,high,Repeated side effects during enumeration,
RIQ03B-S002,S-002,IU-002,efe1175e62,RIQ03,RIQ03B,verified-from-source-image,high,no,high,Partial enumeration then full enumeration starts over,
RIQ03B-S003,S-003,IU-003,07ccbc5f6c,RIQ03,RIQ03B,verified-from-source-image,high,no,high,Partial enumeration changes behavior,
RIQ03B-S004,S-004,IU-004,c29fe45e34,RIQ03,RIQ03B,verified-from-source-image,high,no,high,Hidden database query outside repository boundary,
RIQ03B-S005,S-005,IU-005,b87c0d3981,RIQ03,RIQ03B,verified-from-source-image,high,no,high,Materialize while DbContext is alive,
RIQ03A-S001,S-006,IU-006,3d2e1aae93,RIQ03,RIQ03A,verified-from-source-image,high,no,high,Disposed resource due to using block and deferred return,
RIQ03A-S002,S-007,IU-007,c687e670b4,RIQ03,RIQ03A,verified-from-source-image,high,no,high,Different results on each enumeration,
RIQ03A-S003,S-008,IU-008,27f7cb860c,RIQ03,RIQ03A,verified-from-source-image,high,no,high,First then ToList repeats expensive enumeration,
RIQ03A-S004,S-009,IU-009,ce1689bd76,RIQ03,RIQ03A,verified-from-source-image,high,no,high,Expensive work repeated,
RIQ03A-S005,S-010,IU-010,569c17e142,RIQ03,RIQ03A,verified-from-source-image,high,no,high,Any plus foreach can trigger duplicate DB work,
RIQ03A-S006,S-011,IU-011,ba9826e440,RIQ03,RIQ03A,verified-from-source-image,high,no,high,Common problem: query runs multiple times,
RIQ02A-S001,S-012,IU-012,ae60863d25,RIQ02,RIQ02A,verified-from-source-image,high,no,high,When returning IEnumerable<T> is okay,
RIQ02A-S002,S-013,IU-013,e9c9e77a7b,RIQ02,RIQ02A,verified-from-source-image,high,no,high,ToList inside repository materializes immediately,
RIQ02A-S003,S-014,IU-014,df44059ae3,RIQ02,RIQ02A,verified-from-source-image,high,no,high,LINQ before ToList does not replay later,
