region_source_id,source_id,image_use_id,fileId_short,region,subregion,status,readability,cut_off,confidence,theme,notes
AEM01B-S001,S-001,IU-001,d0c86db280,AEM01,AEM01B,verified-from-source-image,medium-high,no,high,Earlier pipeline: endpoint metadata not yet available in action filter constructor,
AEM01B-S002,S-002,IU-002,359e73b57f,AEM01,AEM01B,verified-from-source-image,medium-high,no,high,Filter context gives selected MVC ActionDescriptor,
AEM01B-S003,S-003,IU-003,9eeba9e782,AEM01,AEM01B,verified-from-source-image,medium-high,no,high,One important distinction: MVC controllers versus minimal APIs,
AEM01B-S004,S-004,IU-004,00ef2dce40,AEM01,AEM01B,verified-from-source-image,medium-high,no,high,Middleware after UseRouting can read endpoint; MVC action filter can read ActionDescriptor,
AEM01B-S005,S-005,IU-005,328101fe64,AEM01,AEM01B,verified-from-source-image,medium-high,no,high,Quick examples in controller and filter,
AEM01B-S006,S-006,IU-006,e9734aa47c,AEM01,AEM01B,verified-from-source-image,medium-high,no,high,Useful ActionDescriptor/ControllerActionDescriptor data,
AEM01B-S007,S-007,IU-007,594356ce9a,AEM01,AEM01B,verified-from-source-image,medium-high,no,high,What you can get from ActionDescriptor and ControllerActionDescriptor,
AEM01C-S001,S-017,IU-017,59eda18afc,AEM01,AEM01C,verified-from-source-image,medium-high,no,high,Endpoint metadata can also be read from selected endpoint,
AEM01C-S002,S-018,IU-018,7f2d2bfae3,AEM01,AEM01C,verified-from-source-image,medium-high,no,high,Endpoint class and Metadata property,
AEM01C-S003,S-019,IU-019,6563e25856,AEM01,AEM01C,verified-from-source-image,medium-high,no,high,Example: read action descriptor and custom attributes,
AEM01C-S004,S-020,IU-020,47c47bc723,AEM01,AEM01C,verified-from-source-image,medium-high,no,high,MethodInfo gives access to method-level metadata,
AEM01A-S001,S-021,IU-021,583fdaf3ba,AEM01,AEM01A,verified-from-source-image,medium-high,no,high,ActionDescriptor versus ControllerActionDescriptor overview,
AEM01A-S002,S-022,IU-022,65c618d162,AEM01,AEM01A,verified-from-source-image,medium-high,no,high,Inside MVC code: cast ActionDescriptor to ControllerActionDescriptor,
AEM01A-S003,S-023,IU-023,e7412fd3ac,AEM01,AEM01A,verified-from-source-image,medium-high,no,high,EndpointNameMetadata versus RouteNameMetadata,
AEM01A-S004,S-024,IU-024,ab056deb4b,AEM01,AEM01A,verified-from-source-image,medium-high,no,high,Route name versus endpoint name in MVC action endpoints,
AEM01A-S005,S-025,IU-025,9e9acbd845,AEM01,AEM01A,verified-from-source-image,medium-high,no,high,Reading metadata from matched endpoint after routing,
